exp,Fecha,variable,value
0,2020-03-06,Apertura 100%,0.0
0,2020-03-07,Apertura 100%,0.3333333333333333
0,2020-03-08,Apertura 100%,0.5
0,2020-03-09,Apertura 100%,0.6
0,2020-03-10,Apertura 100%,0.6923076923076923
0,2020-03-11,Apertura 100%,0.6923076923076923
0,2020-03-12,Apertura 100%,0.7777777777777778
0,2020-03-13,Apertura 100%,0.8181818181818182
0,2020-03-14,Apertura 100%,0.8518518518518519
0,2020-03-15,Apertura 100%,0.8571428571428571
0,2020-03-16,Apertura 100%,0.875
0,2020-03-17,Apertura 100%,0.8918918918918919
0,2020-03-18,Apertura 100%,0.8918918918918919
0,2020-03-19,Apertura 100%,0.8947368421052632
0,2020-03-20,Apertura 100%,0.3947368421052632
0,2020-03-21,Apertura 100%,0.41025641025641024
0,2020-03-22,Apertura 100%,0.41025641025641024
0,2020-03-23,Apertura 100%,0.5
0,2020-03-24,Apertura 100%,0.54
0,2020-03-25,Apertura 100%,0.5849056603773585
0,2020-03-26,Apertura 100%,0.6153846153846154
0,2020-03-27,Apertura 100%,0.5849056603773585
0,2020-03-28,Apertura 100%,0.5862068965517241
0,2020-03-29,Apertura 100%,0.5666666666666667
0,2020-03-30,Apertura 100%,0.59375
0,2020-03-31,Apertura 100%,0.6212121212121212
0,2020-04-01,Apertura 100%,0.6119402985074627
0,2020-04-02,Apertura 100%,0.5692307692307692
0,2020-04-03,Apertura 100%,0.5238095238095238
0,2020-04-04,Apertura 100%,0.5076923076923077
0,2020-04-05,Apertura 100%,0.5694444444444444
0,2020-04-06,Apertura 100%,0.6555555555555556
0,2020-04-07,Apertura 100%,0.6979166666666666
0,2020-04-08,Apertura 100%,0.6990291262135923
0,2020-04-09,Apertura 100%,0.7350427350427351
0,2020-04-10,Apertura 100%,0.76
0,2020-04-11,Apertura 100%,0.6846153846153846
0,2020-04-12,Apertura 100%,0.7132867132867133
0,2020-04-13,Apertura 100%,0.7573964497041421
0,2020-04-14,Apertura 100%,0.772972972972973
