exp,Fecha,variable,value
0,2020-03-06,Apertura 30%,0.0
0,2020-03-07,Apertura 30%,0.0
0,2020-03-08,Apertura 30%,0.0
0,2020-03-09,Apertura 30%,0.0
0,2020-03-10,Apertura 30%,0.0
0,2020-03-11,Apertura 30%,0.0
0,2020-03-12,Apertura 30%,0.0
0,2020-03-13,Apertura 30%,0.0
0,2020-03-14,Apertura 30%,0.0
0,2020-03-15,Apertura 30%,0.0
0,2020-03-16,Apertura 30%,0.0
0,2020-03-17,Apertura 30%,0.0
0,2020-03-18,Apertura 30%,0.0
0,2020-03-19,Apertura 30%,0.0
0,2020-03-20,Apertura 30%,0.0
0,2020-03-21,Apertura 30%,0.0
0,2020-03-22,Apertura 30%,0.0
0,2020-03-23,Apertura 30%,0.0
0,2020-03-24,Apertura 30%,0.0
0,2020-03-25,Apertura 30%,0.0
0,2020-03-26,Apertura 30%,0.0
0,2020-03-27,Apertura 30%,0.0
0,2020-03-28,Apertura 30%,0.0
0,2020-03-29,Apertura 30%,0.0
0,2020-03-30,Apertura 30%,0.0
0,2020-03-31,Apertura 30%,0.0
0,2020-04-01,Apertura 30%,0.0
0,2020-04-02,Apertura 30%,0.0
0,2020-04-03,Apertura 30%,0.0
0,2020-04-04,Apertura 30%,0.0
0,2020-04-05,Apertura 30%,0.0
0,2020-04-06,Apertura 30%,0.0
0,2020-04-07,Apertura 30%,0.0
0,2020-04-08,Apertura 30%,0.0
0,2020-04-09,Apertura 30%,0.0
0,2020-04-10,Apertura 30%,0.0
0,2020-04-11,Apertura 30%,0.0
0,2020-04-12,Apertura 30%,0.0
0,2020-04-13,Apertura 30%,0.0
0,2020-04-14,Apertura 30%,0.0
0,2020-04-15,Apertura 30%,0.0
0,2020-04-16,Apertura 30%,1.4282857714171451e-05
0,2020-04-17,Apertura 30%,1.4282857714171451e-05
0,2020-04-18,Apertura 30%,1.4282857714171451e-05
0,2020-04-19,Apertura 30%,1.4282857714171451e-05
0,2020-04-20,Apertura 30%,1.4282857714171451e-05
0,2020-04-21,Apertura 30%,2.8565715428342902e-05
0,2020-04-22,Apertura 30%,2.8565715428342902e-05
0,2020-04-23,Apertura 30%,2.8565715428342902e-05
0,2020-04-24,Apertura 30%,2.8565715428342902e-05
0,2020-04-25,Apertura 30%,7.141428857085725e-05
0,2020-04-26,Apertura 30%,8.56971462850287e-05
0,2020-04-27,Apertura 30%,8.56971462850287e-05
0,2020-04-28,Apertura 30%,8.56971462850287e-05
0,2020-04-29,Apertura 30%,8.56971462850287e-05
0,2020-04-30,Apertura 30%,8.56971462850287e-05
0,2020-05-01,Apertura 30%,8.56971462850287e-05
0,2020-05-02,Apertura 30%,8.56971462850287e-05
0,2020-05-03,Apertura 30%,8.56971462850287e-05
0,2020-05-04,Apertura 30%,8.56971462850287e-05
0,2020-05-05,Apertura 30%,8.56971462850287e-05
0,2020-05-06,Apertura 30%,8.56971462850287e-05
0,2020-05-07,Apertura 30%,8.56971462850287e-05
0,2020-05-08,Apertura 30%,9.998000399920016e-05
0,2020-05-09,Apertura 30%,9.998000399920016e-05
0,2020-05-10,Apertura 30%,0.00011426286171337161
0,2020-05-11,Apertura 30%,0.00012854571942754308
0,2020-05-12,Apertura 30%,0.00015711143485588595
0,2020-05-13,Apertura 30%,0.0001713942925700574
0,2020-05-14,Apertura 30%,0.0001713942925700574
0,2020-05-15,Apertura 30%,0.00018567715028422886
0,2020-05-16,Apertura 30%,0.00018567715028422886
0,2020-05-17,Apertura 30%,0.00022852572342674322
0,2020-05-18,Apertura 30%,0.00025709143885508615
0,2020-05-19,Apertura 30%,0.00029994001199760045
0,2020-05-20,Apertura 30%,0.0003427885851401148
0,2020-05-21,Apertura 30%,0.0003713543005684577
0,2020-05-22,Apertura 30%,0.0003999200159968006
0,2020-05-23,Apertura 30%,0.00045705144685348644
0,2020-05-24,Apertura 30%,0.0005427485931385152
0,2020-05-25,Apertura 30%,0.0005855971662810295
0,2020-05-26,Apertura 30%,0.0006284457394235438
0,2020-05-27,Apertura 30%,0.0007427086011369154
0,2020-05-28,Apertura 30%,0.0008998200359928015
0,2020-05-29,Apertura 30%,0.0009426686091353158
0,2020-05-30,Apertura 30%,0.0009998000399920016
0,2020-05-31,Apertura 30%,0.0010997800439912018
0,2020-06-01,Apertura 30%,0.0011140629017053732
0,2020-06-02,Apertura 30%,0.0011140629017053732
0,2020-06-03,Apertura 30%,0.001171194332562059
0,2020-06-04,Apertura 30%,0.0012283257634187448
0,2020-06-05,Apertura 30%,0.0013140229097037734
0,2020-06-06,Apertura 30%,0.0013425886251321165
0,2020-06-07,Apertura 30%,0.0013711543405604593
0,2020-06-08,Apertura 30%,0.0013997200559888023
0,2020-06-09,Apertura 30%,0.001456851486845488
0,2020-06-10,Apertura 30%,0.0014997000599880025
0,2020-06-11,Apertura 30%,0.0015425486331305167
0,2020-06-12,Apertura 30%,0.0015711143485588597
0,2020-06-13,Apertura 30%,0.0016139629217013741
0,2020-06-14,Apertura 30%,0.0016853772102722313
0,2020-06-15,Apertura 30%,0.0017139429257005741
0,2020-06-16,Apertura 30%,0.0017139429257005741
