exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,0.0
0,2020-03-08,Sin cuarentena,0.0
0,2020-03-09,Sin cuarentena,0.0
0,2020-03-10,Sin cuarentena,0.0
0,2020-03-11,Sin cuarentena,0.0
0,2020-03-12,Sin cuarentena,0.0
0,2020-03-13,Sin cuarentena,0.0
0,2020-03-14,Sin cuarentena,0.0
0,2020-03-15,Sin cuarentena,0.0
0,2020-03-16,Sin cuarentena,0.0
0,2020-03-17,Sin cuarentena,0.0
0,2020-03-18,Sin cuarentena,0.0
0,2020-03-19,Sin cuarentena,0.0
0,2020-03-20,Sin cuarentena,0.0
0,2020-03-21,Sin cuarentena,0.0
0,2020-03-22,Sin cuarentena,0.0
0,2020-03-23,Sin cuarentena,0.0
0,2020-03-24,Sin cuarentena,0.0
0,2020-03-25,Sin cuarentena,0.0
0,2020-03-26,Sin cuarentena,0.0
0,2020-03-27,Sin cuarentena,0.0
0,2020-03-28,Sin cuarentena,0.0
0,2020-03-29,Sin cuarentena,1.4282857714171451e-05
0,2020-03-30,Sin cuarentena,1.4282857714171451e-05
0,2020-03-31,Sin cuarentena,1.4282857714171451e-05
0,2020-04-01,Sin cuarentena,1.4282857714171451e-05
0,2020-04-02,Sin cuarentena,1.4282857714171451e-05
0,2020-04-03,Sin cuarentena,1.4282857714171451e-05
0,2020-04-04,Sin cuarentena,1.4282857714171451e-05
0,2020-04-05,Sin cuarentena,1.4282857714171451e-05
0,2020-04-06,Sin cuarentena,1.4282857714171451e-05
0,2020-04-07,Sin cuarentena,1.4282857714171451e-05
0,2020-04-08,Sin cuarentena,1.4282857714171451e-05
0,2020-04-09,Sin cuarentena,1.4282857714171451e-05
0,2020-04-10,Sin cuarentena,1.4282857714171451e-05
0,2020-04-11,Sin cuarentena,1.4282857714171451e-05
0,2020-04-12,Sin cuarentena,1.4282857714171451e-05
0,2020-04-13,Sin cuarentena,1.4282857714171451e-05
0,2020-04-14,Sin cuarentena,1.4282857714171451e-05
0,2020-04-15,Sin cuarentena,1.4282857714171451e-05
0,2020-04-16,Sin cuarentena,1.4282857714171451e-05
0,2020-04-17,Sin cuarentena,2.8565715428342902e-05
0,2020-04-18,Sin cuarentena,2.8565715428342902e-05
0,2020-04-19,Sin cuarentena,2.8565715428342902e-05
0,2020-04-20,Sin cuarentena,4.284857314251435e-05
0,2020-04-21,Sin cuarentena,4.284857314251435e-05
0,2020-04-22,Sin cuarentena,5.7131430856685804e-05
0,2020-04-23,Sin cuarentena,7.141428857085725e-05
0,2020-04-24,Sin cuarentena,7.141428857085725e-05
0,2020-04-25,Sin cuarentena,7.141428857085725e-05
0,2020-04-26,Sin cuarentena,7.141428857085725e-05
0,2020-04-27,Sin cuarentena,9.998000399920016e-05
0,2020-04-28,Sin cuarentena,0.00015711143485588595
0,2020-04-29,Sin cuarentena,0.00021424286571257177
0,2020-04-30,Sin cuarentena,0.00024280858114091467
0,2020-05-01,Sin cuarentena,0.000285657154283429
0,2020-05-02,Sin cuarentena,0.0003713543005684577
0,2020-05-03,Sin cuarentena,0.0003713543005684577
0,2020-05-04,Sin cuarentena,0.0004142028737109721
0,2020-05-05,Sin cuarentena,0.0006141628817093724
0,2020-05-06,Sin cuarentena,0.0007855571742794299
0,2020-05-07,Sin cuarentena,0.00088553717827863
0,2020-05-08,Sin cuarentena,0.0010569314708486874
0,2020-05-09,Sin cuarentena,0.0011997600479904018
0,2020-05-10,Sin cuarentena,0.0013568714828462879
0,2020-05-11,Sin cuarentena,0.0015996800639872025
0,2020-05-12,Sin cuarentena,0.0017853572142714313
0,2020-05-13,Sin cuarentena,0.0019710343645556604
0,2020-05-14,Sin cuarentena,0.002128145799411546
0,2020-05-15,Sin cuarentena,0.0023138229496957752
0,2020-05-16,Sin cuarentena,0.0024423686691233183
0,2020-05-17,Sin cuarentena,0.00255663153083669
0,2020-05-18,Sin cuarentena,0.0026708943925500615
0,2020-05-19,Sin cuarentena,0.002813722969691776
0,2020-05-20,Sin cuarentena,0.002913702973690976
