exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,2.2127320602748214e-05
0,2020-03-08,Actual,4.425464120549643e-05
0,2020-03-09,Actual,6.638196180824463e-05
0,2020-03-10,Actual,6.638196180824463e-05
0,2020-03-11,Actual,6.638196180824463e-05
0,2020-03-12,Actual,0.0001548912442192375
0,2020-03-13,Actual,0.0001770185648219857
0,2020-03-14,Actual,0.00022127320602748212
0,2020-03-15,Actual,0.00024340052663023034
0,2020-03-16,Actual,0.00028765516783572676
0,2020-03-17,Actual,0.000309782488438475
0,2020-03-18,Actual,0.000309782488438475
0,2020-03-19,Actual,0.000420419091452216
0,2020-03-20,Actual,0.00044254641205496425
0,2020-03-21,Actual,0.0005310556944659571
0,2020-03-22,Actual,0.0005310556944659571
0,2020-03-23,Actual,0.0005531830150687053
0,2020-03-24,Actual,0.0005531830150687053
0,2020-03-25,Actual,0.0005531830150687053
0,2020-03-26,Actual,0.0005753103356714535
0,2020-03-27,Actual,0.0006416922974796982
0,2020-03-28,Actual,0.0006416922974796982
0,2020-03-29,Actual,0.0006638196180824464
0,2020-03-30,Actual,0.0006859469386851946
0,2020-03-31,Actual,0.000730201579890691
0,2020-04-01,Actual,0.000730201579890691
0,2020-04-02,Actual,0.0007523289004934393
0,2020-04-03,Actual,0.0007744562210961874
0,2020-04-04,Actual,0.0007744562210961874
0,2020-04-05,Actual,0.0007965835416989357
0,2020-04-06,Actual,0.0007965835416989357
0,2020-04-07,Actual,0.0008187108623016839
0,2020-04-08,Actual,0.0008187108623016839
0,2020-04-09,Actual,0.0008187108623016839
0,2020-04-10,Actual,0.0008187108623016839
0,2020-04-11,Actual,0.0008187108623016839
0,2020-04-12,Actual,0.000840838182904432
0,2020-04-13,Actual,0.0009293474653154249
0,2020-04-14,Actual,0.0009293474653154249
0,2020-04-15,Actual,0.0009514747859181732
0,2020-04-16,Actual,0.0009736021065209214
0,2020-04-17,Actual,0.0009736021065209214
0,2020-04-18,Actual,0.0009957294271236697
0,2020-04-19,Actual,0.001039984068329166
0,2020-04-20,Actual,0.001039984068329166
0,2020-04-21,Actual,0.0011063660301374107
0,2020-04-22,Actual,0.0011284933507401589
0,2020-04-23,Actual,0.0011727479919456552
0,2020-04-24,Actual,0.0011727479919456552
0,2020-04-25,Actual,0.0011948753125484036
0,2020-04-26,Actual,0.001261257274356648
0,2020-04-27,Actual,0.0013055119155621446
0,2020-04-28,Actual,0.001349766556767641
0,2020-04-29,Actual,0.001349766556767641
0,2020-04-30,Actual,0.001349766556767641
0,2020-05-01,Actual,0.0013718938773703891
0,2020-05-02,Actual,0.0014825304803841304
0,2020-05-03,Actual,0.0015046578009868786
0,2020-05-04,Actual,0.001548912442192375
0,2020-05-05,Actual,0.001571039762795123
0,2020-05-06,Actual,0.0015931670833978714
0,2020-05-07,Actual,0.0016374217246033678
0,2020-05-08,Actual,0.001770185648219857
0,2020-05-09,Actual,0.001880822251233598
0,2020-05-10,Actual,0.0019029495718363464
0,2020-05-11,Actual,0.0020135861748500875
0,2020-05-12,Actual,0.00210209545726108
0,2020-05-13,Actual,0.0021463500984665765
0,2020-05-14,Actual,0.0022348593808775696
0,2020-05-15,Actual,0.0023233686632885622
0,2020-05-16,Actual,0.002367623304494059
0,2020-05-17,Actual,0.002566769189918793
0,2020-05-18,Actual,0.0026774057929325338
0,2020-05-19,Actual,0.0028544243577545195
0,2020-05-20,Actual,0.002987188281371009
0,2020-05-21,Actual,0.003363352731617728
0,2020-05-22,Actual,0.003739517181864448
0,2020-05-23,Actual,0.004049299670302923
0,2020-05-24,Actual,0.004292700196933153
