exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,0.0
0,2020-03-08,Sin cuarentena,0.0
0,2020-03-09,Sin cuarentena,0.0
0,2020-03-10,Sin cuarentena,0.0
0,2020-03-11,Sin cuarentena,0.0
0,2020-03-12,Sin cuarentena,0.0
0,2020-03-13,Sin cuarentena,0.0
0,2020-03-14,Sin cuarentena,0.0
0,2020-03-15,Sin cuarentena,0.0
0,2020-03-16,Sin cuarentena,0.0
0,2020-03-17,Sin cuarentena,0.0
0,2020-03-18,Sin cuarentena,0.0
0,2020-03-19,Sin cuarentena,0.0
0,2020-03-20,Sin cuarentena,0.0
0,2020-03-21,Sin cuarentena,0.7213949062907973
0,2020-03-22,Sin cuarentena,0.6519815015599761
0,2020-03-23,Sin cuarentena,0.6938906467815812
0,2020-03-24,Sin cuarentena,0.6869205407917155
0,2020-03-25,Sin cuarentena,0.5459916358728122
0,2020-03-26,Sin cuarentena,0.6385723452747107
0,2020-03-27,Sin cuarentena,0.6352532471842984
0,2020-03-28,Sin cuarentena,0.6307392737813379
0,2020-03-29,Sin cuarentena,0.6453875600203571
0,2020-03-30,Sin cuarentena,0.6917442966831147
0,2020-03-31,Sin cuarentena,0.6211138893191424
0,2020-04-01,Sin cuarentena,0.603832451928396
0,2020-04-02,Sin cuarentena,0.6061115659504791
0,2020-04-03,Sin cuarentena,0.5929015555506384
0,2020-04-04,Sin cuarentena,0.5893390569335959
0,2020-04-05,Sin cuarentena,0.6162901334277432
0,2020-04-06,Sin cuarentena,0.6739760582391078
0,2020-04-07,Sin cuarentena,0.5923704998561724
0,2020-04-08,Sin cuarentena,0.578253269311619
0,2020-04-09,Sin cuarentena,0.5738056778704667
0,2020-04-10,Sin cuarentena,0.6619387958312128
0,2020-04-11,Sin cuarentena,0.7176111344677273
0,2020-04-12,Sin cuarentena,0.6462726528444671
0,2020-04-13,Sin cuarentena,0.6762109176199854
0,2020-04-14,Sin cuarentena,0.6083906799725621
0,2020-04-15,Sin cuarentena,0.6121080698338238
0,2020-04-16,Sin cuarentena,0.5906888234903636
0,2020-04-17,Sin cuarentena,0.6046511627906976
0,2020-04-18,Sin cuarentena,0.5738941871528777
0,2020-04-19,Sin cuarentena,0.6200517779302104
0,2020-04-20,Sin cuarentena,0.6557874007036488
0,2020-04-21,Sin cuarentena,0.5867944150642799
0,2020-04-22,Sin cuarentena,0.578076250746797
0,2020-04-23,Sin cuarentena,0.5880335450180337
0,2020-04-24,Sin cuarentena,0.5707742349478901
0,2020-04-25,Sin cuarentena,0.5676321554222999
0,2020-04-26,Sin cuarentena,0.579757927112606
0,2020-04-27,Sin cuarentena,0.6383731993892859
0,2020-04-28,Sin cuarentena,0.5374283627995486
0,2020-04-29,Sin cuarentena,0.5378487818910008
0,2020-04-30,Sin cuarentena,0.5282233974288053
0,2020-05-01,Sin cuarentena,0.5168720819595956
0,2020-05-02,Sin cuarentena,0.5738278051910695
0,2020-05-03,Sin cuarentena,0.5404376784015223
0,2020-05-04,Sin cuarentena,0.6083464253313566
0,2020-05-05,Sin cuarentena,0.5056756577346049
0,2020-05-06,Sin cuarentena,0.4920673555639148
0,2020-05-07,Sin cuarentena,0.4946119974332308
0,2020-05-08,Sin cuarentena,0.4940809417387649
0,2020-05-09,Sin cuarentena,0.4855619233067068
0,2020-05-10,Sin cuarentena,0.48646914345141945
0,2020-05-11,Sin cuarentena,0.5338658641825061
0,2020-05-12,Sin cuarentena,0.4519505233111323
0,2020-05-13,Sin cuarentena,0.4631690748567256
0,2020-05-14,Sin cuarentena,0.45290199809705045
0,2020-05-15,Sin cuarentena,0.45920828446883366
0,2020-05-16,Sin cuarentena,0.4385413670258668
0,2020-05-17,Sin cuarentena,0.4509990485252141
0,2020-05-18,Sin cuarentena,0.5408802248135773
0,2020-05-19,Sin cuarentena,0.43070829553249396
0,2020-05-20,Sin cuarentena,0.45354369039453013
0,2020-05-21,Sin cuarentena,0.43234571725709736
0,2020-05-22,Sin cuarentena,0.4326112451043303
