exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.00013375779139134856
0,2020-03-08,Actual,0.0003210186993392365
0,2020-03-09,Actual,0.0005617827238436639
0,2020-03-10,Actual,0.0007757951900698216
0,2020-03-11,Actual,0.0010433107728525187
0,2020-03-12,Actual,0.001284074797356946
0,2020-03-13,Actual,0.001391081030470025
0,2020-03-14,Actual,0.0016318450549744523
0,2020-03-15,Actual,0.0017120997298092613
0,2020-03-16,Actual,0.0017656028463658008
0,2020-03-17,Actual,0.0017656028463658008
0,2020-03-18,Actual,0.0017923544046440705
0,2020-03-19,Actual,0.00184585752120061
0,2020-03-20,Actual,0.0019528637543136888
0,2020-03-21,Actual,0.0020866215457050375
0,2020-03-22,Actual,0.0022203793370963857
0,2020-03-23,Actual,0.002273882453652925
0,2020-03-24,Actual,0.002380888686766004
0,2020-03-25,Actual,0.002407640245044274
0,2020-03-26,Actual,0.0024343918033225436
0,2020-03-27,Actual,0.0025413980364356226
0,2020-03-28,Actual,0.0025949011529921616
0,2020-03-29,Actual,0.0027286589443835103
0,2020-03-30,Actual,0.00278216206094005
0,2020-03-31,Actual,0.0028356651774965893
0,2020-04-01,Actual,0.0028356651774965893
0,2020-04-02,Actual,0.002862416735774859
0,2020-04-03,Actual,0.0028891682940531288
0,2020-04-04,Actual,0.002942671410609668
0,2020-04-05,Actual,0.0029694229688879375
0,2020-04-06,Actual,0.003022926085444477
0,2020-04-07,Actual,0.0031031807602792862
0,2020-04-08,Actual,0.003210186993392365
0,2020-04-09,Actual,0.0032636901099489047
0,2020-04-10,Actual,0.0032904416682271744
0,2020-04-11,Actual,0.0032904416682271744
0,2020-04-12,Actual,0.003370696343061983
0,2020-04-13,Actual,0.003397447901340253
0,2020-04-14,Actual,0.0034241994596185227
0,2020-04-15,Actual,0.0034241994596185227
0,2020-04-16,Actual,0.003504454134453332
0,2020-04-17,Actual,0.0035312056927316016
0,2020-04-18,Actual,0.003584708809288141
0,2020-04-19,Actual,0.003611460367566411
0,2020-04-20,Actual,0.0036382119258446806
0,2020-04-21,Actual,0.00371846660067949
0,2020-04-22,Actual,0.0037987212755142986
0,2020-04-23,Actual,0.0037987212755142986
0,2020-04-24,Actual,0.0037987212755142986
0,2020-04-25,Actual,0.0038254728337925683
0,2020-04-26,Actual,0.003932479066905647
0,2020-04-27,Actual,0.003985982183462186
0,2020-04-28,Actual,0.004092988416575265
0,2020-04-29,Actual,0.0041197399748535354
0,2020-04-30,Actual,0.004173243091410075
0,2020-05-01,Actual,0.0043337524410796925
0,2020-05-02,Actual,0.004521013349027581
0,2020-05-03,Actual,0.0045745164655841206
0,2020-05-04,Actual,0.00462801958214066
0,2020-05-05,Actual,0.004788528931810278
0,2020-05-06,Actual,0.004815280490088548
0,2020-05-07,Actual,0.004975789839758166
0,2020-05-08,Actual,0.005056044514592975
0,2020-05-09,Actual,0.005163050747706054
0,2020-05-10,Actual,0.005296808539097402
0,2020-05-11,Actual,0.005430566330488751
0,2020-05-12,Actual,0.005537572563601829
0,2020-05-13,Actual,0.005591075680158369
0,2020-05-14,Actual,0.0056713303549931786
0,2020-05-15,Actual,0.0057783365881062575
0,2020-05-16,Actual,0.0059923490543324145
0,2020-05-17,Actual,0.006179609962280303
0,2020-05-18,Actual,0.006233113078836843
0,2020-05-19,Actual,0.006527380219897809
0,2020-05-20,Actual,0.006661138011289158
