exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.10714285714285714
0,2020-03-08,Actual,0.2753623188405797
0,2020-03-09,Actual,0.34210526315789475
0,2020-03-10,Actual,0.3975903614457832
0,2020-03-11,Actual,0.4736842105263158
0,2020-03-12,Actual,0.5098039215686274
0,2020-03-13,Actual,0.5192307692307693
0,2020-03-14,Actual,0.5575221238938053
0,2020-03-15,Actual,0.5652173913043478
0,2020-03-16,Actual,0.5689655172413793
0,2020-03-17,Actual,0.5726495726495726
0,2020-03-18,Actual,0.5726495726495726
0,2020-03-19,Actual,0.5867768595041323
0,2020-03-20,Actual,0.2307692307692308
0,2020-03-21,Actual,0.2682926829268293
0,2020-03-22,Actual,0.29411764705882354
0,2020-03-23,Actual,0.3181818181818182
0,2020-03-24,Actual,0.3333333333333333
0,2020-03-25,Actual,0.3218390804597701
0,2020-03-26,Actual,0.32926829268292684
0,2020-03-27,Actual,0.32894736842105265
0,2020-03-28,Actual,0.375
0,2020-03-29,Actual,0.34375
0,2020-03-30,Actual,0.3793103448275862
0,2020-03-31,Actual,0.3818181818181817
0,2020-04-01,Actual,0.3617021276595745
0,2020-04-02,Actual,0.3409090909090909
0,2020-04-03,Actual,0.3636363636363637
0,2020-04-04,Actual,0.3636363636363637
0,2020-04-05,Actual,0.39130434782608703
0,2020-04-06,Actual,0.39130434782608703
0,2020-04-07,Actual,0.4666666666666667
0,2020-04-08,Actual,0.42857142857142855
0,2020-04-09,Actual,0.41025641025641024
0,2020-04-10,Actual,0.4473684210526316
0,2020-04-11,Actual,0.4857142857142857
0,2020-04-12,Actual,0.5405405405405406
0,2020-04-13,Actual,0.5526315789473685
0,2020-04-14,Actual,0.5588235294117647
0,2020-04-15,Actual,0.5757575757575758
0,2020-04-16,Actual,0.43333333333333335
0,2020-04-17,Actual,0.3548387096774194
0,2020-04-18,Actual,0.4
0,2020-04-19,Actual,0.41935483870967744
0,2020-04-20,Actual,0.42424242424242425
0,2020-04-21,Actual,0.4411764705882353
0,2020-04-22,Actual,0.4117647058823529
0,2020-04-23,Actual,0.42424242424242425
0,2020-04-24,Actual,0.4375
0,2020-04-25,Actual,0.4827586206896552
0,2020-04-26,Actual,0.4
0,2020-04-27,Actual,0.4516129032258064
0,2020-04-28,Actual,0.4848484848484849
0,2020-04-29,Actual,0.5
0,2020-04-30,Actual,0.5714285714285714
0,2020-05-01,Actual,0.5789473684210527
0,2020-05-02,Actual,0.6511627906976745
0,2020-05-03,Actual,0.6739130434782609
0,2020-05-04,Actual,0.6382978723404256
0,2020-05-05,Actual,0.5918367346938775
0,2020-05-06,Actual,0.5918367346938775
0,2020-05-07,Actual,0.6481481481481481
0,2020-05-08,Actual,0.6545454545454545
0,2020-05-09,Actual,0.625
0,2020-05-10,Actual,0.5689655172413793
0,2020-05-11,Actual,0.5967741935483871
0,2020-05-12,Actual,0.6268656716417911
0,2020-05-13,Actual,0.6470588235294118
0,2020-05-14,Actual,0.6176470588235294
0,2020-05-15,Actual,0.5416666666666666
0,2020-05-16,Actual,0.5866666666666667
0,2020-05-17,Actual,0.6153846153846154
0,2020-05-18,Actual,0.6744186046511628
0,2020-05-19,Actual,0.627906976744186
0,2020-05-20,Actual,0.6
0,2020-05-21,Actual,0.6195652173913043
0,2020-05-22,Actual,0.6382978723404256
0,2020-05-23,Actual,0.5833333333333334
0,2020-05-24,Actual,0.6116504854368932
0,2020-05-25,Actual,0.6
0,2020-05-26,Actual,0.6339285714285714
0,2020-05-27,Actual,0.652542372881356
0,2020-05-28,Actual,0.648
0,2020-05-29,Actual,0.5801526717557252
0,2020-05-30,Actual,0.5925925925925926
0,2020-05-31,Actual,0.5869565217391305
0,2020-06-01,Actual,0.6
0,2020-06-02,Actual,0.6363636363636364
0,2020-06-03,Actual,0.6086956521739131
0,2020-06-04,Actual,0.6327683615819211
0,2020-06-05,Actual,0.6717171717171717
0,2020-06-06,Actual,0.6485148514851485
0,2020-06-07,Actual,0.6604651162790698
0,2020-06-08,Actual,0.6506550218340611
0,2020-06-09,Actual,0.6734693877551021
0,2020-06-10,Actual,0.6704980842911877
0,2020-06-11,Actual,0.6726618705035972
0,2020-06-12,Actual,0.6925675675675675
0,2020-06-13,Actual,0.6611842105263158
0,2020-06-14,Actual,0.6676470588235294
0,2020-06-15,Actual,0.6808510638297872
0,2020-06-16,Actual,0.6725
0,2020-06-17,Actual,0.6712643678160921
0,2020-06-18,Actual,0.6916488222698073
0,2020-06-19,Actual,0.6910569105691057
0,2020-06-20,Actual,0.6902485659655831
0,2020-06-21,Actual,0.7064056939501779
0,2020-06-22,Actual,0.7001647446457989
0,2020-06-23,Actual,0.6754250386398764
0,2020-06-24,Actual,0.6568047337278107
0,2020-06-25,Actual,0.6422535211267606
0,2020-06-26,Actual,0.6510067114093959
0,2020-06-27,Actual,0.5974025974025974
0,2020-06-28,Actual,0.6146341463414634
0,2020-06-29,Actual,0.597864768683274
0,2020-06-30,Actual,0.5986316989737742
0,2020-07-01,Actual,0.6090712742980562
0,2020-07-02,Actual,0.6018614270941055
0,2020-07-03,Actual,0.5981781376518218
0,2020-07-04,Actual,0.5901960784313726
0,2020-07-05,Actual,0.5892514395393474
0,2020-07-06,Actual,0.5745079662605436
0,2020-07-07,Actual,0.5965858041329739
0,2020-07-08,Actual,0.593235039028621
0,2020-07-09,Actual,0.5920271416454622
0,2020-07-10,Actual,0.5816498316498316
0,2020-07-11,Actual,0.5670886075949367
0,2020-07-12,Actual,0.5616883116883117
0,2020-07-13,Actual,0.5638629283489096
0,2020-07-14,Actual,0.5886681383370125
0,2020-07-15,Actual,0.5888966971187631
0,2020-07-16,Actual,0.5865384615384616
0,2020-07-17,Actual,0.591182364729459
0,2020-07-18,Actual,0.5977835723598436
0,2020-07-19,Actual,0.5942492012779552
0,2020-07-20,Actual,0.582003828972559
0,2020-07-21,Actual,0.5544933078393881
0,2020-07-22,Actual,0.5400763358778626
0,2020-07-23,Actual,0.5260842237586424
0,2020-07-24,Actual,0.5047199496538703
0,2020-07-25,Actual,0.4857504749841672
0,2020-07-26,Actual,0.4684512428298279
0,2020-07-27,Actual,0.4578778135048232
0,2020-07-28,Actual,0.4525500322788896
0,2020-07-29,Actual,0.4522129570237332
0,2020-07-30,Actual,0.4607260726072607
0,2020-07-31,Actual,0.4498293515358362
