exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,3.641859533477794e-05
0,2020-03-08,Sin cuarentena,9.104648833694484e-05
0,2020-03-09,Sin cuarentena,0.00014567438133911175
0,2020-03-10,Sin cuarentena,0.00014567438133911175
0,2020-03-11,Sin cuarentena,0.00016388367900650071
0,2020-03-12,Sin cuarentena,0.00018209297667388968
0,2020-03-13,Sin cuarentena,0.00018209297667388968
0,2020-03-14,Sin cuarentena,0.00020030227434127867
0,2020-03-15,Sin cuarentena,0.0002549301673434456
0,2020-03-16,Sin cuarentena,0.0003095580603456125
0,2020-03-17,Sin cuarentena,0.00041881384634994627
0,2020-03-18,Sin cuarentena,0.0005644882276890581
0,2020-03-19,Sin cuarentena,0.0007283719066955587
0,2020-03-20,Sin cuarentena,0.0008376276926998925
0,2020-03-21,Sin cuarentena,0.0009468834787042264
0,2020-03-22,Sin cuarentena,0.0010379299670411713
0,2020-03-23,Sin cuarentena,0.0011289764553781161
0,2020-03-24,Sin cuarentena,0.0013110694320520057
0,2020-03-25,Sin cuarentena,0.0014749531110585066
0,2020-03-26,Sin cuarentena,0.0017116739807345631
0,2020-03-27,Sin cuarentena,0.0021122785294171204
0,2020-03-28,Sin cuarentena,0.002512883078099678
0,2020-03-29,Sin cuarentena,0.002895278329114846
0,2020-03-30,Sin cuarentena,0.0032776735801300144
0,2020-03-31,Sin cuarentena,0.0038421618078190722
0,2020-04-01,Sin cuarentena,0.004424859333175519
0,2020-04-02,Sin cuarentena,0.004989347560864578
0,2020-04-03,Sin cuarentena,0.005808765955897081
0,2020-04-04,Sin cuarentena,0.006682812243931751
0,2020-04-05,Sin cuarentena,0.007283719066955588
0,2020-04-06,Sin cuarentena,0.008267021140994592
0,2020-04-07,Sin cuarentena,0.009213904619698818
0,2020-04-08,Sin cuarentena,0.010324671777409545
0,2020-04-09,Sin cuarentena,0.011672159804796328
0,2020-04-10,Sin cuarentena,0.013383833785530892
0,2020-04-11,Sin cuarentena,0.015496112314948013
0,2020-04-12,Sin cuarentena,0.01746271646302602
0,2020-04-13,Sin cuarentena,0.020212320410801756
