exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.25
0,2020-03-08,Actual,0.4
0,2020-03-09,Actual,0.5
0,2020-03-10,Actual,0.5
0,2020-03-11,Actual,0.5714285714285714
0,2020-03-12,Actual,0.7
0,2020-03-13,Actual,0.7272727272727273
0,2020-03-14,Actual,0.7692307692307693
0,2020-03-15,Actual,0.8125
0,2020-03-16,Actual,0.8125
0,2020-03-17,Actual,0.8235294117647058
0,2020-03-18,Actual,0.8421052631578947
0,2020-03-19,Actual,0.8636363636363636
0,2020-03-20,Actual,0.8695652173913043
0,2020-03-21,Actual,0.88
0,2020-03-22,Actual,0.8846153846153846
0,2020-03-23,Actual,0.8846153846153846
0,2020-03-24,Actual,0.8846153846153846
0,2020-03-25,Actual,0.7083333333333334
0,2020-03-26,Actual,0.5416666666666666
0,2020-03-27,Actual,0.5384615384615384
0,2020-03-28,Actual,0.5555555555555556
0,2020-03-29,Actual,0.5714285714285714
0,2020-03-30,Actual,0.4166666666666667
0,2020-03-31,Actual,0.4
0,2020-04-01,Actual,0.44
0,2020-04-02,Actual,0.4583333333333333
0,2020-04-03,Actual,0.5217391304347826
0,2020-04-04,Actual,0.5652173913043478
0,2020-04-05,Actual,0.5652173913043478
0,2020-04-06,Actual,0.5789473684210527
0,2020-04-07,Actual,0.6111111111111112
0,2020-04-08,Actual,0.42857142857142855
0,2020-04-09,Actual,0.42857142857142855
0,2020-04-10,Actual,0.38461538461538464
0,2020-04-11,Actual,0.25
0,2020-04-12,Actual,0.4375
0,2020-04-13,Actual,0.5
0,2020-04-14,Actual,0.5714285714285714
0,2020-04-15,Actual,0.6
0,2020-04-16,Actual,0.5
0,2020-04-17,Actual,0.5384615384615384
0,2020-04-18,Actual,0.7142857142857143
0,2020-04-19,Actual,0.7142857142857143
0,2020-04-20,Actual,0.7857142857142857
0,2020-04-21,Actual,0.875
0,2020-04-22,Actual,0.8823529411764706
0,2020-04-23,Actual,0.8823529411764706
0,2020-04-24,Actual,0.8823529411764706
0,2020-04-25,Actual,0.6
0,2020-04-26,Actual,0.6190476190476191
0,2020-04-27,Actual,0.6363636363636364
0,2020-04-28,Actual,0.6666666666666666
0,2020-04-29,Actual,0.6666666666666666
0,2020-04-30,Actual,0.5416666666666666
0,2020-05-01,Actual,0.3333333333333333
0,2020-05-02,Actual,0.44
0,2020-05-03,Actual,0.5
0,2020-05-04,Actual,0.5185185185185185
0,2020-05-05,Actual,0.5185185185185185
0,2020-05-06,Actual,0.5714285714285714
0,2020-05-07,Actual,0.5333333333333333
0,2020-05-08,Actual,0.6111111111111112
0,2020-05-09,Actual,0.6388888888888888
0,2020-05-10,Actual,0.6842105263157895
0,2020-05-11,Actual,0.6666666666666666
0,2020-05-12,Actual,0.6904761904761905
0,2020-05-13,Actual,0.7272727272727273
0,2020-05-14,Actual,0.5744680851063829
0,2020-05-15,Actual,0.44680851063829785
0,2020-05-16,Actual,0.5
0,2020-05-17,Actual,0.5689655172413793
0,2020-05-18,Actual,0.6268656716417911
0,2020-05-19,Actual,0.5652173913043478
0,2020-05-20,Actual,0.6216216216216216
0,2020-05-21,Actual,0.7096774193548387
0,2020-05-22,Actual,0.7592592592592593
0,2020-05-23,Actual,0.7796610169491526
0,2020-05-24,Actual,0.8046875
0,2020-05-25,Actual,0.7913669064748201
0,2020-05-26,Actual,0.6879432624113475
0,2020-05-27,Actual,0.6987951807228916
0,2020-05-28,Actual,0.7351351351351352
0,2020-05-29,Actual,0.6632124352331606
0,2020-05-30,Actual,0.7018348623853211
0,2020-05-31,Actual,0.7242798353909465
0,2020-06-01,Actual,0.7159533073929961
0,2020-06-02,Actual,0.7024221453287197
0,2020-06-03,Actual,0.7021943573667712
0,2020-06-04,Actual,0.6871508379888268
0,2020-06-05,Actual,0.6917293233082706
0,2020-06-06,Actual,0.7110091743119266
0,2020-06-07,Actual,0.7253218884120172
0,2020-06-08,Actual,0.7157258064516129
0,2020-06-09,Actual,0.6996336996336996
0,2020-06-10,Actual,0.7001647446457989
0,2020-06-11,Actual,0.7018072289156626
0,2020-06-12,Actual,0.7119113573407202
0,2020-06-13,Actual,0.7173637515842839
0,2020-06-14,Actual,0.7089639115250291
0,2020-06-15,Actual,0.68561872909699
0,2020-06-16,Actual,0.7029501525940997
0,2020-06-17,Actual,0.7039413382218148
0,2020-06-18,Actual,0.7017691659646167
0,2020-06-19,Actual,0.7118245888801881
0,2020-06-20,Actual,0.7144906743185079
0,2020-06-21,Actual,0.7265013054830287
0,2020-06-22,Actual,0.6998147004323657
0,2020-06-23,Actual,0.6919104991394148
0,2020-06-24,Actual,0.6971428571428572
0,2020-06-25,Actual,0.6920465567410281
0,2020-06-26,Actual,0.7192442882249561
0,2020-06-27,Actual,0.7188393951777687
0,2020-06-28,Actual,0.7099236641221374
0,2020-06-29,Actual,0.6981335247666905
0,2020-06-30,Actual,0.7078540913572132
0,2020-07-01,Actual,0.6958105646630237
0,2020-07-02,Actual,0.6994920993227991
0,2020-07-03,Actual,0.6973753280839895
0,2020-07-04,Actual,0.6959492435334309
0,2020-07-05,Actual,0.6853098166627988
0,2020-07-06,Actual,0.6712568306010929
0,2020-07-07,Actual,0.6742174629324547
0,2020-07-08,Actual,0.6722492697176241
0,2020-07-09,Actual,0.6606116774791474
0,2020-07-10,Actual,0.6539142755933404
0,2020-07-11,Actual,0.6518266779949023
0,2020-07-12,Actual,0.6350461133069829
0,2020-07-13,Actual,0.6216817676045144
0,2020-07-14,Actual,0.6017959436445269
0,2020-07-15,Actual,0.5933784800601957
0,2020-07-16,Actual,0.5837600585223116
0,2020-07-17,Actual,0.5786333285978121
0,2020-07-18,Actual,0.5754782851557045
