exp,Fecha,variable,value
0,2020-03-06,Apertura 100%,0.0
0,2020-03-07,Apertura 100%,0.0
0,2020-03-08,Apertura 100%,0.0
0,2020-03-09,Apertura 100%,0.0
0,2020-03-10,Apertura 100%,0.0
0,2020-03-11,Apertura 100%,0.0
0,2020-03-12,Apertura 100%,0.0
0,2020-03-13,Apertura 100%,0.0
0,2020-03-14,Apertura 100%,0.0
0,2020-03-15,Apertura 100%,0.0
0,2020-03-16,Apertura 100%,0.0
0,2020-03-17,Apertura 100%,0.0
0,2020-03-18,Apertura 100%,0.0
0,2020-03-19,Apertura 100%,0.0
0,2020-03-20,Apertura 100%,0.0
0,2020-03-21,Apertura 100%,0.7179430442767685
0,2020-03-22,Apertura 100%,0.6517823556745513
0,2020-03-23,Apertura 100%,0.6919213152479367
0,2020-03-24,Apertura 100%,0.6865443763414688
0,2020-03-25,Apertura 100%,0.5462792910406479
0,2020-03-26,Apertura 100%,0.6427544088686301
0,2020-03-27,Apertura 100%,0.6344345363219968
0,2020-03-28,Apertura 100%,0.6298984355984334
0,2020-03-29,Apertura 100%,0.6432412099218906
0,2020-03-30,Apertura 100%,0.6938463921403757
0,2020-03-31,Apertura 100%,0.6177284092669219
0,2020-04-01,Apertura 100%,0.607527714469055
0,2020-04-02,Apertura 100%,0.6026818312570531
0,2020-04-03,Apertura 100%,0.5902462770783086
0,2020-04-04,Apertura 100%,0.591175624543624
0,2020-04-05,Apertura 100%,0.6181267010377713
0,2020-04-06,Apertura 100%,0.6721394906290797
0,2020-04-07,Apertura 100%,0.5934326112451044
0,2020-04-08,Apertura 100%,0.5815281127608258
0,2020-04-09,Apertura 100%,0.5720354922222468
0,2020-04-10,Apertura 100%,0.6654127851658442
0,2020-04-11,Apertura 100%,0.7132520523089859
0,2020-04-12,Apertura 100%,0.6463611621268781
0,2020-04-13,Apertura 100%,0.6786227955656849
0,2020-04-14,Apertura 100%,0.6072179319806165
0,2020-04-15,Apertura 100%,0.6075498417896577
0,2020-04-16,Apertura 100%,0.5888965105215409
0,2020-04-17,Apertura 100%,0.6016861018299294
0,2020-04-18,Apertura 100%,0.5744252428473436
0,2020-04-19,Apertura 100%,0.6216228176930055
0,2020-04-20,Apertura 100%,0.6621379417166375
0,2020-04-21,Apertura 100%,0.5864846325758414
0,2020-04-22,Apertura 100%,0.5777222136171531
0,2020-04-23,Apertura 100%,0.5902905317195141
0,2020-04-24,Apertura 100%,0.5707521076272875
0,2020-04-25,Apertura 100%,0.563228818622353
0,2020-04-26,Apertura 100%,0.5793817626623592
0,2020-04-27,Apertura 100%,0.6408072046555883
0,2020-04-28,Apertura 100%,0.538180691700042
0,2020-04-29,Apertura 100%,0.5364105060518222
0,2020-04-30,Apertura 100%,0.5281791427875998
0,2020-05-01,Apertura 100%,0.5181333392339521
0,2020-05-02,Apertura 100%,0.5771911579226872
0,2020-05-03,Apertura 100%,0.5435133759653044
0,2020-05-04,Apertura 100%,0.6065983670037395
0,2020-05-05,Apertura 100%,0.5030425065828779
0,2020-05-06,Apertura 100%,0.4923771380523532
0,2020-05-07,Apertura 100%,0.4966698382492864
0,2020-05-08,Apertura 100%,0.4926426658995862
0,2020-05-09,Apertura 100%,0.4842785387117474
0,2020-05-10,Apertura 100%,0.4857389418715288
0,2020-05-11,Apertura 100%,0.534927975571438
0,2020-05-12,Apertura 100%,0.45250370632620096
0,2020-05-13,Apertura 100%,0.4627044011240679
0,2020-05-14,Apertura 100%,0.45259221560861196
0,2020-05-15,Apertura 100%,0.45850021020954573
0,2020-05-16,Apertura 100%,0.4381873298962229
0,2020-05-17,Apertura 100%,0.44845440665589803
0,2020-05-18,Apertura 100%,0.5405925696457416
0,2020-05-19,Apertura 100%,0.4303100037616445
0,2020-05-20,Apertura 100%,0.4552696214015445
0,2020-05-21,Apertura 100%,0.4301993671586308
0,2020-05-22,Apertura 100%,0.43272188170734405
0,2020-05-23,Apertura 100%,0.41948974398690064
0,2020-05-24,Apertura 100%,0.43199168012745337
0,2020-05-25,Apertura 100%,0.5205009625384462
0,2020-05-26,Apertura 100%,0.513486601907375
0,2020-05-27,Apertura 100%,0.41515278914876197
0,2020-05-28,Apertura 100%,0.4173212665678313
0,2020-05-29,Apertura 100%,0.42473391896975193
0,2020-05-30,Apertura 100%,0.40008408381829047
0,2020-05-31,Apertura 100%,0.41811785010953023
0,2020-06-01,Apertura 100%,0.4805390215298829
0,2020-06-02,Apertura 100%,0.4049963489921005
0,2020-06-03,Apertura 100%,0.405925696457416
0,2020-06-04,Apertura 100%,0.4134268581417476
0,2020-06-05,Apertura 100%,0.3998185559710575
0,2020-06-06,Apertura 100%,0.38875489566968335
0,2020-06-07,Apertura 100%,0.39884495386453656
0,2020-06-08,Apertura 100%,0.4621954727502047
0,2020-06-09,Apertura 100%,0.38353284800743476
0,2020-06-10,Apertura 100%,0.3834000840838183
0,2020-06-11,Apertura 100%,0.39559223773593255
0,2020-06-12,Apertura 100%,0.399331754917797
0,2020-06-13,Apertura 100%,0.38875489566968335
0,2020-06-14,Apertura 100%,0.365322063151373
0,2020-06-15,Apertura 100%,0.4522603057995707
0,2020-06-16,Apertura 100%,0.44759144115239086
0,2020-06-17,Apertura 100%,0.37654061469696637
0,2020-06-18,Apertura 100%,0.38315668355718807
0,2020-06-19,Apertura 100%,0.3828911557099551
0,2020-06-20,Apertura 100%,0.3490584825083531
0,2020-06-21,Apertura 100%,0.3554090235213418
0,2020-06-22,Apertura 100%,0.4631690748567256
0,2020-06-23,Apertura 100%,0.3629101852056734
0,2020-06-24,Apertura 100%,0.3550992410329033
0,2020-06-25,Apertura 100%,0.3582191932378908
0,2020-06-26,Apertura 100%,0.3490584825083531
0,2020-06-27,Apertura 100%,0.3490584825083531
0,2020-06-28,Apertura 100%,0.4360409797977563
0,2020-06-29,Apertura 100%,0.4337176111344677
0,2020-06-30,Apertura 100%,0.3490584825083531
0,2020-07-01,Apertura 100%,0.3490584825083531
0,2020-07-02,Apertura 100%,0.3490584825083531
0,2020-07-03,Apertura 100%,0.3490584825083531
0,2020-07-04,Apertura 100%,0.3490584825083531
0,2020-07-05,Apertura 100%,0.3972296594605359
0,2020-07-06,Apertura 100%,0.3521563073927378
0,2020-07-07,Apertura 100%,0.3490584825083531
0,2020-07-08,Apertura 100%,0.3490584825083531
0,2020-07-09,Apertura 100%,0.3493461376761888
0,2020-07-10,Apertura 100%,0.3490584825083531
0,2020-07-11,Apertura 100%,0.3490584825083531
0,2020-07-12,Apertura 100%,0.40875799349456776
0,2020-07-13,Apertura 100%,0.38928595136414934
0,2020-07-14,Apertura 100%,0.3945522536676034
0,2020-07-15,Apertura 100%,0.39599052950678204
0,2020-07-16,Apertura 100%,0.38428517690792824
0,2020-07-17,Apertura 100%,0.37061049277542985
0,2020-07-18,Apertura 100%,0.37837718230699446
0,2020-07-19,Apertura 100%,0.46058017834620407
0,2020-07-20,Apertura 100%,0.47788374305755316
0,2020-07-21,Apertura 100%,0.3922510123249176
0,2020-07-22,Apertura 100%,0.37397384550704754
0,2020-07-23,Apertura 100%,0.4149978979045427
0,2020-07-24,Apertura 100%,0.4082490651207045
0,2020-07-25,Apertura 100%,0.439404332529374
0,2020-07-26,Apertura 100%,0.4839466289027062
0,2020-07-27,Apertura 100%,0.38503750580842167
0,2020-07-28,Apertura 100%,0.3830460469541743
0,2020-07-29,Apertura 100%,0.3785320735512137
0,2020-07-30,Apertura 100%,0.3696368906689089
0,2020-07-31,Apertura 100%,0.37833292766578897
0,2020-08-01,Apertura 100%,0.3954816011329188
0,2020-08-02,Apertura 100%,0.45391985484477687
0,2020-08-03,Apertura 100%,0.3888655322726971
0,2020-08-04,Apertura 100%,0.38665280021242227
0,2020-08-05,Apertura 100%,0.38477197796118867
0,2020-08-06,Apertura 100%,0.37324364392715687
0,2020-08-07,Apertura 100%,0.4435642688026907
0,2020-08-08,Apertura 100%,0.38222733609187265
0,2020-08-09,Apertura 100%,0.4535658177151329
0,2020-08-10,Apertura 100%,0.36589737348704443
0,2020-08-11,Apertura 100%,0.3675126678910451
0,2020-08-12,Apertura 100%,0.3736861903392118
0,2020-08-13,Apertura 100%,0.3712521850729095
0,2020-08-14,Apertura 100%,0.3572013364901644
0,2020-08-15,Apertura 100%,0.3490584825083531
0,2020-08-16,Apertura 100%,0.4043325293740181
0,2020-08-17,Apertura 100%,0.46443033213108226
0,2020-08-18,Apertura 100%,0.3618259464961388
0,2020-08-19,Apertura 100%,0.36021065209213815
0,2020-08-20,Apertura 100%,0.35757750094041113
0,2020-08-21,Apertura 100%,0.3490584825083531
0,2020-08-22,Apertura 100%,0.3490584825083531
0,2020-08-23,Apertura 100%,0.42637134069435534
0,2020-08-24,Apertura 100%,0.3549000951474786
0,2020-08-25,Apertura 100%,0.3490584825083531
0,2020-08-26,Apertura 100%,0.3490584825083531
0,2020-08-27,Apertura 100%,0.3490584825083531
0,2020-08-28,Apertura 100%,0.0
0,2020-08-29,Apertura 100%,0.0
0,2020-08-30,Apertura 100%,0.0
0,2020-08-31,Apertura 100%,0.0
0,2020-09-01,Apertura 100%,0.0
0,2020-09-02,Apertura 100%,0.0
0,2020-09-03,Apertura 100%,0.0
0,2020-09-04,Apertura 100%,0.0
0,2020-09-05,Apertura 100%,0.0
0,2020-09-06,Apertura 100%,0.0
0,2020-09-07,Apertura 100%,0.0
0,2020-09-08,Apertura 100%,0.0
0,2020-09-09,Apertura 100%,0.0
0,2020-09-10,Apertura 100%,0.0
0,2020-09-11,Apertura 100%,0.0
0,2020-09-12,Apertura 100%,0.0
0,2020-09-13,Apertura 100%,0.0
0,2020-09-14,Apertura 100%,0.0
0,2020-09-15,Apertura 100%,0.0
0,2020-09-16,Apertura 100%,0.0
0,2020-09-17,Apertura 100%,0.0
0,2020-09-18,Apertura 100%,0.0
0,2020-09-19,Apertura 100%,0.0
0,2020-09-20,Apertura 100%,0.0
0,2020-09-21,Apertura 100%,0.0
0,2020-09-22,Apertura 100%,0.0
0,2020-09-23,Apertura 100%,0.0
0,2020-09-24,Apertura 100%,0.0
0,2020-09-25,Apertura 100%,0.0
0,2020-09-26,Apertura 100%,0.0
0,2020-09-27,Apertura 100%,0.0
0,2020-09-28,Apertura 100%,0.0
0,2020-09-29,Apertura 100%,0.0
0,2020-09-30,Apertura 100%,0.0
0,2020-10-01,Apertura 100%,0.0
0,2020-10-02,Apertura 100%,0.0
0,2020-10-03,Apertura 100%,0.0
0,2020-10-04,Apertura 100%,0.0
0,2020-10-05,Apertura 100%,0.0
0,2020-10-06,Apertura 100%,0.0
0,2020-10-07,Apertura 100%,0.0
0,2020-10-08,Apertura 100%,0.0
0,2020-10-09,Apertura 100%,0.0
0,2020-10-10,Apertura 100%,0.0
0,2020-10-11,Apertura 100%,0.0
0,2020-10-12,Apertura 100%,0.0
0,2020-10-13,Apertura 100%,0.0
0,2020-10-14,Apertura 100%,0.0
0,2020-10-15,Apertura 100%,0.0
0,2020-10-16,Apertura 100%,0.0
0,2020-10-17,Apertura 100%,0.0
0,2020-10-18,Apertura 100%,0.0
0,2020-10-19,Apertura 100%,0.0
0,2020-10-20,Apertura 100%,0.0
0,2020-10-21,Apertura 100%,0.0
0,2020-10-22,Apertura 100%,0.0
0,2020-10-23,Apertura 100%,0.0
0,2020-10-24,Apertura 100%,0.0
0,2020-10-25,Apertura 100%,0.0
0,2020-10-26,Apertura 100%,0.0
0,2020-10-27,Apertura 100%,0.0
0,2020-10-28,Apertura 100%,0.0
0,2020-10-29,Apertura 100%,0.0
0,2020-10-30,Apertura 100%,0.0
0,2020-10-31,Apertura 100%,0.0
0,2020-11-01,Apertura 100%,0.0
0,2020-11-02,Apertura 100%,0.0
0,2020-11-03,Apertura 100%,0.0
0,2020-11-04,Apertura 100%,0.0
0,2020-11-05,Apertura 100%,0.0
0,2020-11-06,Apertura 100%,0.0
0,2020-11-07,Apertura 100%,0.0
0,2020-11-08,Apertura 100%,0.0
0,2020-11-09,Apertura 100%,0.0
0,2020-11-10,Apertura 100%,0.0
0,2020-11-11,Apertura 100%,0.0
0,2020-11-12,Apertura 100%,0.0
0,2020-11-13,Apertura 100%,0.0
0,2020-11-14,Apertura 100%,0.0
0,2020-11-15,Apertura 100%,0.0
0,2020-11-16,Apertura 100%,0.0
0,2020-11-17,Apertura 100%,0.0
0,2020-11-18,Apertura 100%,0.0
0,2020-11-19,Apertura 100%,0.0
0,2020-11-20,Apertura 100%,0.0
0,2020-11-21,Apertura 100%,0.0
0,2020-11-22,Apertura 100%,0.0
0,2020-11-23,Apertura 100%,0.0
0,2020-11-24,Apertura 100%,0.0
0,2020-11-25,Apertura 100%,0.0
0,2020-11-26,Apertura 100%,0.0
0,2020-11-27,Apertura 100%,0.0
0,2020-11-28,Apertura 100%,0.0
0,2020-11-29,Apertura 100%,0.0
0,2020-11-30,Apertura 100%,0.0
0,2020-12-01,Apertura 100%,0.0
0,2020-12-02,Apertura 100%,0.0
0,2020-12-03,Apertura 100%,0.0
0,2020-12-04,Apertura 100%,0.0
0,2020-12-05,Apertura 100%,0.0
0,2020-12-06,Apertura 100%,0.0
0,2020-12-07,Apertura 100%,0.0
0,2020-12-08,Apertura 100%,0.0
0,2020-12-09,Apertura 100%,0.0
0,2020-12-10,Apertura 100%,0.0
0,2020-12-11,Apertura 100%,0.0
0,2020-12-12,Apertura 100%,0.0
0,2020-12-13,Apertura 100%,0.0
0,2020-12-14,Apertura 100%,0.0
0,2020-12-15,Apertura 100%,0.0
0,2020-12-16,Apertura 100%,0.0
0,2020-12-17,Apertura 100%,0.0
0,2020-12-18,Apertura 100%,0.0
0,2020-12-19,Apertura 100%,0.0
0,2020-12-20,Apertura 100%,0.0
0,2020-12-21,Apertura 100%,0.0
0,2020-12-22,Apertura 100%,0.0
0,2020-12-23,Apertura 100%,0.0
0,2020-12-24,Apertura 100%,0.0
0,2020-12-25,Apertura 100%,0.0
0,2020-12-26,Apertura 100%,0.0
0,2020-12-27,Apertura 100%,0.0
0,2020-12-28,Apertura 100%,0.0
0,2020-12-29,Apertura 100%,0.0
0,2020-12-30,Apertura 100%,0.0
1,2020-03-06,Apertura 100%,0.0
1,2020-03-07,Apertura 100%,0.0
1,2020-03-08,Apertura 100%,0.0
1,2020-03-09,Apertura 100%,0.0
1,2020-03-10,Apertura 100%,0.0
1,2020-03-11,Apertura 100%,0.0
1,2020-03-12,Apertura 100%,0.0
1,2020-03-13,Apertura 100%,0.0
1,2020-03-14,Apertura 100%,0.0
1,2020-03-15,Apertura 100%,0.0
1,2020-03-16,Apertura 100%,0.0
1,2020-03-17,Apertura 100%,0.0
1,2020-03-18,Apertura 100%,0.0
1,2020-03-19,Apertura 100%,0.0
1,2020-03-20,Apertura 100%,0.0
1,2020-03-21,Apertura 100%,0.7117695218286018
1,2020-03-22,Apertura 100%,0.6525789392162503
1,2020-03-23,Apertura 100%,0.6970548536277742
1,2020-03-24,Apertura 100%,0.6875401057685925
1,2020-03-25,Apertura 100%,0.5457261080255792
1,2020-03-26,Apertura 100%,0.6430420640364658
1,2020-03-27,Apertura 100%,0.6357179209169561
1,2020-03-28,Apertura 100%,0.6339477352687363
1,2020-03-29,Apertura 100%,0.6457194698293983
1,2020-03-30,Apertura 100%,0.6905936760117717
1,2020-03-31,Apertura 100%,0.6195428495563472
1,2020-04-01,Apertura 100%,0.6025933219746421
1,2020-04-02,Apertura 100%,0.6030358683866971
1,2020-04-03,Apertura 100%,0.5917951895205009
1,2020-04-04,Apertura 100%,0.5933219746420906
1,2020-04-05,Apertura 100%,0.6125948708870843
1,2020-04-06,Apertura 100%,0.6756356072843139
1,2020-04-07,Apertura 100%,0.5908658420551856
1,2020-04-08,Apertura 100%,0.5780983780673998
1,2020-04-09,Apertura 100%,0.5757307547629058
1,2020-04-10,Apertura 100%,0.658840970946828
1,2020-04-11,Apertura 100%,0.7125218507290952
1,2020-04-12,Apertura 100%,0.6452547960967406
1,2020-04-13,Apertura 100%,0.6736884030712721
1,2020-04-14,Apertura 100%,0.6054698736529993
1,2020-04-15,Apertura 100%,0.6111787223685083
1,2020-04-16,Apertura 100%,0.5887858739185272
1,2020-04-17,Apertura 100%,0.6001814440289426
1,2020-04-18,Apertura 100%,0.5747350253357821
1,2020-04-19,Apertura 100%,0.6177726639081274
1,2020-04-20,Apertura 100%,0.660080100900582
1,2020-04-21,Apertura 100%,0.5909322240169937
1,2020-04-22,Apertura 100%,0.575354590312659
1,2020-04-23,Apertura 100%,0.5896930940632399
1,2020-04-24,Apertura 100%,0.5753767176332618
1,2020-04-25,Apertura 100%,0.5659947336976966
1,2020-04-26,Apertura 100%,0.5781868873498108
1,2020-04-27,Apertura 100%,0.6362047219702166
1,2020-04-28,Apertura 100%,0.5369858163874937
1,2020-04-29,Apertura 100%,0.5413227712256323
1,2020-04-30,Apertura 100%,0.5277808510167504
1,2020-05-01,Apertura 100%,0.5183767397605824
1,2020-05-02,Apertura 100%,0.5739384417940832
1,2020-05-03,Apertura 100%,0.5430929568738522
1,2020-05-04,Apertura 100%,0.6095855552851105
1,2020-05-05,Apertura 100%,0.5042373818954263
1,2020-05-06,Apertura 100%,0.4943464695859978
1,2020-05-07,Apertura 100%,0.4990817161949859
1,2020-05-08,Apertura 100%,0.49518730776890224
1,2020-05-09,Apertura 100%,0.4831279180404045
1,2020-05-10,Apertura 100%,0.4834598278494457
1,2020-05-11,Apertura 100%,0.5341313920297391
1,2020-05-12,Apertura 100%,0.45310114398247514
1,2020-05-13,Apertura 100%,0.46476224194012344
1,2020-05-14,Apertura 100%,0.45093266656340586
1,2020-05-15,Apertura 100%,0.4601376319341491
1,2020-05-16,Apertura 100%,0.4404664439183059
1,2020-05-17,Apertura 100%,0.4477463323966101
1,2020-05-18,Apertura 100%,0.540990861416591
1,2020-05-19,Apertura 100%,0.42913725576969886
1,2020-05-20,Apertura 100%,0.455136857477928
1,2020-05-21,Apertura 100%,0.43369548381386497
1,2020-05-22,Apertura 100%,0.43092956873852145
1,2020-05-23,Apertura 100%,0.41882592436881816
1,2020-05-24,Apertura 100%,0.43128360586816544
1,2020-05-25,Apertura 100%,0.5189963047374594
1,2020-05-26,Apertura 100%,0.5178456840661164
1,2020-05-27,Apertura 100%,0.4153961896753922
1,2020-05-28,Apertura 100%,0.4146881154161043
1,2020-05-29,Apertura 100%,0.4251985927024097
1,2020-05-30,Apertura 100%,0.3999734472152767
1,2020-05-31,Apertura 100%,0.41807359546832473
1,2020-06-01,Apertura 100%,0.47865819927864933
1,2020-06-02,Apertura 100%,0.4065452614342929
1,2020-06-03,Apertura 100%,0.4040227468855796
1,2020-06-04,Apertura 100%,0.4109043435930343
1,2020-06-05,Apertura 100%,0.39840240745248157
1,2020-06-06,Apertura 100%,0.38581196202951784
1,2020-06-07,Apertura 100%,0.39656583984245347
1,2020-06-08,Apertura 100%,0.46170867169694424
1,2020-06-09,Apertura 100%,0.3839090124576815
1,2020-06-10,Apertura 100%,0.3831345562365853
1,2020-06-11,Apertura 100%,0.3946407629500144
1,2020-06-12,Apertura 100%,0.39957515544442723
1,2020-06-13,Apertura 100%,0.38928595136414934
1,2020-06-14,Apertura 100%,0.3643927156860576
1,2020-06-15,Apertura 100%,0.4511096851282278
1,2020-06-16,Apertura 100%,0.4503352289071316
1,2020-06-17,Apertura 100%,0.37696103378841855
1,2020-06-18,Apertura 100%,0.38112097006173523
1,2020-06-19,Apertura 100%,0.3828911557099551
1,2020-06-20,Apertura 100%,0.35140397849224436
1,2020-06-21,Apertura 100%,0.3555417874449583
1,2020-06-22,Apertura 100%,0.46075719691102607
1,2020-06-23,Apertura 100%,0.36324209501471466
1,2020-06-24,Apertura 100%,0.35569667868917754
1,2020-06-25,Apertura 100%,0.359082158741398
1,2020-06-26,Apertura 100%,0.35158099705706636
1,2020-06-27,Apertura 100%,0.35158099705706636
1,2020-06-28,Apertura 100%,0.4329652822339743
1,2020-06-29,Apertura 100%,0.4340716482641117
1,2020-06-30,Apertura 100%,0.35166950633947736
1,2020-07-01,Apertura 100%,0.3517358883012856
1,2020-07-02,Apertura 100%,0.35175801562188835
1,2020-07-03,Apertura 100%,0.35175801562188835
1,2020-07-04,Apertura 100%,0.3518243975836966
1,2020-07-05,Apertura 100%,0.39782709711681014
1,2020-07-06,Apertura 100%,0.3527979996902175
1,2020-07-07,Apertura 100%,0.3519571615073131
1,2020-07-08,Apertura 100%,0.35202354346912135
1,2020-07-09,Apertura 100%,0.3520014161485186
1,2020-07-10,Apertura 100%,0.3522448166751488
