exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,0.0
0,2020-03-08,Sin cuarentena,2.2127320602748214e-05
0,2020-03-09,Sin cuarentena,2.2127320602748214e-05
0,2020-03-10,Sin cuarentena,2.2127320602748214e-05
0,2020-03-11,Sin cuarentena,4.425464120549643e-05
0,2020-03-12,Sin cuarentena,6.638196180824463e-05
0,2020-03-13,Sin cuarentena,8.850928241099285e-05
0,2020-03-14,Sin cuarentena,0.00011063660301374106
0,2020-03-15,Sin cuarentena,0.00011063660301374106
0,2020-03-16,Sin cuarentena,0.00013276392361648927
0,2020-03-17,Sin cuarentena,0.00013276392361648927
0,2020-03-18,Sin cuarentena,0.00013276392361648927
0,2020-03-19,Sin cuarentena,0.0001548912442192375
0,2020-03-20,Sin cuarentena,0.0001770185648219857
0,2020-03-21,Sin cuarentena,0.00022127320602748212
0,2020-03-22,Sin cuarentena,0.00022127320602748212
0,2020-03-23,Sin cuarentena,0.00026552784723297854
0,2020-03-24,Sin cuarentena,0.00028765516783572676
0,2020-03-25,Sin cuarentena,0.00028765516783572676
0,2020-03-26,Sin cuarentena,0.0003319098090412232
0,2020-03-27,Sin cuarentena,0.0003319098090412232
0,2020-03-28,Sin cuarentena,0.0003319098090412232
0,2020-03-29,Sin cuarentena,0.000420419091452216
0,2020-03-30,Sin cuarentena,0.000420419091452216
0,2020-03-31,Sin cuarentena,0.000420419091452216
0,2020-04-01,Sin cuarentena,0.00046467373265771247
0,2020-04-02,Sin cuarentena,0.0005310556944659571
0,2020-04-03,Sin cuarentena,0.0005753103356714535
0,2020-04-04,Sin cuarentena,0.0005974376562742018
0,2020-04-05,Sin cuarentena,0.00061956497687695
0,2020-04-06,Sin cuarentena,0.0006416922974796982
0,2020-04-07,Sin cuarentena,0.0007080742592879428
0,2020-04-08,Sin cuarentena,0.0007523289004934393
0,2020-04-09,Sin cuarentena,0.0008187108623016839
0,2020-04-10,Sin cuarentena,0.0008850928241099285
0,2020-04-11,Sin cuarentena,0.0009736021065209214
0,2020-04-12,Sin cuarentena,0.0009957294271236697
0,2020-04-13,Sin cuarentena,0.0009957294271236697
0,2020-04-14,Sin cuarentena,0.001039984068329166
0,2020-04-15,Sin cuarentena,0.0011063660301374107
0,2020-04-16,Sin cuarentena,0.0011727479919456552
0,2020-04-17,Sin cuarentena,0.001261257274356648
0,2020-04-18,Sin cuarentena,0.0013718938773703891
0,2020-04-19,Sin cuarentena,0.0014825304803841304
0,2020-04-20,Sin cuarentena,0.0014825304803841304
0,2020-04-21,Sin cuarentena,0.0016152944040006196
0,2020-04-22,Sin cuarentena,0.0017923129688226054
0,2020-04-23,Sin cuarentena,0.0018144402894253535
0,2020-04-24,Sin cuarentena,0.001880822251233598
0,2020-04-25,Sin cuarentena,0.0020357134954528356
0,2020-04-26,Sin cuarentena,0.0021242227778638283
0,2020-04-27,Sin cuarentena,0.0021463500984665765
0,2020-04-28,Sin cuarentena,0.0022569867014803177
0,2020-04-29,Sin cuarentena,0.002500387228110548
0,2020-04-30,Sin cuarentena,0.0027437877547407783
0,2020-05-01,Sin cuarentena,0.0030535702431792535
0,2020-05-02,Sin cuarentena,0.0032969707698094837
0,2020-05-03,Sin cuarentena,0.0035846259376452107
0,2020-05-04,Sin cuarentena,0.0036952625406589516
0,2020-05-05,Sin cuarentena,0.003761644502467196
0,2020-05-06,Sin cuarentena,0.004137808952713916
0,2020-05-07,Sin cuarentena,0.0046467373265771245
0,2020-05-08,Sin cuarentena,0.004978647135618348
0,2020-05-09,Sin cuarentena,0.005376938906467816
0,2020-05-10,Sin cuarentena,0.005974376562742018
0,2020-05-11,Sin cuarentena,0.006350541012988737
0,2020-05-12,Sin cuarentena,0.007213506516495918
0,2020-05-13,Sin cuarentena,0.007987962737592105
0,2020-05-14,Sin cuarentena,0.008895182882304781
0,2020-05-15,Sin cuarentena,0.010178567477264177
0,2020-05-16,Sin cuarentena,0.011284933507401588
0,2020-05-17,Sin cuarentena,0.012833845949593964
0,2020-05-18,Sin cuarentena,0.01411723054455336
