exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,0.3333333333333333
0,2020-03-08,Sin cuarentena,0.3333333333333333
0,2020-03-09,Sin cuarentena,0.3333333333333333
0,2020-03-10,Sin cuarentena,0.3333333333333333
0,2020-03-11,Sin cuarentena,0.5
0,2020-03-12,Sin cuarentena,0.6
0,2020-03-13,Sin cuarentena,0.6666666666666666
0,2020-03-14,Sin cuarentena,0.7142857142857143
0,2020-03-15,Sin cuarentena,0.75
0,2020-03-16,Sin cuarentena,0.75
0,2020-03-17,Sin cuarentena,0.75
0,2020-03-18,Sin cuarentena,0.75
0,2020-03-19,Sin cuarentena,0.8
0,2020-03-20,Sin cuarentena,0.4
0,2020-03-21,Sin cuarentena,0.4
0,2020-03-22,Sin cuarentena,0.4545454545454545
0,2020-03-23,Sin cuarentena,0.5
0,2020-03-24,Sin cuarentena,0.5384615384615384
0,2020-03-25,Sin cuarentena,0.5714285714285714
0,2020-03-26,Sin cuarentena,0.6428571428571429
0,2020-03-27,Sin cuarentena,0.6428571428571429
0,2020-03-28,Sin cuarentena,0.6875
0,2020-03-29,Sin cuarentena,0.6470588235294118
0,2020-03-30,Sin cuarentena,0.6875
0,2020-03-31,Sin cuarentena,0.6
0,2020-04-01,Sin cuarentena,0.5
0,2020-04-02,Sin cuarentena,0.55
0,2020-04-03,Sin cuarentena,0.6
0,2020-04-04,Sin cuarentena,0.6190476190476191
0,2020-04-05,Sin cuarentena,0.6363636363636364
0,2020-04-06,Sin cuarentena,0.43478260869565216
0,2020-04-07,Sin cuarentena,0.48
0,2020-04-08,Sin cuarentena,0.52
0,2020-04-09,Sin cuarentena,0.5714285714285714
0,2020-04-10,Sin cuarentena,0.6129032258064516
0,2020-04-11,Sin cuarentena,0.625
0,2020-04-12,Sin cuarentena,0.625
0,2020-04-13,Sin cuarentena,0.6129032258064516
0,2020-04-14,Sin cuarentena,0.625
0,2020-04-15,Sin cuarentena,0.6666666666666666
0,2020-04-16,Sin cuarentena,0.5
0,2020-04-17,Sin cuarentena,0.55
0,2020-04-18,Sin cuarentena,0.625
0,2020-04-19,Sin cuarentena,0.6086956521739131
0,2020-04-20,Sin cuarentena,0.5531914893617021
0,2020-04-21,Sin cuarentena,0.62
0,2020-04-22,Sin cuarentena,0.6296296296296297
0,2020-04-23,Sin cuarentena,0.6363636363636364
0,2020-04-24,Sin cuarentena,0.6935483870967742
0,2020-04-25,Sin cuarentena,0.703125
0,2020-04-26,Sin cuarentena,0.6129032258064516
0,2020-04-27,Sin cuarentena,0.532258064516129
0,2020-04-28,Sin cuarentena,0.582089552238806
0,2020-04-29,Sin cuarentena,0.6756756756756757
0,2020-04-30,Sin cuarentena,0.7272727272727273
0,2020-05-01,Sin cuarentena,0.7647058823529411
0,2020-05-02,Sin cuarentena,0.7614678899082569
0,2020-05-03,Sin cuarentena,0.7456140350877193
0,2020-05-04,Sin cuarentena,0.6695652173913044
0,2020-05-05,Sin cuarentena,0.6864406779661016
0,2020-05-06,Sin cuarentena,0.7050359712230215
0,2020-05-07,Sin cuarentena,0.6711409395973155
0,2020-05-08,Sin cuarentena,0.7065868263473054
0,2020-05-09,Sin cuarentena,0.7237569060773481
0,2020-05-10,Sin cuarentena,0.7435897435897436
0,2020-05-11,Sin cuarentena,0.7752293577981652
0,2020-05-12,Sin cuarentena,0.7898832684824902
0,2020-05-13,Sin cuarentena,0.7567567567567568
0,2020-05-14,Sin cuarentena,0.7710843373493976
0,2020-05-15,Sin cuarentena,0.7958656330749354
0,2020-05-16,Sin cuarentena,0.801354401805869
0,2020-05-17,Sin cuarentena,0.7641129032258065
0,2020-05-18,Sin cuarentena,0.7695099818511797
0,2020-05-19,Sin cuarentena,0.7858267716535433
0,2020-05-20,Sin cuarentena,0.8043478260869565
0,2020-05-21,Sin cuarentena,0.7930232558139535
0,2020-05-22,Sin cuarentena,0.8126232741617357
0,2020-05-23,Sin cuarentena,0.8381742738589212
0,2020-05-24,Sin cuarentena,0.8055353241077932
0,2020-05-25,Sin cuarentena,0.796812749003984
