exp,Fecha,variable,value
0,2020-03-06,Apertura 100%,0.0
0,2020-03-07,Apertura 100%,2.6751558278269708e-05
0,2020-03-08,Apertura 100%,0.0003477702576175062
0,2020-03-09,Apertura 100%,0.0006687889569567427
0,2020-03-10,Apertura 100%,0.0011770685642438672
0,2020-03-11,Apertura 100%,0.0016318450549744523
0,2020-03-12,Apertura 100%,0.0020598699874267677
0,2020-03-13,Apertura 100%,0.0022203793370963857
0,2020-03-14,Apertura 100%,0.0023273855702094647
0,2020-03-15,Apertura 100%,0.002487894919879083
0,2020-03-16,Apertura 100%,0.002648404269548701
0,2020-03-17,Apertura 100%,0.00278216206094005
0,2020-03-18,Apertura 100%,0.002942671410609668
0,2020-03-19,Apertura 100%,0.0029961745271662073
0,2020-03-20,Apertura 100%,0.0031031807602792862
0,2020-03-21,Apertura 100%,0.0031834354351140954
0,2020-03-22,Apertura 100%,0.0033439447847837134
0,2020-03-23,Apertura 100%,0.003477702576175062
0,2020-03-24,Apertura 100%,0.0036382119258446806
0,2020-03-25,Apertura 100%,0.00371846660067949
0,2020-03-26,Apertura 100%,0.00371846660067949
0,2020-03-27,Apertura 100%,0.003745218158957759
0,2020-03-28,Apertura 100%,0.0037987212755142986
0,2020-03-29,Apertura 100%,0.003852224392070838
0,2020-03-30,Apertura 100%,0.0039057275086273775
0,2020-03-31,Apertura 100%,0.0040127337417404565
0,2020-04-01,Apertura 100%,0.004066236858296996
0,2020-04-02,Apertura 100%,0.0041197399748535354
0,2020-04-03,Apertura 100%,0.004199994649688344
0,2020-04-04,Apertura 100%,0.004280249324523154
0,2020-04-05,Apertura 100%,0.004467510232471042
0,2020-04-06,Apertura 100%,0.004494261790749311
0,2020-04-07,Apertura 100%,0.0045745164655841206
0,2020-04-08,Apertura 100%,0.0045745164655841206
0,2020-04-09,Apertura 100%,0.0045745164655841206
0,2020-04-10,Apertura 100%,0.00460126802386239
0,2020-04-11,Apertura 100%,0.00462801958214066
0,2020-04-12,Apertura 100%,0.004761777373532008
0,2020-04-13,Apertura 100%,0.0048955351649233566
0,2020-04-14,Apertura 100%,0.0048955351649233566
0,2020-04-15,Apertura 100%,0.004922286723201627
0,2020-04-16,Apertura 100%,0.004975789839758166
0,2020-04-17,Apertura 100%,0.005082796072871245
0,2020-04-18,Apertura 100%,0.005082796072871245
0,2020-04-19,Apertura 100%,0.005082796072871245
0,2020-04-20,Apertura 100%,0.0051095476311495145
0,2020-04-21,Apertura 100%,0.005136299189427784
0,2020-04-22,Apertura 100%,0.005163050747706054
0,2020-04-23,Apertura 100%,0.005243305422540863
0,2020-04-24,Apertura 100%,0.005296808539097402
0,2020-04-25,Apertura 100%,0.005323560097375672
0,2020-04-26,Apertura 100%,0.005403814772210481
0,2020-04-27,Apertura 100%,0.005403814772210481
0,2020-04-28,Apertura 100%,0.005430566330488751
0,2020-04-29,Apertura 100%,0.005537572563601829
0,2020-04-30,Apertura 100%,0.0055643241218801
0,2020-05-01,Apertura 100%,0.005617827238436639
0,2020-05-02,Apertura 100%,0.005644578796714908
0,2020-05-03,Apertura 100%,0.0056713303549931786
0,2020-05-04,Apertura 100%,0.005831839704662797
0,2020-05-05,Apertura 100%,0.005885342821219336
0,2020-05-06,Apertura 100%,0.005912094379497606
0,2020-05-07,Apertura 100%,0.0060993552874454935
0,2020-05-08,Apertura 100%,0.006179609962280303
0,2020-05-09,Apertura 100%,0.006366870870228191
0,2020-05-10,Apertura 100%,0.006447125545063
0,2020-05-11,Apertura 100%,0.006500628661619539
0,2020-05-12,Apertura 100%,0.006580883336454349
0,2020-05-13,Apertura 100%,0.006714641127845697
0,2020-05-14,Apertura 100%,0.006794895802680506
0,2020-05-15,Apertura 100%,0.007008908268906664
0,2020-05-16,Apertura 100%,0.007115914502019743
0,2020-05-17,Apertura 100%,0.0073031754099676304
0,2020-05-18,Apertura 100%,0.007410181643080709
0,2020-05-19,Apertura 100%,0.007597442551028597
0,2020-05-20,Apertura 100%,0.007811455017254755
0,2020-05-21,Apertura 100%,0.008025467483480913
0,2020-05-22,Apertura 100%,0.00818597683315053
0,2020-05-23,Apertura 100%,0.008399989299376688
0,2020-05-24,Apertura 100%,0.008801262673550735
0,2020-05-25,Apertura 100%,0.009042026698055162
0,2020-05-26,Apertura 100%,0.009336293839116128
0,2020-05-27,Apertura 100%,0.009710815655011905
0,2020-05-28,Apertura 100%,0.010245846820577298
0,2020-05-29,Apertura 100%,0.010887884219255772
0,2020-05-30,Apertura 100%,0.011262406035151547
0,2020-05-31,Apertura 100%,0.011583424734490784
0,2020-06-01,Apertura 100%,0.012064952783499639
0,2020-06-02,Apertura 100%,0.012599983949065034
0,2020-06-03,Apertura 100%,0.013375779139134854
0,2020-06-04,Apertura 100%,0.014124822770926406
