exp,Fecha,variable,value
0,2020-03-06,Apertura 30%,0.0
0,2020-03-07,Apertura 30%,0.0
0,2020-03-08,Apertura 30%,0.0
0,2020-03-09,Apertura 30%,0.0
0,2020-03-10,Apertura 30%,0.0
0,2020-03-11,Apertura 30%,0.0
0,2020-03-12,Apertura 30%,0.0
0,2020-03-13,Apertura 30%,0.7521200609935529
0,2020-03-14,Apertura 30%,0.7183060913298199
0,2020-03-15,Apertura 30%,0.6980284101548915
0,2020-03-16,Apertura 30%,0.5335063267435328
0,2020-03-17,Apertura 30%,0.6433749765923865
0,2020-03-18,Apertura 30%,0.6505176426526845
0,2020-03-19,Apertura 30%,0.644017013991065
0,2020-03-20,Apertura 30%,0.649581338112945
0,2020-03-21,Apertura 30%,0.6936679061555335
0,2020-03-22,Apertura 30%,0.6276183087664856
0,2020-03-23,Apertura 30%,0.6220272330863272
0,2020-03-24,Apertura 30%,0.6069393542173832
0,2020-03-25,Apertura 30%,0.6008132473716594
0,2020-03-26,Apertura 30%,0.6049062357882347
0,2020-03-27,Apertura 30%,0.612476926780985
0,2020-03-28,Apertura 30%,0.6685749444905166
0,2020-03-29,Apertura 30%,0.6304807255022605
0,2020-03-30,Apertura 30%,0.6136004922286723
0,2020-03-31,Apertura 30%,0.6008667504882159
0,2020-04-01,Apertura 30%,0.6681736711163425
0,2020-04-02,Apertura 30%,0.6925710922661245
0,2020-04-03,Apertura 30%,0.6529252828977288
0,2020-04-04,Apertura 30%,0.6868997619111313
0,2020-04-05,Apertura 30%,0.6020973221690163
0,2020-04-06,Apertura 30%,0.6009470051630508
0,2020-04-07,Apertura 30%,0.5984323586848934
0,2020-04-08,Apertura 30%,0.5871432010914636
0,2020-04-09,Apertura 30%,0.5829432064417752
0,2020-04-10,Apertura 30%,0.6008667504882159
0,2020-04-11,Apertura 30%,0.6621010673871753
0,2020-04-12,Apertura 30%,0.6062705652604264
0,2020-04-13,Apertura 30%,0.6031138813835906
0,2020-04-14,Apertura 30%,0.6089992242048099
0,2020-04-15,Apertura 30%,0.6017763034696771
0,2020-04-16,Apertura 30%,0.5974960541451539
0,2020-04-17,Apertura 30%,0.5770311120622776
0,2020-04-18,Apertura 30%,0.6498488536957278
0,2020-04-19,Apertura 30%,0.5668120167999786
0,2020-04-20,Apertura 30%,0.5618094754019421
0,2020-04-21,Apertura 30%,0.5324630159706802
0,2020-04-22,Apertura 30%,0.5137636767341698
0,2020-04-23,Apertura 30%,0.6351087450844012
0,2020-04-24,Apertura 30%,0.5531954736363394
0,2020-04-25,Apertura 30%,0.6004654771140419
0,2020-04-26,Apertura 30%,0.5135229127096653
0,2020-04-27,Apertura 30%,0.5172146277520665
0,2020-04-28,Apertura 30%,0.5136299189427784
0,2020-04-29,Apertura 30%,0.5062999919745326
0,2020-04-30,Apertura 30%,0.4961879029453466
0,2020-05-01,Apertura 30%,0.4855675343088735
0,2020-05-02,Apertura 30%,0.5201840507209545
0,2020-05-03,Apertura 30%,0.4931114737433456
0,2020-05-04,Apertura 30%,0.4887777213022659
0,2020-05-05,Apertura 30%,0.4844974719777427
0,2020-05-06,Apertura 30%,0.4831063909472727
0,2020-05-07,Apertura 30%,0.46874080415184183
0,2020-05-08,Apertura 30%,0.45338540970011504
0,2020-05-09,Apertura 30%,0.5235547470640165
0,2020-05-10,Apertura 30%,0.457745913699473
0,2020-05-11,Apertura 30%,0.4667611888392499
0,2020-05-12,Apertura 30%,0.45322490035044544
0,2020-05-13,Apertura 30%,0.4557930499451593
0,2020-05-14,Apertura 30%,0.44319306599609426
0,2020-05-15,Apertura 30%,0.4296300259490115
0,2020-05-16,Apertura 30%,0.49717771060164256
0,2020-05-17,Apertura 30%,0.5388566383991867
0,2020-05-18,Apertura 30%,0.41938417912843423
0,2020-05-19,Apertura 30%,0.42508226104170566
0,2020-05-20,Apertura 30%,0.42561729220727107
0,2020-05-21,Apertura 30%,0.41387335812311066
0,2020-05-22,Apertura 30%,0.4165485139509376
0,2020-05-23,Apertura 30%,0.4886172119525962
0,2020-05-24,Apertura 30%,0.4114657178780664
0,2020-05-25,Apertura 30%,0.41218800995157967
0,2020-05-26,Apertura 30%,0.4167892779754421
0,2020-05-27,Apertura 30%,0.40400203311842914
0,2020-05-28,Apertura 30%,0.38779058880179773
0,2020-05-29,Apertura 30%,0.38792434659318903
0,2020-05-30,Apertura 30%,0.45884272758888206
0,2020-05-31,Apertura 30%,0.3832160723362136
0,2020-06-01,Apertura 30%,0.38861988710842404
0,2020-06-02,Apertura 30%,0.3798453759931516
0,2020-06-03,Apertura 30%,0.38490142050774456
0,2020-06-04,Apertura 30%,0.3701345603381397
0,2020-06-05,Apertura 30%,0.3655600438725556
0,2020-06-06,Apertura 30%,0.43420454241459566
0,2020-06-07,Apertura 30%,0.46079559134319575
0,2020-06-08,Apertura 30%,0.35881865118643164
0,2020-06-09,Apertura 30%,0.35930017923544044
0,2020-06-10,Apertura 30%,0.35930017923544044
0,2020-06-11,Apertura 30%,0.34447981594927907
0,2020-06-12,Apertura 30%,0.3495626120221503
0,2020-06-13,Apertura 30%,0.4407586741927717
