exp,Fecha,variable,value
0,2020-03-06,Apertura 100%,0.0
0,2020-03-07,Apertura 100%,0.0
0,2020-03-08,Apertura 100%,0.0
0,2020-03-09,Apertura 100%,0.0
0,2020-03-10,Apertura 100%,0.0
0,2020-03-11,Apertura 100%,0.0
0,2020-03-12,Apertura 100%,0.0
0,2020-03-13,Apertura 100%,0.0
0,2020-03-14,Apertura 100%,0.0
0,2020-03-15,Apertura 100%,1.820929766738897e-05
0,2020-03-16,Apertura 100%,0.0
0,2020-03-17,Apertura 100%,0.0
0,2020-03-18,Apertura 100%,0.0
0,2020-03-19,Apertura 100%,0.0
0,2020-03-20,Apertura 100%,1.820929766738897e-05
0,2020-03-21,Apertura 100%,1.820929766738897e-05
0,2020-03-22,Apertura 100%,1.820929766738897e-05
0,2020-03-23,Apertura 100%,0.0
0,2020-03-24,Apertura 100%,0.7781379172205328
0,2020-03-25,Apertura 100%,0.6290583972176194
0,2020-03-26,Apertura 100%,0.6234317242383961
0,2020-03-27,Apertura 100%,0.6242875612287634
0,2020-03-28,Apertura 100%,0.6684268987745142
0,2020-03-29,Apertura 100%,0.6264726769488501
0,2020-03-30,Apertura 100%,0.6187337254402098
0,2020-03-31,Apertura 100%,0.6208824225649616
0,2020-04-01,Apertura 100%,0.6221388641040115
0,2020-04-02,Apertura 100%,0.613926470856019
0,2020-04-03,Apertura 100%,0.6163847260411166
0,2020-04-04,Apertura 100%,0.6617440865305825
0,2020-04-05,Apertura 100%,0.5800025493016734
0,2020-04-06,Apertura 100%,0.5850647340532076
0,2020-04-07,Apertura 100%,0.5832620135841361
0,2020-04-08,Apertura 100%,0.6422055101334742
0,2020-04-09,Apertura 100%,0.6684086894768468
0,2020-04-10,Apertura 100%,0.638308720432653
0,2020-04-11,Apertura 100%,0.6768578035945153
0,2020-04-12,Apertura 100%,0.6282389788225868
0,2020-04-13,Apertura 100%,0.6256350492561502
0,2020-04-14,Apertura 100%,0.605258845166342
0,2020-04-15,Apertura 100%,0.6175501210918295
0,2020-04-16,Apertura 100%,0.5995593349964492
0,2020-04-17,Apertura 100%,0.6192071671795619
0,2020-04-18,Apertura 100%,0.6498169965584427
0,2020-04-19,Apertura 100%,0.6032376131252618
0,2020-04-20,Apertura 100%,0.603292241018264
0,2020-04-21,Apertura 100%,0.6066063331937287
0,2020-04-22,Apertura 100%,0.6009250323215034
0,2020-04-23,Apertura 100%,0.5920935229528197
0,2020-04-24,Apertura 100%,0.5987581258990841
0,2020-04-25,Apertura 100%,0.6404756268550722
0,2020-04-26,Apertura 100%,0.5757051550521697
0,2020-04-27,Apertura 100%,0.5642697161170493
0,2020-04-28,Apertura 100%,0.5704426680262942
0,2020-04-29,Apertura 100%,0.5348070724912141
0,2020-04-30,Apertura 100%,0.7400622757980224
0,2020-05-01,Apertura 100%,0.5335142123568294
0,2020-05-02,Apertura 100%,0.7364932534552142
0,2020-05-03,Apertura 100%,0.5313837245297449
0,2020-05-04,Apertura 100%,0.5409618151027915
0,2020-05-05,Apertura 100%,0.5401241874100916
0,2020-05-06,Apertura 100%,0.5438935120272411
0,2020-05-07,Apertura 100%,0.5252289819181675
0,2020-05-08,Apertura 100%,0.5248647959648196
0,2020-05-09,Apertura 100%,0.7114008412695523
0,2020-05-10,Apertura 100%,0.5411985359724676
0,2020-05-11,Apertura 100%,0.53260374747346
0,2020-05-12,Apertura 100%,0.539068048145383
0,2020-05-13,Apertura 100%,0.5424549775115174
0,2020-05-14,Apertura 100%,0.5212593550266766
0,2020-05-15,Apertura 100%,0.536118141923266
0,2020-05-16,Apertura 100%,0.7178651419414753
0,2020-05-17,Apertura 100%,0.5302001201813646
0,2020-05-18,Apertura 100%,0.5397964200520786
0,2020-05-19,Apertura 100%,0.5376113043319919
0,2020-05-20,Apertura 100%,0.538412513429357
0,2020-05-21,Apertura 100%,0.5085310559571717
0,2020-05-22,Apertura 100%,0.5313655152320775
0,2020-05-23,Apertura 100%,0.7075222608663984
0,2020-05-24,Apertura 100%,0.7095981208004807
0,2020-05-25,Apertura 100%,0.49973596518382285
0,2020-05-26,Apertura 100%,0.5005553835788553
0,2020-05-27,Apertura 100%,0.5177449605768706
0,2020-05-28,Apertura 100%,0.4932170366188976
0,2020-05-29,Apertura 100%,0.6743631298140831
0,2020-05-30,Apertura 100%,0.6997286814647559
0,2020-05-31,Apertura 100%,0.5036327548846441
0,2020-06-01,Apertura 100%,0.49949924431414683
0,2020-06-02,Apertura 100%,0.5090227069941913
0,2020-06-03,Apertura 100%,0.5084582187665022
0,2020-06-04,Apertura 100%,0.5008649416392009
0,2020-06-05,Apertura 100%,0.5195476810459421
0,2020-06-06,Apertura 100%,0.588779430777355
0,2020-06-07,Apertura 100%,0.4943642223719431
0,2020-06-08,Apertura 100%,0.5045978476610157
0,2020-06-09,Apertura 100%,0.5071107307391154
0,2020-06-10,Apertura 100%,0.5009013602345358
0,2020-06-11,Apertura 100%,0.486024364040279
0,2020-06-12,Apertura 100%,0.49609410565034506
0,2020-06-13,Apertura 100%,0.5648524136424058
0,2020-06-14,Apertura 100%,0.5786732705719541
0,2020-06-15,Apertura 100%,0.47879527286632556
0,2020-06-16,Apertura 100%,0.49099550230347616
0,2020-06-17,Apertura 100%,0.4782307846386365
0,2020-06-18,Apertura 100%,0.46013074275725185
0,2020-06-19,Apertura 100%,0.5301454922883624
0,2020-06-20,Apertura 100%,0.5824243858914362
0,2020-06-21,Apertura 100%,0.48081650490740574
0,2020-06-22,Apertura 100%,0.4111841506273103
0,2020-06-23,Apertura 100%,0.4754629713931934
0,2020-06-24,Apertura 100%,0.46790611286122696
0,2020-06-25,Apertura 100%,0.4766829943369084
0,2020-06-26,Apertura 100%,0.5455869767103083
0,2020-06-27,Apertura 100%,0.5601726241418868
0,2020-06-28,Apertura 100%,0.45934774295755415
0,2020-06-29,Apertura 100%,0.45435839539668954
0,2020-06-30,Apertura 100%,0.47602745962088244
0,2020-07-01,Apertura 100%,0.43207021505180543
0,2020-07-02,Apertura 100%,0.6274195604275543
0,2020-07-03,Apertura 100%,0.675528524864796
0,2020-07-04,Apertura 100%,0.4379336089007047
0,2020-07-05,Apertura 100%,0.4625161607516798
0,2020-07-06,Apertura 100%,0.4772110639692627
0,2020-07-07,Apertura 100%,0.46952674035362457
0,2020-07-08,Apertura 100%,0.45980297539923887
0,2020-07-09,Apertura 100%,0.49492871059963217
0,2020-07-10,Apertura 100%,0.5440391864085802
0,2020-07-11,Apertura 100%,0.4598758125899084
0,2020-07-12,Apertura 100%,0.4719667862410547
0,2020-07-13,Apertura 100%,0.4613325564032995
0,2020-07-14,Apertura 100%,0.47069213540433746
0,2020-07-15,Apertura 100%,0.45264672141595497
0,2020-07-16,Apertura 100%,0.46987271700930494
0,2020-07-17,Apertura 100%,0.5200393320829616
0,2020-07-18,Apertura 100%,0.525957353824863
0,2020-07-19,Apertura 100%,0.4497514430868401
0,2020-07-20,Apertura 100%,0.4616967423566473
0,2020-07-21,Apertura 100%,0.4620063004169929
0,2020-07-22,Apertura 100%,0.4610229983429539
0,2020-07-23,Apertura 100%,0.4659577180108163
0,2020-07-24,Apertura 100%,0.5259755631225304
0,2020-07-25,Apertura 100%,0.4414297940528434
0,2020-07-26,Apertura 100%,0.45727188302347177
0,2020-07-27,Apertura 100%,0.44345102609392356
0,2020-07-28,Apertura 100%,0.45149953566290946
0,2020-07-29,Apertura 100%,0.42671668153759307
0,2020-07-30,Apertura 100%,0.4258790538448932
0,2020-07-31,Apertura 100%,0.4546315348617004
0,2020-08-01,Apertura 100%,0.4255694957845476
0,2020-08-02,Apertura 100%,0.444689258335306
0,2020-08-03,Apertura 100%,0.43259828468415973
0,2020-08-04,Apertura 100%,0.4222007757160806
0,2020-08-05,Apertura 100%,0.4948376641112952
0,2020-08-06,Apertura 100%,0.44268623559189324
0,2020-08-07,Apertura 100%,0.5117358923466322
0,2020-08-08,Apertura 100%,0.4386073529143981
0,2020-08-09,Apertura 100%,0.42941165759236666
0,2020-08-10,Apertura 100%,0.43339949378152487
0,2020-08-11,Apertura 100%,0.4387348179980698
0,2020-08-12,Apertura 100%,0.42515068193819766
0,2020-08-13,Apertura 100%,0.4168108236065335
0,2020-08-14,Apertura 100%,0.46592129941548155
0,2020-08-15,Apertura 100%,0.4876449915326766
0,2020-08-16,Apertura 100%,0.41342389424039916
0,2020-08-17,Apertura 100%,0.432798586958501
0,2020-08-18,Apertura 100%,0.4208897062840286
0,2020-08-19,Apertura 100%,0.4103101043392756
0,2020-08-20,Apertura 100%,0.4217273339767285
0,2020-08-21,Apertura 100%,0.4921062694611869
0,2020-08-22,Apertura 100%,0.4188866835406158
0,2020-08-23,Apertura 100%,0.42748147203962344
0,2020-08-24,Apertura 100%,0.42469544949651294
0,2020-08-25,Apertura 100%,0.41305970828705135
0,2020-08-26,Apertura 100%,0.3971994100187556
0,2020-08-27,Apertura 100%,0.40431924540670466
0,2020-08-28,Apertura 100%,0.4407014221461478
0,2020-08-29,Apertura 100%,0.3921008066718867
0,2020-08-30,Apertura 100%,0.39182766720687584
0,2020-08-31,Apertura 100%,0.38967897008212393
0,2020-09-01,Apertura 100%,0.38966076078445655
0,2020-09-02,Apertura 100%,5.462789300216691e-05
0,2020-09-03,Apertura 100%,5.462789300216691e-05
0,2020-09-04,Apertura 100%,5.462789300216691e-05
0,2020-09-05,Apertura 100%,0.0
0,2020-09-06,Apertura 100%,3.641859533477794e-05
0,2020-09-07,Apertura 100%,0.0
0,2020-09-08,Apertura 100%,5.462789300216691e-05
0,2020-09-09,Apertura 100%,1.820929766738897e-05
0,2020-09-10,Apertura 100%,9.104648833694484e-05
0,2020-09-11,Apertura 100%,7.283719066955588e-05
0,2020-09-12,Apertura 100%,5.462789300216691e-05
0,2020-09-13,Apertura 100%,3.641859533477794e-05
0,2020-09-14,Apertura 100%,3.641859533477794e-05
0,2020-09-15,Apertura 100%,9.104648833694484e-05
0,2020-09-16,Apertura 100%,7.283719066955588e-05
0,2020-09-17,Apertura 100%,5.462789300216691e-05
0,2020-09-18,Apertura 100%,9.104648833694484e-05
0,2020-09-19,Apertura 100%,5.462789300216691e-05
0,2020-09-20,Apertura 100%,9.104648833694484e-05
0,2020-09-21,Apertura 100%,1.820929766738897e-05
0,2020-09-22,Apertura 100%,1.820929766738897e-05
0,2020-09-23,Apertura 100%,7.283719066955588e-05
0,2020-09-24,Apertura 100%,1.820929766738897e-05
0,2020-09-25,Apertura 100%,0.00014567438133911175
0,2020-09-26,Apertura 100%,7.283719066955588e-05
0,2020-09-27,Apertura 100%,3.641859533477794e-05
0,2020-09-28,Apertura 100%,1.820929766738897e-05
0,2020-09-29,Apertura 100%,1.820929766738897e-05
0,2020-09-30,Apertura 100%,7.283719066955588e-05
0,2020-10-01,Apertura 100%,1.820929766738897e-05
0,2020-10-02,Apertura 100%,5.462789300216691e-05
0,2020-10-03,Apertura 100%,1.820929766738897e-05
0,2020-10-04,Apertura 100%,0.0
0,2020-10-05,Apertura 100%,1.820929766738897e-05
0,2020-10-06,Apertura 100%,9.104648833694484e-05
0,2020-10-07,Apertura 100%,5.462789300216691e-05
0,2020-10-08,Apertura 100%,1.820929766738897e-05
0,2020-10-09,Apertura 100%,3.641859533477794e-05
0,2020-10-10,Apertura 100%,5.462789300216691e-05
0,2020-10-11,Apertura 100%,3.641859533477794e-05
0,2020-10-12,Apertura 100%,3.641859533477794e-05
0,2020-10-13,Apertura 100%,0.0
0,2020-10-14,Apertura 100%,1.820929766738897e-05
0,2020-10-15,Apertura 100%,1.820929766738897e-05
0,2020-10-16,Apertura 100%,0.0
0,2020-10-17,Apertura 100%,1.820929766738897e-05
0,2020-10-18,Apertura 100%,1.820929766738897e-05
0,2020-10-19,Apertura 100%,3.641859533477794e-05
0,2020-10-20,Apertura 100%,3.641859533477794e-05
0,2020-10-21,Apertura 100%,0.0
0,2020-10-22,Apertura 100%,0.0
0,2020-10-23,Apertura 100%,3.641859533477794e-05
0,2020-10-24,Apertura 100%,0.0
0,2020-10-25,Apertura 100%,3.641859533477794e-05
0,2020-10-26,Apertura 100%,1.820929766738897e-05
0,2020-10-27,Apertura 100%,1.820929766738897e-05
0,2020-10-28,Apertura 100%,0.0
0,2020-10-29,Apertura 100%,1.820929766738897e-05
0,2020-10-30,Apertura 100%,1.820929766738897e-05
0,2020-10-31,Apertura 100%,5.462789300216691e-05
0,2020-11-01,Apertura 100%,1.820929766738897e-05
0,2020-11-02,Apertura 100%,0.0
0,2020-11-03,Apertura 100%,0.0
0,2020-11-04,Apertura 100%,0.0
0,2020-11-05,Apertura 100%,1.820929766738897e-05
0,2020-11-06,Apertura 100%,7.283719066955588e-05
0,2020-11-07,Apertura 100%,0.0
0,2020-11-08,Apertura 100%,3.641859533477794e-05
0,2020-11-09,Apertura 100%,0.0
0,2020-11-10,Apertura 100%,1.820929766738897e-05
0,2020-11-11,Apertura 100%,3.641859533477794e-05
0,2020-11-12,Apertura 100%,0.0
0,2020-11-13,Apertura 100%,0.0
0,2020-11-14,Apertura 100%,1.820929766738897e-05
0,2020-11-15,Apertura 100%,1.820929766738897e-05
0,2020-11-16,Apertura 100%,1.820929766738897e-05
0,2020-11-17,Apertura 100%,3.641859533477794e-05
0,2020-11-18,Apertura 100%,3.641859533477794e-05
0,2020-11-19,Apertura 100%,9.104648833694484e-05
0,2020-11-20,Apertura 100%,0.0
0,2020-11-21,Apertura 100%,1.820929766738897e-05
0,2020-11-22,Apertura 100%,0.0
0,2020-11-23,Apertura 100%,3.641859533477794e-05
0,2020-11-24,Apertura 100%,3.641859533477794e-05
0,2020-11-25,Apertura 100%,0.0
0,2020-11-26,Apertura 100%,0.0
0,2020-11-27,Apertura 100%,1.820929766738897e-05
0,2020-11-28,Apertura 100%,1.820929766738897e-05
0,2020-11-29,Apertura 100%,3.641859533477794e-05
0,2020-11-30,Apertura 100%,3.641859533477794e-05
0,2020-12-01,Apertura 100%,0.0
0,2020-12-02,Apertura 100%,0.0
0,2020-12-03,Apertura 100%,1.820929766738897e-05
0,2020-12-04,Apertura 100%,1.820929766738897e-05
0,2020-12-05,Apertura 100%,0.0
0,2020-12-06,Apertura 100%,9.104648833694484e-05
0,2020-12-07,Apertura 100%,5.462789300216691e-05
0,2020-12-08,Apertura 100%,3.641859533477794e-05
0,2020-12-09,Apertura 100%,1.820929766738897e-05
0,2020-12-10,Apertura 100%,5.462789300216691e-05
0,2020-12-11,Apertura 100%,1.820929766738897e-05
0,2020-12-12,Apertura 100%,0.0
0,2020-12-13,Apertura 100%,1.820929766738897e-05
0,2020-12-14,Apertura 100%,1.820929766738897e-05
0,2020-12-15,Apertura 100%,1.820929766738897e-05
0,2020-12-16,Apertura 100%,1.820929766738897e-05
0,2020-12-17,Apertura 100%,1.820929766738897e-05
0,2020-12-18,Apertura 100%,1.820929766738897e-05
0,2020-12-19,Apertura 100%,3.641859533477794e-05
0,2020-12-20,Apertura 100%,3.641859533477794e-05
0,2020-12-21,Apertura 100%,3.641859533477794e-05
0,2020-12-22,Apertura 100%,1.820929766738897e-05
0,2020-12-23,Apertura 100%,0.0
0,2020-12-24,Apertura 100%,1.820929766738897e-05
0,2020-12-25,Apertura 100%,3.641859533477794e-05
0,2020-12-26,Apertura 100%,1.820929766738897e-05
0,2020-12-27,Apertura 100%,1.820929766738897e-05
0,2020-12-28,Apertura 100%,3.641859533477794e-05
0,2020-12-29,Apertura 100%,0.0
0,2020-12-30,Apertura 100%,3.641859533477794e-05
1,2020-03-06,Apertura 100%,0.0
1,2020-03-07,Apertura 100%,0.0
1,2020-03-08,Apertura 100%,0.0
1,2020-03-09,Apertura 100%,0.0
1,2020-03-10,Apertura 100%,0.0
1,2020-03-11,Apertura 100%,0.0
1,2020-03-12,Apertura 100%,0.0
1,2020-03-13,Apertura 100%,0.0
1,2020-03-14,Apertura 100%,0.0
1,2020-03-15,Apertura 100%,3.641859533477794e-05
1,2020-03-16,Apertura 100%,0.0
1,2020-03-17,Apertura 100%,0.0
1,2020-03-18,Apertura 100%,0.0
1,2020-03-19,Apertura 100%,0.0
1,2020-03-20,Apertura 100%,0.0
1,2020-03-21,Apertura 100%,1.820929766738897e-05
1,2020-03-22,Apertura 100%,0.0
1,2020-03-23,Apertura 100%,0.0
1,2020-03-24,Apertura 100%,0.7760074293934482
1,2020-03-25,Apertura 100%,0.6326092102627602
1,2020-03-26,Apertura 100%,0.6225212593550267
1,2020-03-27,Apertura 100%,0.6266547699255239
1,2020-03-28,Apertura 100%,0.668554363858186
1,2020-03-29,Apertura 100%,0.6257989329351566
1,2020-03-30,Apertura 100%,0.6188976091192163
1,2020-03-31,Apertura 100%,0.6269643279858695
1,2020-04-01,Apertura 100%,0.6248702587541198
1,2020-04-02,Apertura 100%,0.6104302857038804
1,2020-04-03,Apertura 100%,0.6180599814265164
1,2020-04-04,Apertura 100%,0.6605240635868674
1,2020-04-05,Apertura 100%,0.5756505271591674
1,2020-04-06,Apertura 100%,0.5867946173316095
1,2020-04-07,Apertura 100%,0.5847915945881967
1,2020-04-08,Apertura 100%,0.6398383014367136
1,2020-04-09,Apertura 100%,0.6684451080721816
1,2020-04-10,Apertura 100%,0.6390735109346832
1,2020-04-11,Apertura 100%,0.6767849664038458
1,2020-04-12,Apertura 100%,0.6271828395578782
1,2020-04-13,Apertura 100%,0.6240872589544221
1,2020-04-14,Apertura 100%,0.6040752408179616
1,2020-04-15,Apertura 100%,0.6160205400877689
1,2020-04-16,Apertura 100%,0.601471311251525
1,2020-04-17,Apertura 100%,0.6215743758763225
1,2020-04-18,Apertura 100%,0.6498534151537775
1,2020-04-19,Apertura 100%,0.6041480780086312
1,2020-04-20,Apertura 100%,0.6044212174736421
1,2020-04-21,Apertura 100%,0.6056958683103593
1,2020-04-22,Apertura 100%,0.6015441484421946
1,2020-04-23,Apertura 100%,0.5939326620172259
1,2020-04-24,Apertura 100%,0.5993226141267731
1,2020-04-25,Apertura 100%,0.6402024873900614
1,2020-04-26,Apertura 100%,0.5768341315075478
1,2020-04-27,Apertura 100%,0.5647067392610667
1,2020-04-28,Apertura 100%,0.5676748547808511
1,2020-04-29,Apertura 100%,0.5375384671413224
1,2020-04-30,Apertura 100%,0.7389332993426444
1,2020-05-01,Apertura 100%,0.5362273977092703
1,2020-05-02,Apertura 100%,0.7326875102427299
1,2020-05-03,Apertura 100%,0.5316386546970884
1,2020-05-04,Apertura 100%,0.5448221862082779
1,2020-05-05,Apertura 100%,0.5416537684141522
1,2020-05-06,Apertura 100%,0.543747837645902
1,2020-05-07,Apertura 100%,0.523571935830435
1,2020-05-08,Apertura 100%,0.5244641914161371
1,2020-05-09,Apertura 100%,0.7122930968552543
1,2020-05-10,Apertura 100%,0.5405247919587741
1,2020-05-11,Apertura 100%,0.5380665367736767
1,2020-05-12,Apertura 100%,0.5398692572427481
1,2020-05-13,Apertura 100%,0.5395232805870678
1,2020-05-14,Apertura 100%,0.5231895405794198
1,2020-05-15,Apertura 100%,0.5389952109547135
1,2020-05-16,Apertura 100%,0.7181929092994883
1,2020-05-17,Apertura 100%,0.530873864195058
1,2020-05-18,Apertura 100%,0.5378298159040006
1,2020-05-19,Apertura 100%,0.5355718629932443
1,2020-05-20,Apertura 100%,0.5380483274760093
1,2020-05-21,Apertura 100%,0.5083489629804978
1,2020-05-22,Apertura 100%,0.5332046542964838
1,2020-05-23,Apertura 100%,0.7087969117031157
1,2020-05-24,Apertura 100%,0.711528306353224
1,2020-05-25,Apertura 100%,0.4975144308684014
1,2020-05-26,Apertura 100%,0.5031957317406268
1,2020-05-27,Apertura 100%,0.5164703097401533
1,2020-05-28,Apertura 100%,0.494218547990604
1,2020-05-29,Apertura 100%,0.6710308283409508
1,2020-05-30,Apertura 100%,0.7014767740408252
1,2020-05-31,Apertura 100%,0.5040151501356592
1,2020-06-01,Apertura 100%,0.500628220769525
1,2020-06-02,Apertura 100%,0.5092412185661999
1,2020-06-03,Apertura 100%,0.5129194966950125
1,2020-06-04,Apertura 100%,0.503068266656955
1,2020-06-05,Apertura 100%,0.517763169874538
1,2020-06-06,Apertura 100%,0.5876868729173116
1,2020-06-07,Apertura 100%,0.49500154779030175
1,2020-06-08,Apertura 100%,0.5020485459875813
1,2020-06-09,Apertura 100%,0.5069104284647741
1,2020-06-10,Apertura 100%,0.5007010579601945
1,2020-06-11,Apertura 100%,0.4872808055793288
1,2020-06-12,Apertura 100%,0.5005007556858532
1,2020-06-13,Apertura 100%,0.5649070415354079
1,2020-06-14,Apertura 100%,0.5767795036145456
