exp,Fecha,variable,value
0,2020-03-06,Apertura 100%,0.0
0,2020-03-07,Apertura 100%,0.0
0,2020-03-08,Apertura 100%,0.0
0,2020-03-09,Apertura 100%,0.0
0,2020-03-10,Apertura 100%,0.0
0,2020-03-11,Apertura 100%,0.0
0,2020-03-12,Apertura 100%,0.0
0,2020-03-13,Apertura 100%,0.0
0,2020-03-14,Apertura 100%,0.0
0,2020-03-15,Apertura 100%,0.0
0,2020-03-16,Apertura 100%,0.0
0,2020-03-17,Apertura 100%,0.0
0,2020-03-18,Apertura 100%,0.0
0,2020-03-19,Apertura 100%,0.0
0,2020-03-20,Apertura 100%,0.5538475169450228
0,2020-03-21,Apertura 100%,0.6661055242989412
0,2020-03-22,Apertura 100%,0.6973375271341868
0,2020-03-23,Apertura 100%,0.695432596464803
0,2020-03-24,Apertura 100%,0.5524520444779161
0,2020-03-25,Apertura 100%,0.6621849111770699
0,2020-03-26,Apertura 100%,0.6586851548309928
0,2020-03-27,Apertura 100%,0.645040535152616
0,2020-03-28,Apertura 100%,0.6562264652460904
0,2020-03-29,Apertura 100%,0.704270588756479
0,2020-03-30,Apertura 100%,0.6366012492801134
0,2020-03-31,Apertura 100%,0.6229566296017366
0,2020-04-01,Apertura 100%,0.6152704558543393
0,2020-04-02,Apertura 100%,0.6468568643955168
0,2020-04-03,Apertura 100%,0.6373543614052186
0,2020-04-04,Apertura 100%,0.6434235591193018
0,2020-04-05,Apertura 100%,0.6901829619456873
0,2020-04-06,Apertura 100%,0.6319496743897577
0,2020-04-07,Apertura 100%,0.621804811057458
0,2020-04-08,Apertura 100%,0.6155141097771674
0,2020-04-09,Apertura 100%,0.6703140920568821
0,2020-04-10,Apertura 100%,0.7052009037345501
0,2020-04-11,Apertura 100%,0.6441323705311656
0,2020-04-12,Apertura 100%,0.6885216851991317
0,2020-04-13,Apertura 100%,0.6193682718291764
0,2020-04-14,Apertura 100%,0.6253488681167767
0,2020-04-15,Apertura 100%,0.6153369069242015
0,2020-04-16,Apertura 100%,0.6027112036503788
0,2020-04-17,Apertura 100%,0.6003854162052009
0,2020-04-18,Apertura 100%,0.6103973773977761
0,2020-04-19,Apertura 100%,0.6688300181632925
0,2020-04-20,Apertura 100%,0.59498072918974
0,2020-04-21,Apertura 100%,0.6051477428786604
0,2020-04-22,Apertura 100%,0.6006955211978913
0,2020-04-23,Apertura 100%,0.5958667434545696
0,2020-04-24,Apertura 100%,0.5899968989500731
0,2020-04-25,Apertura 100%,0.5927213928144243
0,2020-04-26,Apertura 100%,0.6296903380144421
0,2020-04-27,Apertura 100%,0.5620431488946972
0,2020-04-28,Apertura 100%,0.5555530944048199
0,2020-04-29,Apertura 100%,0.5546670801399902
0,2020-04-30,Apertura 100%,0.5320294156735923
0,2020-05-01,Apertura 100%,0.5776148495990785
0,2020-05-02,Apertura 100%,0.5329597306516635
0,2020-05-03,Apertura 100%,0.5768838878305941
0,2020-05-04,Apertura 100%,0.5110308775971293
0,2020-05-05,Apertura 100%,0.5114960350861649
0,2020-05-06,Apertura 100%,0.5039870641917334
0,2020-05-07,Apertura 100%,0.5004208567757941
0,2020-05-08,Apertura 100%,0.48276702254906306
0,2020-05-09,Apertura 100%,0.4911177069950826
0,2020-05-10,Apertura 100%,0.5558410490408896
0,2020-05-11,Apertura 100%,0.49379790014619235
0,2020-05-12,Apertura 100%,0.48223541399016523
0,2020-05-13,Apertura 100%,0.4777831923093962
0,2020-05-14,Apertura 100%,0.47669782483497986
0,2020-05-15,Apertura 100%,0.4535728525229256
0,2020-05-16,Apertura 100%,0.4636734151419838
0,2020-05-17,Apertura 100%,0.525716564036681
0,2020-05-18,Apertura 100%,0.4469277455367031
0,2020-05-19,Apertura 100%,0.4665086607894387
0,2020-05-20,Apertura 100%,0.4510920125814026
0,2020-05-21,Apertura 100%,0.4465511894741505
0,2020-05-22,Apertura 100%,0.43660567935143757
0,2020-05-23,Apertura 100%,0.4426748770655208
0,2020-05-24,Apertura 100%,0.5070881141186373
0,2020-05-25,Apertura 100%,0.5273556904266159
0,2020-05-26,Apertura 100%,0.4246001860629956
0,2020-05-27,Apertura 100%,0.45257608647499226
0,2020-05-28,Apertura 100%,0.4397731803482036
0,2020-05-29,Apertura 100%,0.41806583085987686
0,2020-05-30,Apertura 100%,0.43687148363088646
0,2020-05-31,Apertura 100%,0.49113985735170335
0,2020-06-01,Apertura 100%,0.3909316439994684
0,2020-06-02,Apertura 100%,0.3861471669693882
0,2020-06-03,Apertura 100%,0.4208346254374695
0,2020-06-04,Apertura 100%,0.385394054844283
0,2020-06-05,Apertura 100%,0.3689806405883135
0,2020-06-06,Apertura 100%,0.3797900146192354
0,2020-06-07,Apertura 100%,0.4533734993133389
0,2020-06-08,Apertura 100%,0.3712399769636291
0,2020-06-09,Apertura 100%,0.3852611527045585
0,2020-06-10,Apertura 100%,0.3869888805209764
0,2020-06-11,Apertura 100%,0.3786381960749568
0,2020-06-12,Apertura 100%,0.36517077924954594
0,2020-06-13,Apertura 100%,0.34955477783192307
0,2020-06-14,Apertura 100%,0.42041376866167546
0,2020-06-15,Apertura 100%,0.46785983254330393
0,2020-06-16,Apertura 100%,0.34937757497895716
0,2020-06-17,Apertura 100%,0.3595224383112568
0,2020-06-18,Apertura 100%,0.3693793470074868
0,2020-06-19,Apertura 100%,0.3368404731316174
0,2020-06-20,Apertura 100%,0.3368404731316174
0,2020-06-21,Apertura 100%,0.44469055951800823
0,2020-06-22,Apertura 100%,0.34873521463695567
0,2020-06-23,Apertura 100%,0.35267797811544765
0,2020-06-24,Apertura 100%,0.35097240065565055
0,2020-06-25,Apertura 100%,0.3368404731316174
0,2020-06-26,Apertura 100%,0.3368404731316174
0,2020-06-27,Apertura 100%,0.4198600097461569
0,2020-06-28,Apertura 100%,0.4389979178664776
0,2020-06-29,Apertura 100%,0.3368404731316174
0,2020-06-30,Apertura 100%,0.3368404731316174
0,2020-07-01,Apertura 100%,0.3389226066539671
0,2020-07-02,Apertura 100%,0.3368404731316174
0,2020-07-03,Apertura 100%,0.3368404731316174
0,2020-07-04,Apertura 100%,0.4351437558144686
0,2020-07-05,Apertura 100%,0.34246666371328577
0,2020-07-06,Apertura 100%,0.3559562308953174
0,2020-07-07,Apertura 100%,0.3607407079253976
0,2020-07-08,Apertura 100%,0.3548044123510389
0,2020-07-09,Apertura 100%,0.3427103176361139
0,2020-07-10,Apertura 100%,0.36173747397333095
0,2020-07-11,Apertura 100%,0.44621893412483943
0,2020-07-12,Apertura 100%,0.38209365170779247
0,2020-07-13,Apertura 100%,0.3948079564080982
0,2020-07-14,Apertura 100%,0.381362689939308
0,2020-07-15,Apertura 100%,0.3413591458822487
0,2020-07-16,Apertura 100%,0.5479112213706641
0,2020-07-17,Apertura 100%,0.5945820227705666
0,2020-07-18,Apertura 100%,0.6208523457227662
0,2020-07-19,Apertura 100%,0.6010720772604439
0,2020-07-20,Apertura 100%,0.33690692420147966
0,2020-07-21,Apertura 100%,0.33690692420147966
0,2020-07-22,Apertura 100%,0.33690692420147966
0,2020-07-23,Apertura 100%,0.47685287733132503
0,2020-07-24,Apertura 100%,0.5417977229433394
0,2020-07-25,Apertura 100%,0.578345811367563
0,2020-07-26,Apertura 100%,0.3369290745581004
0,2020-07-27,Apertura 100%,0.3369290745581004
0,2020-07-28,Apertura 100%,0.3369290745581004
0,2020-07-29,Apertura 100%,0.3369290745581004
0,2020-07-30,Apertura 100%,0.4364284764984716
0,2020-07-31,Apertura 100%,0.4991582864484118
0,2020-08-01,Apertura 100%,0.5732955300580339
0,2020-08-02,Apertura 100%,0.33690692420147966
0,2020-08-03,Apertura 100%,0.33690692420147966
0,2020-08-04,Apertura 100%,0.33690692420147966
0,2020-08-05,Apertura 100%,0.3368847738448589
0,2020-08-06,Apertura 100%,0.46342976121915563
0,2020-08-07,Apertura 100%,0.4884375138439729
0,2020-08-08,Apertura 100%,0.5311434014087627
0,2020-08-09,Apertura 100%,0.33690692420147966
0,2020-08-10,Apertura 100%,0.33690692420147966
0,2020-08-11,Apertura 100%,0.33690692420147966
0,2020-08-12,Apertura 100%,0.3369290745581004
0,2020-08-13,Apertura 100%,0.3369290745581004
0,2020-08-14,Apertura 100%,0.41308200062021
0,2020-08-15,Apertura 100%,0.503344703849732
0,2020-08-16,Apertura 100%,0.5205555309440482
0,2020-08-17,Apertura 100%,0.3369290745581004
0,2020-08-18,Apertura 100%,0.3369290745581004
0,2020-08-19,Apertura 100%,0.3369290745581004
0,2020-08-20,Apertura 100%,0.3369290745581004
0,2020-08-21,Apertura 100%,0.3369512249147211
0,2020-08-22,Apertura 100%,0.3962255792318256
0,2020-08-23,Apertura 100%,0.33697337527134186
0,2020-08-24,Apertura 100%,0.3369955256279626
0,2020-08-25,Apertura 100%,0.33697337527134186
0,2020-08-26,Apertura 100%,0.3369955256279626
0,2020-08-27,Apertura 100%,0.3369955256279626
0,2020-08-28,Apertura 100%,0.3370176759845834
0,2020-08-29,Apertura 100%,0.3370176759845834
0,2020-08-30,Apertura 100%,0.33706197669782484
0,2020-08-31,Apertura 100%,0.33708412705444557
0,2020-09-01,Apertura 100%,0.0003765560625526071
0,2020-09-02,Apertura 100%,0.0003765560625526071
0,2020-09-03,Apertura 100%,0.00042085677579409026
0,2020-09-04,Apertura 100%,0.0004430071324148319
0,2020-09-05,Apertura 100%,0.0004651574890355735
0,2020-09-06,Apertura 100%,0.0005759092721392815
0,2020-09-07,Apertura 100%,0.0006423603420015062
0,2020-09-08,Apertura 100%,0.0006645106986222478
0,2020-09-09,Apertura 100%,0.0006866610552429894
0,2020-09-10,Apertura 100%,0.0006645106986222478
0,2020-09-11,Apertura 100%,0.0007531121251052142
0,2020-09-12,Apertura 100%,0.0009081646214504054
0,2020-09-13,Apertura 100%,0.000930314978071147
0,2020-09-14,Apertura 100%,0.001041066761174855
0,2020-09-15,Apertura 100%,0.001151818544278563
0,2020-09-16,Apertura 100%,0.001151818544278563
0,2020-09-17,Apertura 100%,0.0012404199707615293
0,2020-09-18,Apertura 100%,0.0013290213972444957
0,2020-09-19,Apertura 100%,0.001306871040623754
0,2020-09-20,Apertura 100%,0.0012625703273822708
0,2020-09-21,Apertura 100%,0.0013733221104859788
0,2020-09-22,Apertura 100%,0.0015062242502104283
0,2020-09-23,Apertura 100%,0.0014840738935896869
0,2020-09-24,Apertura 100%,0.0015948256766933947
0,2020-09-25,Apertura 100%,0.0016391263899348779
0,2020-09-26,Apertura 100%,0.0017720285296593276
0,2020-09-27,Apertura 100%,0.0018163292429008108
0,2020-09-28,Apertura 100%,0.0018827803127630354
0,2020-09-29,Apertura 100%,0.0019270810260045186
0,2020-09-30,Apertura 100%,0.0019270810260045186
0,2020-10-01,Apertura 100%,0.0019492313826252603
0,2020-10-02,Apertura 100%,0.001860629956142294
0,2020-10-03,Apertura 100%,0.001749878173038586
0,2020-10-04,Apertura 100%,0.001749878173038586
0,2020-10-05,Apertura 100%,0.0018163292429008108
0,2020-10-06,Apertura 100%,0.001749878173038586
0,2020-10-07,Apertura 100%,0.0018384795995215523
0,2020-10-08,Apertura 100%,0.001860629956142294
0,2020-10-09,Apertura 100%,0.0017277278164178444
0,2020-10-10,Apertura 100%,0.0015726753200726532
0,2020-10-11,Apertura 100%,0.0015726753200726532
0,2020-10-12,Apertura 100%,0.0016391263899348779
0,2020-10-13,Apertura 100%,0.0015948256766933947
0,2020-10-14,Apertura 100%,0.0014619235369689452
0,2020-10-15,Apertura 100%,0.0015948256766933947
0,2020-10-16,Apertura 100%,0.0015505249634519115
0,2020-10-17,Apertura 100%,0.0015505249634519115
0,2020-10-18,Apertura 100%,0.0016391263899348779
0,2020-10-19,Apertura 100%,0.0017277278164178444
0,2020-10-20,Apertura 100%,0.001749878173038586
0,2020-10-21,Apertura 100%,0.001794178886280069
0,2020-10-22,Apertura 100%,0.0016391263899348779
0,2020-10-23,Apertura 100%,0.001683427103176361
0,2020-10-24,Apertura 100%,0.001683427103176361
0,2020-10-25,Apertura 100%,0.001683427103176361
0,2020-10-26,Apertura 100%,0.0017720285296593276
0,2020-10-27,Apertura 100%,0.001794178886280069
0,2020-10-28,Apertura 100%,0.001860629956142294
0,2020-10-29,Apertura 100%,0.0019935320958667435
0,2020-10-30,Apertura 100%,0.0019935320958667435
0,2020-10-31,Apertura 100%,0.002015682452487485
0,2020-11-01,Apertura 100%,0.0021264342355911932
0,2020-11-02,Apertura 100%,0.0022593363753156425
0,2020-11-03,Apertura 100%,0.0022150356620741596
0,2020-11-04,Apertura 100%,0.002237186018694901
0,2020-11-05,Apertura 100%,0.0022593363753156425
0,2020-11-06,Apertura 100%,0.0021485845922119347
0,2020-11-07,Apertura 100%,0.0021485845922119347
0,2020-11-08,Apertura 100%,0.002237186018694901
0,2020-11-09,Apertura 100%,0.0023700881584193503
0,2020-11-10,Apertura 100%,0.002281486731936384
0,2020-11-11,Apertura 100%,0.0022593363753156425
0,2020-11-12,Apertura 100%,0.0023700881584193503
0,2020-11-13,Apertura 100%,0.002347937801798609
0,2020-11-14,Apertura 100%,0.0024365392282815752
0,2020-11-15,Apertura 100%,0.0025029902981438
0,2020-11-16,Apertura 100%,0.0025029902981438
0,2020-11-17,Apertura 100%,0.0024365392282815752
0,2020-11-18,Apertura 100%,0.0023922385150400923
0,2020-11-19,Apertura 100%,0.002347937801798609
0,2020-11-20,Apertura 100%,0.0025472910113852835
0,2020-11-21,Apertura 100%,0.00263589243786825
0,2020-11-22,Apertura 100%,0.0025472910113852835
0,2020-11-23,Apertura 100%,0.0025029902981438
0,2020-11-24,Apertura 100%,0.002569441368006025
0,2020-11-25,Apertura 100%,0.0025251406547645416
0,2020-11-26,Apertura 100%,0.0025251406547645416
0,2020-11-27,Apertura 100%,0.002458689584902317
0,2020-11-28,Apertura 100%,0.0023922385150400923
0,2020-11-29,Apertura 100%,0.002303637088557126
0,2020-11-30,Apertura 100%,0.0022593363753156425
0,2020-12-01,Apertura 100%,0.0022593363753156425
0,2020-12-02,Apertura 100%,0.0021042838789704513
0,2020-12-03,Apertura 100%,0.001971381739246002
0,2020-12-04,Apertura 100%,0.0019270810260045186
0,2020-12-05,Apertura 100%,0.001794178886280069
0,2020-12-06,Apertura 100%,0.0017055774597971027
0,2020-12-07,Apertura 100%,0.0017055774597971027
0,2020-12-08,Apertura 100%,0.0016612767465556196
0,2020-12-09,Apertura 100%,0.0014619235369689452
0,2020-12-10,Apertura 100%,0.0013954724671067205
0,2020-12-11,Apertura 100%,0.001306871040623754
0,2020-12-12,Apertura 100%,0.0011296681876578213
0,2020-12-13,Apertura 100%,0.0011075178310370798
0,2020-12-14,Apertura 100%,0.001041066761174855
0,2020-12-15,Apertura 100%,0.0009746156913126302
0,2020-12-16,Apertura 100%,0.0009524653346918886
0,2020-12-17,Apertura 100%,0.0008638639082089222
0,2020-12-18,Apertura 100%,0.0008638639082089222
0,2020-12-19,Apertura 100%,0.0008195631949674389
0,2020-12-20,Apertura 100%,0.0007309617684844726
0,2020-12-21,Apertura 100%,0.0007309617684844726
0,2020-12-22,Apertura 100%,0.0007752624817259558
0,2020-12-23,Apertura 100%,0.0007531121251052142
0,2020-12-24,Apertura 100%,0.0006866610552429894
0,2020-12-25,Apertura 100%,0.0006423603420015062
0,2020-12-26,Apertura 100%,0.0006202099853807647
0,2020-12-27,Apertura 100%,0.0006202099853807647
0,2020-12-28,Apertura 100%,0.0006423603420015062
0,2020-12-29,Apertura 100%,0.0005980596287600231
0,2020-12-30,Apertura 100%,0.0005980596287600231
0,2020-12-31,Apertura 100%,0.0005537589155185399
0,2021-01-01,Apertura 100%,0.0005759092721392815
0,2021-01-02,Apertura 100%,0.0005759092721392815
0,2021-01-03,Apertura 100%,0.0005537589155185399
0,2021-01-04,Apertura 100%,0.0005537589155185399
0,2021-01-05,Apertura 100%,0.0004873078456563151
0,2021-01-06,Apertura 100%,0.0004651574890355735
0,2021-01-07,Apertura 100%,0.0004651574890355735
0,2021-01-08,Apertura 100%,0.0003987064191733487
0,2021-01-09,Apertura 100%,0.0003987064191733487
0,2021-01-10,Apertura 100%,0.00042085677579409026
0,2021-01-11,Apertura 100%,0.00042085677579409026
0,2021-01-12,Apertura 100%,0.00042085677579409026
0,2021-01-13,Apertura 100%,0.0003765560625526071
0,2021-01-14,Apertura 100%,0.0003544057059318655
0,2021-01-15,Apertura 100%,0.0003322553493111239
0,2021-01-16,Apertura 100%,0.0003322553493111239
0,2021-01-17,Apertura 100%,0.0003322553493111239
0,2021-01-18,Apertura 100%,0.0003322553493111239
0,2021-01-19,Apertura 100%,0.0003101049926903823
0,2021-01-20,Apertura 100%,0.00024365392282815754
0,2021-01-21,Apertura 100%,0.00024365392282815754
0,2021-01-22,Apertura 100%,0.00026580427944889915
0,2021-01-23,Apertura 100%,0.00019935320958667434
0,2021-01-24,Apertura 100%,0.00017720285296593275
0,2021-01-25,Apertura 100%,0.00015505249634519116
0,2021-01-26,Apertura 100%,0.00013290213972444958
0,2021-01-27,Apertura 100%,0.00013290213972444958
0,2021-01-28,Apertura 100%,0.00013290213972444958
0,2021-01-29,Apertura 100%,0.00011075178310370798
0,2021-01-30,Apertura 100%,8.860142648296638e-05
0,2021-01-31,Apertura 100%,8.860142648296638e-05
0,2021-02-01,Apertura 100%,8.860142648296638e-05
0,2021-02-02,Apertura 100%,8.860142648296638e-05
0,2021-02-03,Apertura 100%,8.860142648296638e-05
0,2021-02-04,Apertura 100%,8.860142648296638e-05
0,2021-02-05,Apertura 100%,6.645106986222479e-05
0,2021-02-06,Apertura 100%,6.645106986222479e-05
0,2021-02-07,Apertura 100%,4.430071324148319e-05
0,2021-02-08,Apertura 100%,4.430071324148319e-05
0,2021-02-09,Apertura 100%,4.430071324148319e-05
0,2021-02-10,Apertura 100%,4.430071324148319e-05
0,2021-02-11,Apertura 100%,4.430071324148319e-05
0,2021-02-12,Apertura 100%,4.430071324148319e-05
0,2021-02-13,Apertura 100%,4.430071324148319e-05
0,2021-02-14,Apertura 100%,4.430071324148319e-05
0,2021-02-15,Apertura 100%,2.2150356620741594e-05
0,2021-02-16,Apertura 100%,2.2150356620741594e-05
0,2021-02-17,Apertura 100%,2.2150356620741594e-05
0,2021-02-18,Apertura 100%,2.2150356620741594e-05
1,2020-03-06,Apertura 100%,0.0
1,2020-03-07,Apertura 100%,0.0
1,2020-03-08,Apertura 100%,0.0
1,2020-03-09,Apertura 100%,0.0
1,2020-03-10,Apertura 100%,0.0
1,2020-03-11,Apertura 100%,0.0
1,2020-03-12,Apertura 100%,0.0
1,2020-03-13,Apertura 100%,0.0
1,2020-03-14,Apertura 100%,0.0
1,2020-03-15,Apertura 100%,0.0
1,2020-03-16,Apertura 100%,0.0
1,2020-03-17,Apertura 100%,0.0
1,2020-03-18,Apertura 100%,0.0
1,2020-03-19,Apertura 100%,0.0
1,2020-03-20,Apertura 100%,0.5515660302130865
1,2020-03-21,Apertura 100%,0.6646436007619723
1,2020-03-22,Apertura 100%,0.6943472289903867
1,2020-03-23,Apertura 100%,0.6922872458246577
1,2020-03-24,Apertura 100%,0.5540468701546095
1,2020-03-25,Apertura 100%,0.6608337394232047
1,2020-03-26,Apertura 100%,0.6579541930625084
1,2020-03-27,Apertura 100%,0.6444424755238559
1,2020-03-28,Apertura 100%,0.6546094892127763
1,2020-03-29,Apertura 100%,0.7029415673592345
1,2020-03-30,Apertura 100%,0.6372436096221149
1,2020-03-31,Apertura 100%,0.6257032738227085
1,2020-04-01,Apertura 100%,0.6174190404465512
1,2020-04-02,Apertura 100%,0.6470340672484827
1,2020-04-03,Apertura 100%,0.6372436096221149
1,2020-04-04,Apertura 100%,0.6413414255969521
1,2020-04-05,Apertura 100%,0.6897621051698932
1,2020-04-06,Apertura 100%,0.6288043237496124
1,2020-04-07,Apertura 100%,0.6181057015017942
1,2020-04-08,Apertura 100%,0.6129668187657822
1,2020-04-09,Apertura 100%,0.6711558056084703
1,2020-04-10,Apertura 100%,0.702387808443716
1,2020-04-11,Apertura 100%,0.6397244495636379
1,2020-04-12,Apertura 100%,0.6898728569529969
1,2020-04-13,Apertura 100%,0.6185265582775883
1,2020-04-14,Apertura 100%,0.6266778895140211
1,2020-04-15,Apertura 100%,0.619922030744695
1,2020-04-16,Apertura 100%,0.6005847694147876
1,2020-04-17,Apertura 100%,0.6022681965179639
1,2020-04-18,Apertura 100%,0.6080494395959775
1,2020-04-19,Apertura 100%,0.665950471802596
1,2020-04-20,Apertura 100%,0.5978824259070571
