exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.16666666666666666
0,2020-03-08,Actual,0.16666666666666666
0,2020-03-09,Actual,0.4444444444444444
0,2020-03-10,Actual,0.4444444444444444
0,2020-03-11,Actual,0.5
0,2020-03-12,Actual,0.6153846153846154
0,2020-03-13,Actual,0.6428571428571429
0,2020-03-14,Actual,0.7058823529411765
0,2020-03-15,Actual,0.7368421052631579
0,2020-03-16,Actual,0.7727272727272727
0,2020-03-17,Actual,0.7916666666666666
0,2020-03-18,Actual,0.8076923076923077
0,2020-03-19,Actual,0.8275862068965517
0,2020-03-20,Actual,0.5769230769230769
0,2020-03-21,Actual,0.6206896551724138
0,2020-03-22,Actual,0.6206896551724138
0,2020-03-23,Actual,0.6333333333333333
0,2020-03-24,Actual,0.6666666666666666
0,2020-03-25,Actual,0.6857142857142857
0,2020-03-26,Actual,0.6666666666666666
0,2020-03-27,Actual,0.6756756756756757
0,2020-03-28,Actual,0.6578947368421053
0,2020-03-29,Actual,0.6153846153846154
0,2020-03-30,Actual,0.5853658536585366
0,2020-03-31,Actual,0.5952380952380952
0,2020-04-01,Actual,0.6136363636363636
0,2020-04-02,Actual,0.6428571428571429
0,2020-04-03,Actual,0.4736842105263158
0,2020-04-04,Actual,0.5476190476190477
0,2020-04-05,Actual,0.5609756097560976
0,2020-04-06,Actual,0.631578947368421
0,2020-04-07,Actual,0.6190476190476191
0,2020-04-08,Actual,0.5714285714285714
0,2020-04-09,Actual,0.6086956521739131
0,2020-04-10,Actual,0.5625
0,2020-04-11,Actual,0.6037735849056604
0,2020-04-12,Actual,0.6415094339622641
0,2020-04-13,Actual,0.6415094339622641
0,2020-04-14,Actual,0.6851851851851852
0,2020-04-15,Actual,0.7169811320754716
0,2020-04-16,Actual,0.7358490566037735
0,2020-04-17,Actual,0.52
0,2020-04-18,Actual,0.4814814814814815
0,2020-04-19,Actual,0.4642857142857143
0,2020-04-20,Actual,0.4827586206896552
0,2020-04-21,Actual,0.5081967213114754
0,2020-04-22,Actual,0.4666666666666667
0,2020-04-23,Actual,0.5142857142857142
0,2020-04-24,Actual,0.5492957746478874
0,2020-04-25,Actual,0.5694444444444444
0,2020-04-26,Actual,0.5522388059701493
0,2020-04-27,Actual,0.5588235294117647
0,2020-04-28,Actual,0.6133333333333333
0,2020-04-29,Actual,0.5555555555555556
0,2020-04-30,Actual,0.5647058823529412
0,2020-05-01,Actual,0.5824175824175825
0,2020-05-02,Actual,0.5111111111111111
0,2020-05-03,Actual,0.5612244897959183
0,2020-05-04,Actual,0.5904761904761905
0,2020-05-05,Actual,0.6495726495726496
0,2020-05-06,Actual,0.624
0,2020-05-07,Actual,0.676923076923077
0,2020-05-08,Actual,0.7050359712230215
0,2020-05-09,Actual,0.7272727272727273
0,2020-05-10,Actual,0.7202380952380952
0,2020-05-11,Actual,0.651685393258427
0,2020-05-12,Actual,0.640625
0,2020-05-13,Actual,0.6746411483253588
0,2020-05-14,Actual,0.6816143497757847
0,2020-05-15,Actual,0.7019607843137254
0,2020-05-16,Actual,0.7168458781362007
0,2020-05-17,Actual,0.6813559322033899
0,2020-05-18,Actual,0.6861538461538461
0,2020-05-19,Actual,0.698005698005698
0,2020-05-20,Actual,0.7026315789473684
0,2020-05-21,Actual,0.7078384798099763
0,2020-05-22,Actual,0.721030042918455
0,2020-05-23,Actual,0.7181996086105675
0,2020-05-24,Actual,0.70018281535649
0,2020-05-25,Actual,0.7152658662092625
0,2020-05-26,Actual,0.7355242566510172
0,2020-05-27,Actual,0.7209985315712188
0,2020-05-28,Actual,0.6940700808625337
0,2020-05-29,Actual,0.6907975460122701
0,2020-05-30,Actual,0.7068771138669673
0,2020-05-31,Actual,0.7092651757188498
0,2020-06-01,Actual,0.6920762286860582
0,2020-06-02,Actual,0.6978021978021978
0,2020-06-03,Actual,0.6989619377162629
0,2020-06-04,Actual,0.6983870967741935
0,2020-06-05,Actual,0.6915052160953801
0,2020-06-06,Actual,0.6930488644184446
0,2020-06-07,Actual,0.6788273615635179
0,2020-06-08,Actual,0.6715417428397319
0,2020-06-09,Actual,0.6722350230414746
0,2020-06-10,Actual,0.6578663793103449
0,2020-06-11,Actual,0.6534603811434303
0,2020-06-12,Actual,0.6627021883920076
0,2020-06-13,Actual,0.6572832886505808
0,2020-06-14,Actual,0.6564755838641189
0,2020-06-15,Actual,0.6593406593406593
0,2020-06-16,Actual,0.6500970873786408
0,2020-06-17,Actual,0.6378799110452187
0,2020-06-18,Actual,0.6295116772823779
0,2020-06-19,Actual,0.6355675311552711
0,2020-06-20,Actual,0.6215953307392996
0,2020-06-21,Actual,0.6123809523809524
0,2020-06-22,Actual,0.6044226044226044
0,2020-06-23,Actual,0.60261748958953
0,2020-06-24,Actual,0.5889659156556903
0,2020-06-25,Actual,0.585544889892716
0,2020-06-26,Actual,0.5801757276221856
0,2020-06-27,Actual,0.5709642470205849
0,2020-06-28,Actual,0.5619612068965517
0,2020-06-29,Actual,0.5494155154091392
0,2020-06-30,Actual,0.5545171339563862
0,2020-07-01,Actual,0.5457142857142857
0,2020-07-02,Actual,0.5419906687402799
0,2020-07-03,Actual,0.5355940978514108
0,2020-07-04,Actual,0.5234600262123198
0,2020-07-05,Actual,0.5200210748155953
0,2020-07-06,Actual,0.5154884829229547
0,2020-07-07,Actual,0.5069370330843116
0,2020-07-08,Actual,0.4993248717256279
0,2020-07-09,Actual,0.5010834236186349
0,2020-07-10,Actual,0.5078232226187208
0,2020-07-11,Actual,0.505924497106641
0,2020-07-12,Actual,0.492883058889199
0,2020-07-13,Actual,0.4983230855226383
0,2020-07-14,Actual,0.5143734300865197
0,2020-07-15,Actual,0.5379426644182125
0,2020-07-16,Actual,0.5335598980458793
0,2020-07-17,Actual,0.5293088363954506
0,2020-07-18,Actual,0.5253876558224384
0,2020-07-19,Actual,0.5200126063662149
0,2020-07-20,Actual,0.5189205955334988
0,2020-07-21,Actual,0.5240560292326432
0,2020-07-22,Actual,0.5197467591196865
0,2020-07-23,Actual,0.5168641750227895
0,2020-07-24,Actual,0.5031133250311333
