exp,Fecha,variable,value
0,2020-03-06,Sin cierres,0.0
0,2020-03-07,Sin cierres,0.0
0,2020-03-08,Sin cierres,0.0
0,2020-03-09,Sin cierres,0.0
0,2020-03-10,Sin cierres,0.0
0,2020-03-11,Sin cierres,0.0
0,2020-03-12,Sin cierres,0.0
0,2020-03-13,Sin cierres,0.0
0,2020-03-14,Sin cierres,0.0
0,2020-03-15,Sin cierres,0.0
0,2020-03-16,Sin cierres,0.0
0,2020-03-17,Sin cierres,0.0
0,2020-03-18,Sin cierres,0.0
0,2020-03-19,Sin cierres,0.0
0,2020-03-20,Sin cierres,0.0
0,2020-03-21,Sin cierres,0.0
0,2020-03-22,Sin cierres,0.0
0,2020-03-23,Sin cierres,0.0
0,2020-03-24,Sin cierres,0.0
0,2020-03-25,Sin cierres,0.0
0,2020-03-26,Sin cierres,0.0
0,2020-03-27,Sin cierres,0.0
0,2020-03-28,Sin cierres,0.0
0,2020-03-29,Sin cierres,0.0
0,2020-03-30,Sin cierres,0.0
0,2020-03-31,Sin cierres,0.0
0,2020-04-01,Sin cierres,0.0
0,2020-04-02,Sin cierres,0.0
0,2020-04-03,Sin cierres,0.0
0,2020-04-04,Sin cierres,0.0
0,2020-04-05,Sin cierres,0.0
0,2020-04-06,Sin cierres,0.0
0,2020-04-07,Sin cierres,0.0
0,2020-04-08,Sin cierres,0.0
0,2020-04-09,Sin cierres,0.0
0,2020-04-10,Sin cierres,0.0
0,2020-04-11,Sin cierres,0.0
0,2020-04-12,Sin cierres,0.0
0,2020-04-13,Sin cierres,0.0
0,2020-04-14,Sin cierres,0.0
0,2020-04-15,Sin cierres,0.0
0,2020-04-16,Sin cierres,0.0
0,2020-04-17,Sin cierres,0.0
0,2020-04-18,Sin cierres,0.0
0,2020-04-19,Sin cierres,0.0
0,2020-04-20,Sin cierres,0.0
0,2020-04-21,Sin cierres,0.0
0,2020-04-22,Sin cierres,0.0
0,2020-04-23,Sin cierres,0.0
0,2020-04-24,Sin cierres,0.0
0,2020-04-25,Sin cierres,0.0
0,2020-04-26,Sin cierres,0.0
0,2020-04-27,Sin cierres,0.0
0,2020-04-28,Sin cierres,0.0
0,2020-04-29,Sin cierres,0.0
0,2020-04-30,Sin cierres,0.0
0,2020-05-01,Sin cierres,0.0
0,2020-05-02,Sin cierres,0.0
0,2020-05-03,Sin cierres,0.0
0,2020-05-04,Sin cierres,0.0
0,2020-05-05,Sin cierres,0.0
0,2020-05-06,Sin cierres,0.0
0,2020-05-07,Sin cierres,0.0
0,2020-05-08,Sin cierres,0.0
0,2020-05-09,Sin cierres,0.0
0,2020-05-10,Sin cierres,0.0
0,2020-05-11,Sin cierres,0.0
0,2020-05-12,Sin cierres,0.0
0,2020-05-13,Sin cierres,0.0
0,2020-05-14,Sin cierres,0.0
0,2020-05-15,Sin cierres,0.0
0,2020-05-16,Sin cierres,0.0
0,2020-05-17,Sin cierres,0.0
0,2020-05-18,Sin cierres,0.0
0,2020-05-19,Sin cierres,0.0
0,2020-05-20,Sin cierres,0.0
0,2020-05-21,Sin cierres,0.0
0,2020-05-22,Sin cierres,0.0
0,2020-05-23,Sin cierres,0.0
0,2020-05-24,Sin cierres,0.0
0,2020-05-25,Sin cierres,0.0
0,2020-05-26,Sin cierres,0.0
0,2020-05-27,Sin cierres,0.0
0,2020-05-28,Sin cierres,0.0
0,2020-05-29,Sin cierres,0.0
0,2020-05-30,Sin cierres,0.0
0,2020-05-31,Sin cierres,0.0
0,2020-06-01,Sin cierres,0.0
0,2020-06-02,Sin cierres,0.0
0,2020-06-03,Sin cierres,0.0
0,2020-06-04,Sin cierres,0.0
