exp,Fecha,variable,value
0,2020-03-06,Sin cierres,0.0
0,2020-03-07,Sin cierres,0.0
0,2020-03-08,Sin cierres,0.0
0,2020-03-09,Sin cierres,0.0
0,2020-03-10,Sin cierres,0.0
0,2020-03-11,Sin cierres,0.0
0,2020-03-12,Sin cierres,0.0
0,2020-03-13,Sin cierres,0.0
0,2020-03-14,Sin cierres,0.0
0,2020-03-15,Sin cierres,0.0
0,2020-03-16,Sin cierres,0.0
0,2020-03-17,Sin cierres,0.0
0,2020-03-18,Sin cierres,0.0
0,2020-03-19,Sin cierres,0.0
0,2020-03-20,Sin cierres,0.0
0,2020-03-21,Sin cierres,0.7148452193923838
0,2020-03-22,Sin cierres,0.6522470294072091
0,2020-03-23,Sin cierres,0.6937136282167592
0,2020-03-24,Sin cierres,0.690040492996703
0,2020-03-25,Sin cierres,0.5455933441019627
0,2020-03-26,Sin cierres,0.638107671542053
0,2020-03-27,Sin cierres,0.6308941650255571
0,2020-03-28,Sin cierres,0.6305843825371186
0,2020-03-29,Sin cierres,0.6460292523178368
0,2020-03-30,Sin cierres,0.6916336600801009
0,2020-03-31,Sin cierres,0.6175292633814972
0,2020-04-01,Sin cierres,0.6094970460026995
0,2020-04-02,Sin cierres,0.6015312105857101
0,2020-04-03,Sin cierres,0.5929900648330494
0,2020-04-04,Sin cierres,0.5849799747748545
0,2020-04-05,Sin cierres,0.6174407540990862
0,2020-04-06,Sin cierres,0.6735113845064501
0,2020-04-07,Sin cierres,0.5913305157878432
0,2020-04-08,Sin cierres,0.580974929745757
0,2020-04-09,Sin cierres,0.5720354922222468
0,2020-04-10,Sin cierres,0.6613192308543359
0,2020-04-11,Sin cierres,0.7146682008275618
0,2020-04-12,Sin cierres,0.6452326687761379
0,2020-04-13,Sin cierres,0.6774721748943421
0,2020-04-14,Sin cierres,0.6081915340871374
0,2020-04-15,Sin cierres,0.6148961122297701
0,2020-04-16,Sin cierres,0.5875024893235679
0,2020-04-17,Sin cierres,0.6040315978138208
0,2020-04-18,Sin cierres,0.5731197309317815
0,2020-04-19,Sin cierres,0.619919014006594
0,2020-04-20,Sin cierres,0.662713252052309
0,2020-04-21,Sin cierres,0.5890292744451574
0,2020-04-22,Sin cierres,0.5760184099307415
0,2020-04-23,Sin cierres,0.5879450357356227
0,2020-04-24,Sin cierres,0.5717035824132056
0,2020-04-25,Sin cierres,0.566570044033368
0,2020-04-26,Sin cierres,0.5805545106543049
0,2020-04-27,Sin cierres,0.6424224990595889
0,2020-04-28,Sin cierres,0.536255614807603
0,2020-04-29,Sin cierres,0.5357688137543425
0,2020-04-30,Sin cierres,0.5273825592459009
0,2020-05-01,Sin cierres,0.5173146283716504
0,2020-05-02,Sin cierres,0.5735622773438365
0,2020-05-03,Sin cierres,0.5412121346226185
0,2020-05-04,Sin cierres,0.6075498417896577
0,2020-05-05,Sin cierres,0.5034186710331247
0,2020-05-06,Sin cierres,0.49200097360210654
0,2020-05-07,Sin cierres,0.4974664217909853
0,2020-05-08,Sin cierres,0.4933286128382714
0,2020-05-09,Sin cierres,0.4841015201469254
0,2020-05-10,Sin cierres,0.48651339809262495
0,2020-05-11,Sin cierres,0.5328922620759852
0,2020-05-12,Sin cierres,0.4519947779523378
0,2020-05-13,Sin cierres,0.4656030801230279
0,2020-05-14,Sin cierres,0.4501360830217069
0,2020-05-15,Sin cierres,0.45894275662160067
0,2020-05-16,Sin cierres,0.4371916004690992
0,2020-05-17,Sin cierres,0.4500918283805014
0,2020-05-18,Sin cierres,0.5420751001261257
0,2020-05-19,Sin cierres,0.43307591883698804
0,2020-05-20,Sin cierres,0.45447303785984555
