exp,Fecha,variable,value
0,2020-03-06,Sin cierres,0.0
0,2020-03-07,Sin cierres,0.0
0,2020-03-08,Sin cierres,4.425464120549643e-05
0,2020-03-09,Sin cierres,4.425464120549643e-05
0,2020-03-10,Sin cierres,4.425464120549643e-05
0,2020-03-11,Sin cierres,4.425464120549643e-05
0,2020-03-12,Sin cierres,6.638196180824463e-05
0,2020-03-13,Sin cierres,8.850928241099285e-05
0,2020-03-14,Sin cierres,8.850928241099285e-05
0,2020-03-15,Sin cierres,0.00013276392361648927
0,2020-03-16,Sin cierres,0.00013276392361648927
0,2020-03-17,Sin cierres,0.00019914588542473393
0,2020-03-18,Sin cierres,0.00024340052663023034
0,2020-03-19,Sin cierres,0.00024340052663023034
0,2020-03-20,Sin cierres,0.00026552784723297854
0,2020-03-21,Sin cierres,0.00028765516783572676
0,2020-03-22,Sin cierres,0.00028765516783572676
0,2020-03-23,Sin cierres,0.00028765516783572676
0,2020-03-24,Sin cierres,0.000309782488438475
0,2020-03-25,Sin cierres,0.000309782488438475
0,2020-03-26,Sin cierres,0.0003319098090412232
0,2020-03-27,Sin cierres,0.00039829177084946786
0,2020-03-28,Sin cierres,0.00039829177084946786
0,2020-03-29,Sin cierres,0.00046467373265771247
0,2020-03-30,Sin cierres,0.00046467373265771247
0,2020-03-31,Sin cierres,0.00046467373265771247
0,2020-04-01,Sin cierres,0.00046467373265771247
0,2020-04-02,Sin cierres,0.0005089283738632089
0,2020-04-03,Sin cierres,0.0005531830150687053
0,2020-04-04,Sin cierres,0.0005974376562742018
0,2020-04-05,Sin cierres,0.00061956497687695
0,2020-04-06,Sin cierres,0.0006859469386851946
0,2020-04-07,Sin cierres,0.0006859469386851946
0,2020-04-08,Sin cierres,0.0007080742592879428
0,2020-04-09,Sin cierres,0.0007523289004934393
0,2020-04-10,Sin cierres,0.0007523289004934393
0,2020-04-11,Sin cierres,0.0007744562210961874
0,2020-04-12,Sin cierres,0.0007965835416989357
0,2020-04-13,Sin cierres,0.0008629655035071803
0,2020-04-14,Sin cierres,0.0009293474653154249
0,2020-04-15,Sin cierres,0.0009736021065209214
0,2020-04-16,Sin cierres,0.0010621113889319142
0,2020-04-17,Sin cierres,0.0011063660301374107
0,2020-04-18,Sin cierres,0.0011948753125484036
0,2020-04-19,Sin cierres,0.0012391299537539
0,2020-04-20,Sin cierres,0.0013055119155621446
0,2020-04-21,Sin cierres,0.001349766556767641
0,2020-04-22,Sin cierres,0.0014161485185758857
0,2020-04-23,Sin cierres,0.001460403159781382
0,2020-04-24,Sin cierres,0.0014825304803841304
0,2020-04-25,Sin cierres,0.001571039762795123
0,2020-04-26,Sin cierres,0.0017038036864116125
0,2020-04-27,Sin cierres,0.0017480583276171088
0,2020-04-28,Sin cierres,0.0019029495718363464
0,2020-04-29,Sin cierres,0.002079968136658332
0,2020-04-30,Sin cierres,0.0021906047396720732
0,2020-05-01,Sin cierres,0.002367623304494059
0,2020-05-02,Sin cierres,0.0024118779456995553
0,2020-05-03,Sin cierres,0.0025446418693160443
0,2020-05-04,Sin cierres,0.0026331511517270374
0,2020-05-05,Sin cierres,0.002788042395946275
0,2020-05-06,Sin cierres,0.002987188281371009
0,2020-05-07,Sin cierres,0.003186334166795743
0,2020-05-08,Sin cierres,0.003363352731617728
0,2020-05-09,Sin cierres,0.0036510078994534552
0,2020-05-10,Sin cierres,0.003828026464275441
0,2020-05-11,Sin cierres,0.004137808952713916
0,2020-05-12,Sin cierres,0.004292700196933153
0,2020-05-13,Sin cierres,0.004602482685371628
0,2020-05-14,Sin cierres,0.005000774456221096
0,2020-05-15,Sin cierres,0.00519992034164583
