exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,0.0
0,2020-03-08,Sin cuarentena,2.2150356620741594e-05
0,2020-03-09,Sin cuarentena,4.430071324148319e-05
0,2020-03-10,Sin cuarentena,6.645106986222479e-05
0,2020-03-11,Sin cuarentena,0.00013290213972444958
0,2020-03-12,Sin cuarentena,0.00015505249634519116
0,2020-03-13,Sin cuarentena,0.00015505249634519116
0,2020-03-14,Sin cuarentena,0.00017720285296593275
0,2020-03-15,Sin cuarentena,0.00022150356620741595
0,2020-03-16,Sin cuarentena,0.00022150356620741595
0,2020-03-17,Sin cuarentena,0.00026580427944889915
0,2020-03-18,Sin cuarentena,0.0003322553493111239
0,2020-03-19,Sin cuarentena,0.0003987064191733487
0,2020-03-20,Sin cuarentena,0.00042085677579409026
0,2020-03-21,Sin cuarentena,0.00042085677579409026
0,2020-03-22,Sin cuarentena,0.00042085677579409026
0,2020-03-23,Sin cuarentena,0.0005316085588977983
0,2020-03-24,Sin cuarentena,0.0005316085588977983
0,2020-03-25,Sin cuarentena,0.0006645106986222478
0,2020-03-26,Sin cuarentena,0.0006866610552429894
0,2020-03-27,Sin cuarentena,0.0007309617684844726
0,2020-03-28,Sin cuarentena,0.0007752624817259558
0,2020-03-29,Sin cuarentena,0.0009081646214504054
0,2020-03-30,Sin cuarentena,0.0009967660479333717
0,2020-03-31,Sin cuarentena,0.0010189164045541132
0,2020-04-01,Sin cuarentena,0.0010632171177955966
0,2020-04-02,Sin cuarentena,0.0011961192575200461
0,2020-04-03,Sin cuarentena,0.0012625703273822708
0,2020-04-04,Sin cuarentena,0.0014619235369689452
0,2020-04-05,Sin cuarentena,0.0016169760333141364
0,2020-04-06,Sin cuarentena,0.0018163292429008108
0,2020-04-07,Sin cuarentena,0.0020378328091082264
0,2020-04-08,Sin cuarentena,0.0022593363753156425
0,2020-04-09,Sin cuarentena,0.002458689584902317
0,2020-04-10,Sin cuarentena,0.0025915917246267664
0,2020-04-11,Sin cuarentena,0.002835245647454924
0,2020-04-12,Sin cuarentena,0.003101049926903823
0,2020-04-13,Sin cuarentena,0.0033447038497319806
0,2020-04-14,Sin cuarentena,0.0038320116953882957
0,2020-04-15,Sin cuarentena,0.004053515261595712
0,2020-04-16,Sin cuarentena,0.004474372037389802
0,2020-04-17,Sin cuarentena,0.005050281309529083
0,2020-04-18,Sin cuarentena,0.0054268373720816904
0,2020-04-19,Sin cuarentena,0.0059805962876002304
0,2020-04-20,Sin cuarentena,0.006578655916360253
0,2020-04-21,Sin cuarentena,0.007376068754706951
0,2020-04-22,Sin cuarentena,0.008284233376157355
0,2020-04-23,Sin cuarentena,0.009125946927745536
0,2020-04-24,Sin cuarentena,0.009901209409471493
0,2020-04-25,Sin cuarentena,0.011163779736853764
0,2020-04-26,Sin cuarentena,0.012293447924511584
0,2020-04-27,Sin cuarentena,0.013445266468790148
0,2020-04-28,Sin cuarentena,0.015416648208036149
0,2020-04-29,Sin cuarentena,0.017277278164178442
0,2020-04-30,Sin cuarentena,0.019226509546803702
0,2020-05-01,Sin cuarentena,0.021308643069153414
0,2020-05-02,Sin cuarentena,0.02345722766136535
0,2020-05-03,Sin cuarentena,0.025450759757232093
0,2020-05-04,Sin cuarentena,0.028684711823860363
0,2020-05-05,Sin cuarentena,0.031608558897798254
0,2020-05-06,Sin cuarentena,0.035219067026979134
0,2020-05-07,Sin cuarentena,0.03922828157533336
0,2020-05-08,Sin cuarentena,0.043680503256102426
0,2020-05-09,Sin cuarentena,0.04802197315376778
0,2020-05-10,Sin cuarentena,0.05260709697426129
0,2020-05-11,Sin cuarentena,0.05832188898241262
0,2020-05-12,Sin cuarentena,0.06532140167456696
0,2020-05-13,Sin cuarentena,0.07192220794754796
0,2020-05-14,Sin cuarentena,0.07951978026846232
0,2020-05-15,Sin cuarentena,0.0870730518761352
0,2020-05-16,Sin cuarentena,0.09518008239932663
0,2020-05-17,Sin cuarentena,0.10381872148141585
0,2020-05-18,Sin cuarentena,0.11354272803792141
