exp,Fecha,variable,value
0,2020-03-06,Sin cuarentena,0.0
0,2020-03-07,Sin cuarentena,0.0
0,2020-03-08,Sin cuarentena,0.14285714285714285
0,2020-03-09,Sin cuarentena,0.25
0,2020-03-10,Sin cuarentena,0.4545454545454545
0,2020-03-11,Sin cuarentena,0.5
0,2020-03-12,Sin cuarentena,0.5384615384615384
0,2020-03-13,Sin cuarentena,0.5714285714285714
0,2020-03-14,Sin cuarentena,0.625
0,2020-03-15,Sin cuarentena,0.625
0,2020-03-16,Sin cuarentena,0.625
0,2020-03-17,Sin cuarentena,0.6842105263157895
0,2020-03-18,Sin cuarentena,0.7142857142857143
0,2020-03-19,Sin cuarentena,0.75
0,2020-03-20,Sin cuarentena,0.4736842105263158
0,2020-03-21,Sin cuarentena,0.4736842105263158
0,2020-03-22,Sin cuarentena,0.5238095238095238
0,2020-03-23,Sin cuarentena,0.5833333333333334
0,2020-03-24,Sin cuarentena,0.6296296296296297
0,2020-03-25,Sin cuarentena,0.6774193548387096
0,2020-03-26,Sin cuarentena,0.6774193548387096
0,2020-03-27,Sin cuarentena,0.53125
0,2020-03-28,Sin cuarentena,0.6111111111111112
0,2020-03-29,Sin cuarentena,0.6486486486486487
0,2020-03-30,Sin cuarentena,0.6666666666666666
0,2020-03-31,Sin cuarentena,0.6829268292682927
0,2020-04-01,Sin cuarentena,0.6976744186046512
0,2020-04-02,Sin cuarentena,0.7446808510638298
0,2020-04-03,Sin cuarentena,0.7647058823529411
0,2020-04-04,Sin cuarentena,0.8135593220338984
0,2020-04-05,Sin cuarentena,0.671875
0,2020-04-06,Sin cuarentena,0.7
0,2020-04-07,Sin cuarentena,0.7407407407407407
0,2020-04-08,Sin cuarentena,0.7692307692307693
0,2020-04-09,Sin cuarentena,0.79
0,2020-04-10,Sin cuarentena,0.7378640776699029
0,2020-04-11,Sin cuarentena,0.7631578947368421
0,2020-04-12,Sin cuarentena,0.7094017094017094
0,2020-04-13,Sin cuarentena,0.7333333333333333
0,2020-04-14,Sin cuarentena,0.7278911564625851
0,2020-04-15,Sin cuarentena,0.7169811320754716
0,2020-04-16,Sin cuarentena,0.7045454545454546
0,2020-04-17,Sin cuarentena,0.6968085106382979
0,2020-04-18,Sin cuarentena,0.7019230769230769
0,2020-04-19,Sin cuarentena,0.729957805907173
0,2020-04-20,Sin cuarentena,0.6862745098039216
0,2020-04-21,Sin cuarentena,0.7331081081081081
0,2020-04-22,Sin cuarentena,0.7217125382262997
0,2020-04-23,Sin cuarentena,0.7288135593220338
0,2020-04-24,Sin cuarentena,0.7352185089974294
0,2020-04-25,Sin cuarentena,0.7198177676537585
0,2020-04-26,Sin cuarentena,0.7016460905349794
0,2020-04-27,Sin cuarentena,0.7249544626593807
0,2020-04-28,Sin cuarentena,0.7520259319286872
0,2020-04-29,Sin cuarentena,0.7503607503607503
0,2020-04-30,Sin cuarentena,0.748062015503876
0,2020-05-01,Sin cuarentena,0.7630662020905923
0,2020-05-02,Sin cuarentena,0.7348242811501597
0,2020-05-03,Sin cuarentena,0.7440076701821668
0,2020-05-04,Sin cuarentena,0.7223183391003459
0,2020-05-05,Sin cuarentena,0.7091757387247278
0,2020-05-06,Sin cuarentena,0.7242105263157895
0,2020-05-07,Sin cuarentena,0.7305764411027569
0,2020-05-08,Sin cuarentena,0.723007348784624
0,2020-05-09,Sin cuarentena,0.7189105858170607
0,2020-05-10,Sin cuarentena,0.7128712871287128
0,2020-05-11,Sin cuarentena,0.7225481978206203
0,2020-05-12,Sin cuarentena,0.7306676725763863
0,2020-05-13,Sin cuarentena,0.7255845942228336
0,2020-05-14,Sin cuarentena,0.7292576419213974
0,2020-05-15,Sin cuarentena,0.7363325740318907
0,2020-05-16,Sin cuarentena,0.7195474875032886
0,2020-05-17,Sin cuarentena,0.7151852748849601
0,2020-05-18,Sin cuarentena,0.7032502226179875
0,2020-05-19,Sin cuarentena,0.7017400204708291
0,2020-05-20,Sin cuarentena,0.6954131918119788
0,2020-05-21,Sin cuarentena,0.6941858422624275
0,2020-05-22,Sin cuarentena,0.6781779312613057
