Fecha,variable,value
2020-03-14,Fallecidos (reales),0.0
2020-03-15,Fallecidos (reales),0.0
2020-03-16,Fallecidos (reales),0.0
2020-03-17,Fallecidos (reales),0.0
2020-03-18,Fallecidos (reales),0.0
2020-03-19,Fallecidos (reales),0.0
2020-03-20,Fallecidos (reales),0.0
2020-03-21,Fallecidos (reales),0.0
2020-03-22,Fallecidos (reales),0.0
2020-03-23,Fallecidos (reales),0.0
2020-03-24,Fallecidos (reales),0.0
2020-03-25,Fallecidos (reales),1.0
2020-03-26,Fallecidos (reales),1.0
2020-03-27,Fallecidos (reales),3.0
2020-03-28,Fallecidos (reales),3.0
2020-03-29,Fallecidos (reales),5.0
2020-03-30,Fallecidos (reales),5.0
2020-03-31,Fallecidos (reales),5.0
2020-04-01,Fallecidos (reales),5.0
2020-04-02,Fallecidos (reales),6.0
2020-04-03,Fallecidos (reales),11.0
2020-04-04,Fallecidos (reales),12.0
2020-04-05,Fallecidos (reales),14.0
2020-04-06,Fallecidos (reales),22.0
2020-04-07,Fallecidos (reales),24.0
2020-04-08,Fallecidos (reales),25.0
2020-04-09,Fallecidos (reales),28.0
2020-04-10,Fallecidos (reales),34.0
2020-04-11,Fallecidos (reales),45.0
2020-04-12,Fallecidos (reales),47.0
2020-04-13,Fallecidos (reales),48.0
2020-04-14,Fallecidos (reales),55.0
2020-04-15,Fallecidos (reales),55.0
2020-04-16,Fallecidos (reales),60.0
2020-04-17,Fallecidos (reales),61.0
2020-04-18,Fallecidos (reales),63.0
2020-04-19,Fallecidos (reales),67.0
2020-04-20,Fallecidos (reales),73.0
2020-04-21,Fallecidos (reales),74.0
2020-04-22,Fallecidos (reales),77.0
2020-04-23,Fallecidos (reales),78.0
2020-04-24,Fallecidos (reales),81.0
2020-04-25,Fallecidos (reales),84.0
2020-04-26,Fallecidos (reales),87.0
2020-04-27,Fallecidos (reales),89.0
2020-04-28,Fallecidos (reales),90.0
2020-04-29,Fallecidos (reales),97.0
2020-04-30,Fallecidos (reales),100.0
2020-05-01,Fallecidos (reales),107.0
2020-05-02,Fallecidos (reales),110.0
2020-05-03,Fallecidos (reales),114.0
2020-05-04,Fallecidos (reales),117.0
2020-05-05,Fallecidos (reales),121.0
2020-05-06,Fallecidos (reales),128.0
2020-05-07,Fallecidos (reales),131.0
2020-05-08,Fallecidos (reales),136.0
2020-05-09,Fallecidos (reales),139.0
2020-05-10,Fallecidos (reales),145.0
2020-05-11,Fallecidos (reales),149.0
2020-05-12,Fallecidos (reales),155.0
2020-05-13,Fallecidos (reales),158.0
2020-05-14,Fallecidos (reales),161.0
2020-05-15,Fallecidos (reales),163.0
2020-05-16,Fallecidos (reales),168.0
2020-05-17,Fallecidos (reales),171.0
2020-05-18,Fallecidos (reales),175.0
2020-05-19,Fallecidos (reales),178.0
2020-05-20,Fallecidos (reales),182.0
2020-05-21,Fallecidos (reales),189.0
2020-05-22,Fallecidos (reales),197.0
2020-05-23,Fallecidos (reales),202.0
2020-05-24,Fallecidos (reales),206.0
2020-05-25,Fallecidos (reales),212.0
2020-05-26,Fallecidos (reales),218.0
2020-05-27,Fallecidos (reales),227.0
2020-05-28,Fallecidos (reales),229.0
2020-05-29,Fallecidos (reales),239.0
2020-05-30,Fallecidos (reales),247.0
2020-05-31,Fallecidos (reales),254.0
2020-06-01,Fallecidos (reales),258.0
2020-06-02,Fallecidos (reales),267.0
2020-06-03,Fallecidos (reales),272.0
2020-06-04,Fallecidos (reales),283.0
2020-06-05,Fallecidos (reales),294.0
2020-06-06,Fallecidos (reales),303.0
2020-06-07,Fallecidos (reales),313.0
2020-06-08,Fallecidos (reales),316.0
2020-06-09,Fallecidos (reales),325.0
2020-06-10,Fallecidos (reales),335.0
2020-06-11,Fallecidos (reales),339.0
2020-06-12,Fallecidos (reales),359.0
2020-06-13,Fallecidos (reales),365.0
2020-06-14,Fallecidos (reales),382.0
2020-06-15,Fallecidos (reales),393.0
2020-06-16,Fallecidos (reales),413.0
2020-06-17,Fallecidos (reales),422.0
2020-03-14,Graves,0.0
2020-03-15,Graves,0.0
2020-03-16,Graves,0.0
2020-03-17,Graves,0.0
2020-03-18,Graves,0.0
2020-03-19,Graves,0.0
2020-03-20,Graves,0.0
2020-03-21,Graves,1.0
2020-03-22,Graves,1.0
