replicate,time,obs,date
1,1,0.0,2020-03-14
1,2,0.0,2020-03-15
1,3,0.0,2020-03-16
1,4,0.0,2020-03-17
1,5,0.0,2020-03-18
1,6,0.0,2020-03-19
1,7,0.0,2020-03-20
1,8,0.0,2020-03-21
1,9,1.0,2020-03-22
1,10,1.0,2020-03-23
1,11,0.0,2020-03-24
1,12,0.0,2020-03-25
1,13,0.0,2020-03-26
1,14,1.0,2020-03-27
1,15,0.0,2020-03-28
1,16,0.0,2020-03-29
1,17,0.0,2020-03-30
1,18,1.0,2020-03-31
1,19,0.0,2020-04-01
1,20,2.0,2020-04-02
1,21,1.0,2020-04-03
1,22,2.0,2020-04-04
1,23,8.0,2020-04-05
1,24,8.0,2020-04-06
1,25,5.0,2020-04-07
1,26,10.0,2020-04-08
1,27,16.0,2020-04-09
1,28,8.0,2020-04-10
1,29,22.0,2020-04-11
1,30,22.0,2020-04-12
1,31,30.0,2020-04-13
1,32,32.0,2020-04-14
1,33,30.0,2020-04-15
1,34,36.0,2020-04-16
1,35,63.0,2020-04-17
1,36,42.0,2020-04-18
1,37,52.0,2020-04-19
1,38,62.0,2020-04-20
1,39,64.0,2020-04-21
1,40,69.0,2020-04-22
1,41,68.0,2020-04-23
1,42,70.0,2020-04-24
1,43,93.0,2020-04-25
1,44,98.0,2020-04-26
1,45,103.0,2020-04-27
1,46,106.0,2020-04-28
1,47,120.0,2020-04-29
1,48,128.0,2020-04-30
1,49,122.0,2020-05-01
1,50,123.0,2020-05-02
1,51,136.0,2020-05-03
1,52,118.0,2020-05-04
1,53,133.0,2020-05-05
1,54,138.0,2020-05-06
1,55,140.0,2020-05-07
1,56,152.0,2020-05-08
1,57,177.0,2020-05-09
1,58,142.0,2020-05-10
1,59,153.0,2020-05-11
1,60,166.0,2020-05-12
1,61,170.0,2020-05-13
1,62,177.0,2020-05-14
1,63,183.0,2020-05-15
1,64,188.0,2020-05-16
1,65,212.0,2020-05-17
1,66,201.0,2020-05-18
1,67,184.0,2020-05-19
1,68,168.0,2020-05-20
1,69,213.0,2020-05-21
1,70,200.0,2020-05-22
1,71,218.0,2020-05-23
1,72,206.0,2020-05-24
1,73,213.0,2020-05-25
1,74,198.0,2020-05-26
1,75,215.0,2020-05-27
1,76,215.0,2020-05-28
1,77,232.0,2020-05-29
1,78,217.0,2020-05-30
1,79,228.0,2020-05-31
1,80,230.0,2020-06-01
1,81,257.0,2020-06-02
1,82,261.0,2020-06-03
1,83,280.0,2020-06-04
1,84,297.0,2020-06-05
1,85,281.0,2020-06-06
1,86,325.0,2020-06-07
1,87,286.0,2020-06-08
1,88,318.0,2020-06-09
1,89,323.0,2020-06-10
1,90,344.0,2020-06-11
1,91,363.0,2020-06-12
1,92,351.0,2020-06-13
1,93,394.0,2020-06-14
1,94,390.0,2020-06-15
1,95,403.0,2020-06-16
1,96,429.0,2020-06-17
1,97,424.0,2020-06-18
1,98,445.0,2020-06-19
1,99,456.0,2020-06-20
1,100,513.0,2020-06-21
1,101,537.0,2020-06-22
1,102,584.0,2020-06-23
1,103,540.0,2020-06-24
1,104,579.0,2020-06-25
1,105,585.0,2020-06-26
1,106,597.0,2020-06-27
1,107,612.0,2020-06-28
1,108,633.0,2020-06-29
1,109,727.0,2020-06-30
1,110,701.0,2020-02-01
1,111,805.0,2020-02-02
2,1,0.0,2020-03-14
2,2,0.0,2020-03-15
2,3,0.0,2020-03-16
2,4,0.0,2020-03-17
2,5,0.0,2020-03-18
2,6,0.0,2020-03-19
2,7,0.0,2020-03-20
2,8,0.0,2020-03-21
2,9,0.0,2020-03-22
2,10,0.0,2020-03-23
2,11,0.0,2020-03-24
2,12,0.0,2020-03-25
2,13,0.0,2020-03-26
2,14,0.0,2020-03-27
2,15,0.0,2020-03-28
2,16,1.0,2020-03-29
2,17,0.0,2020-03-30
2,18,0.0,2020-03-31
2,19,0.0,2020-04-01
2,20,0.0,2020-04-02
2,21,1.0,2020-04-03
2,22,2.0,2020-04-04
2,23,3.0,2020-04-05
2,24,7.0,2020-04-06
2,25,9.0,2020-04-07
2,26,9.0,2020-04-08
2,27,12.0,2020-04-09
2,28,16.0,2020-04-10
2,29,19.0,2020-04-11
2,30,23.0,2020-04-12
2,31,24.0,2020-04-13
2,32,34.0,2020-04-14
2,33,32.0,2020-04-15
2,34,47.0,2020-04-16
2,35,46.0,2020-04-17
2,36,68.0,2020-04-18
2,37,50.0,2020-04-19
2,38,59.0,2020-04-20
2,39,58.0,2020-04-21
2,40,68.0,2020-04-22
2,41,59.0,2020-04-23
2,42,79.0,2020-04-24
2,43,88.0,2020-04-25
2,44,104.0,2020-04-26
2,45,71.0,2020-04-27
2,46,102.0,2020-04-28
2,47,90.0,2020-04-29
2,48,117.0,2020-04-30
2,49,91.0,2020-05-01
2,50,113.0,2020-05-02
2,51,128.0,2020-05-03
2,52,140.0,2020-05-04
2,53,136.0,2020-05-05
2,54,134.0,2020-05-06
2,55,140.0,2020-05-07
2,56,161.0,2020-05-08
2,57,149.0,2020-05-09
2,58,153.0,2020-05-10
2,59,177.0,2020-05-11
2,60,172.0,2020-05-12
2,61,165.0,2020-05-13
2,62,176.0,2020-05-14
2,63,190.0,2020-05-15
2,64,176.0,2020-05-16
2,65,178.0,2020-05-17
2,66,214.0,2020-05-18
2,67,190.0,2020-05-19
2,68,206.0,2020-05-20
2,69,212.0,2020-05-21
2,70,206.0,2020-05-22
2,71,248.0,2020-05-23
2,72,230.0,2020-05-24
2,73,234.0,2020-05-25
2,74,199.0,2020-05-26
2,75,246.0,2020-05-27
2,76,227.0,2020-05-28
2,77,247.0,2020-05-29
2,78,247.0,2020-05-30
2,79,249.0,2020-05-31
2,80,257.0,2020-06-01
2,81,281.0,2020-06-02
2,82,279.0,2020-06-03
2,83,257.0,2020-06-04
2,84,269.0,2020-06-05
2,85,267.0,2020-06-06
2,86,336.0,2020-06-07
2,87,302.0,2020-06-08
2,88,300.0,2020-06-09
2,89,316.0,2020-06-10
2,90,331.0,2020-06-11
2,91,359.0,2020-06-12
2,92,373.0,2020-06-13
2,93,374.0,2020-06-14
2,94,366.0,2020-06-15
2,95,401.0,2020-06-16
2,96,431.0,2020-06-17
2,97,423.0,2020-06-18
2,98,463.0,2020-06-19
2,99,505.0,2020-06-20
2,100,463.0,2020-06-21
2,101,501.0,2020-06-22
2,102,529.0,2020-06-23
2,103,555.0,2020-06-24
2,104,541.0,2020-06-25
2,105,603.0,2020-06-26
2,106,603.0,2020-06-27
2,107,637.0,2020-06-28
2,108,687.0,2020-06-29
2,109,678.0,2020-06-30
2,110,726.0,2020-02-01
2,111,755.0,2020-02-02
3,1,0.0,2020-03-14
3,2,0.0,2020-03-15
3,3,0.0,2020-03-16
3,4,0.0,2020-03-17
3,5,0.0,2020-03-18
3,6,0.0,2020-03-19
3,7,0.0,2020-03-20
3,8,0.0,2020-03-21
3,9,0.0,2020-03-22
3,10,0.0,2020-03-23
3,11,0.0,2020-03-24
3,12,0.0,2020-03-25
3,13,0.0,2020-03-26
3,14,0.0,2020-03-27
3,15,0.0,2020-03-28
3,16,0.0,2020-03-29
3,17,0.0,2020-03-30
3,18,0.0,2020-03-31
3,19,0.0,2020-04-01
3,20,1.0,2020-04-02
