date,0.2 NC,0.225 NC,0.25 NC,0.2 LD,0.225 LD,0.25 LD,0.2 LA,0.225 LA,0.25 LA
2020-09-01,1383,1383,1383,1383,1383,1383,1383,1383,1383
2020-09-02,1339,1339,1339,1342,1340,1337,1337,1338,1340
2020-09-03,1301,1295,1300,1302,1301,1299,1299,1297,1298
2020-09-04,1266,1263,1261,1266,1262,1259,1266,1264,1263
2020-09-05,1238,1233,1234,1235,1231,1231,1236,1235,1238
2020-09-06,1215,1204,1208,1209,1203,1206,1212,1209,1213
2020-09-07,1190,1185,1186,1184,1179,1186,1194,1184,1194
2020-09-08,1170,1163,1161,1165,1157,1160,1175,1167,1173
2020-09-09,1154,1143,1143,1143,1135,1136,1160,1152,1160
2020-09-10,1137,1126,1124,1122,1111,1108,1150,1136,1144
2020-09-11,1121,1109,1105,1102,1088,1082,1136,1123,1125
2020-09-12,1102,1089,1087,1080,1068,1060,1129,1114,1110
2020-09-13,1088,1073,1067,1057,1048,1036,1125,1107,1097
2020-09-14,1079,1062,1052,1036,1024,1010,1118,1103,1089
2020-09-15,1068,1046,1035,1015,1004,985,1121,1103,1079
2020-09-16,1061,1037,1021,998,986,960,1126,1100,1075
2020-09-17,1053,1029,1010,981,966,942,1132,1101,1076
2020-09-18,1049,1021,998,965,951,928,1142,1109,1077
2020-09-19,1047,1015,987,950,932,910,1158,1117,1081
2020-09-20,1047,1017,982,940,919,892,1175,1128,1088
2020-09-21,1053,1014,974,930,908,877,1200,1142,1097
2020-09-22,1062,1019,972,923,899,862,1226,1160,1111
2020-09-23,1071,1023,973,916,889,848,1254,1182,1124
2020-09-24,1083,1029,974,915,883,838,1285,1207,1141
2020-09-25,1098,1039,978,912,877,831,1320,1235,1161
2020-09-26,1115,1049,984,913,873,820,1359,1270,1185
2020-09-27,1132,1060,991,918,868,811,1404,1304,1210
2020-09-28,1155,1077,1000,920,866,806,1449,1342,1238
2020-09-29,1178,1094,1010,923,863,804,1501,1383,1269
2020-09-30,1204,1112,1024,931,863,799,1555,1421,1306
2020-10-01,1233,1132,1039,935,865,798,1610,1461,1337
2020-10-02,1263,1155,1052,941,867,795,1673,1506,1373
2020-10-03,1293,1176,1067,947,869,796,1734,1559,1408
2020-10-04,1324,1199,1082,956,875,794,1796,1610,1448
2020-10-05,1356,1220,1100,966,882,796,1859,1662,1491
2020-10-06,1385,1249,1118,974,887,795,1925,1715,1534
2020-10-07,1420,1273,1136,987,891,793,1994,1774,1568
2020-10-08,1450,1303,1154,999,896,793,2063,1827,1609
2020-10-09,1488,1325,1172,1012,902,790,2133,1884,1647
2020-10-10,1524,1346,1188,1022,905,794,2207,1938,1689
