Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Nuevos_infectados:acum,Tasa de ataque,Detectados,En_testing
45151,42,0,0,42,0,0.0,45193,0,0.0,0.0,0.0,0,0,0.0,0,0
45118,75,4,1,70,0,0.44,45193,1,6.17020335007633,10.8045715044365,7.07392737813378,17,17,0.0003761644502,0,5
45096,96,5,3,88,0,0.572916666666666,45192,2,5.89823420074349,10.7108116480793,6.51356434767215,23,40,0.0008850928241,0,8
45057,135,6,7,122,0,0.696296296296296,45192,3,5.78454151177199,10.6537661533014,6.31370596565763,30,70,0.001548912442,0,13
45038,153,6,6,141,0,0.732026143790849,45191,4,5.69874532539665,10.5619260472217,6.19481755216746,35,105,0.002323368663,0,12
45009,182,8,7,167,0,0.774725274725274,45191,5,5.60817419397667,10.550175919984,6.11325263879976,20,125,0.002765915075,4,11
44975,216,9,7,200,0,0.810185185185185,45191,6,5.54931291628864,10.4748511871832,6.01093138014206,33,158,0.003496116655,8,8
44924,266,14,8,244,0,0.842105263157894,45190,7,5.49369329497676,10.4240097366674,5.93923434388139,40,198,0.004381209479,11,11
44873,317,15,11,291,0,0.867507886435331,45190,8,5.41493693294976,10.3997787121044,5.8469351626466,43,241,0.005332684265,11,15
44768,422,20,13,389,0,0.900473933649289,45190,9,5.37039167957512,10.3522903297189,5.76824518698827,87,328,0.007257761158,14,19
44648,503,15,11,477,37,0.5168986083499,45188,10,5.31966451270248,10.2928874922545,5.71505709480393,118,446,0.009868784989,13,30
44524,627,24,16,587,37,0.612440191387559,45188,11,5.27682127998583,10.2707577232893,5.67914047977339,118,564,0.01247980882,18,37
44411,735,29,20,686,37,0.663945578231292,45183,12,5.24341013212934,10.2437863798331,5.62176039660934,117,681,0.01506870533,22,42
44256,889,36,23,830,37,0.723284589426321,45182,13,5.19802133593023,10.2198663184453,5.56562347837634,127,808,0.01787887505,25,46
44046,1098,48,29,1021,37,0.768670309653916,45181,14,5.15887209225116,10.1797658307695,5.52962528496491,196,1004,0.02221582989,35,54
43774,1349,59,32,1258,54,0.755374351371386,45177,15,5.13013258959204,10.1352458109214,5.47444496093144,240,1244,0.02752638683,44,64
43439,1659,73,38,1548,73,0.710066305003013,45171,16,5.10121538155011,10.1017688339864,5.43972902968718,298,1542,0.03412032837,55,78
43096,1970,86,42,1842,100,0.718781725888324,45166,17,5.06387548155692,10.0637204977195,5.39175485985033,336,1878,0.04155510809,63,100
42624,2406,99,59,2248,133,0.687032418952618,45163,18,5.03905852135597,10.0298031574518,5.35903283661404,421,2299,0.05087071007,77,128
