Grupo de edad,Día,Susceptibles,Leves,Graves,Críticos,Recuperados
0-4,0,2608,1,0,0,0
5-19,0,8908,9,0,0,0
20-39,0,15674,13,0,0,0
40-59,0,12405,17,0,0,0
>60,0,5556,2,0,0,0
0-4,1,2607,1,1,0,0
5-19,1,8905,11,0,1,0
20-39,1,15658,29,0,0,0
40-59,1,12394,25,3,0,0
>60,1,5554,4,0,0,0
0-4,2,2606,2,1,0,0
5-19,2,8899,15,0,2,0
20-39,2,15651,36,0,0,0
40-59,2,12390,28,4,0,0
>60,2,5550,7,0,1,0
0-4,3,2606,2,1,0,0
5-19,3,8891,21,0,4,0
20-39,3,15640,46,0,1,0
40-59,3,12376,40,5,1,0
>60,3,5544,13,0,1,0
0-4,4,2604,4,1,0,0
5-19,4,8888,24,0,3,0
20-39,4,15631,55,0,1,0
40-59,4,12373,43,5,1,0
>60,4,5542,15,0,1,0
0-4,5,2601,7,1,0,0
5-19,5,8882,30,0,3,0
20-39,5,15624,62,0,1,0
40-59,5,12364,49,7,2,0
>60,5,5538,19,0,1,0
0-4,6,2600,8,1,0,0
5-19,6,8875,37,0,3,0
20-39,6,15613,73,0,1,0
40-59,6,12353,59,8,2,0
>60,6,5534,23,0,1,0
0-4,7,2595,12,1,1,0
5-19,7,8865,47,0,2,0
20-39,7,15595,90,1,1,0
40-59,7,12339,71,10,2,0
>60,7,5530,24,2,2,0
0-4,8,2592,15,1,1,0
5-19,8,8851,60,0,3,0
20-39,8,15577,107,2,1,0
40-59,8,12331,79,10,2,0
>60,8,5522,30,2,4,0
0-4,9,2588,19,1,1,0
5-19,9,8834,75,0,5,0
20-39,9,15549,134,3,1,0
40-59,9,12291,116,13,2,0
>60,9,5506,45,3,4,0
0-4,10,2583,22,1,2,0
5-19,10,8815,89,0,4,6
20-39,10,15504,166,3,1,13
40-59,10,12249,150,6,0,17
>60,10,5497,50,5,4,1
0-4,11,2573,31,1,3,0
5-19,11,8789,112,0,7,6
20-39,11,15459,210,4,1,13
40-59,11,12228,167,10,0,17
>60,11,5475,67,9,5,1
0-4,12,2572,26,1,7,0
5-19,12,8769,131,0,7,6
20-39,12,15421,247,5,1,13
40-59,12,12186,205,14,0,17
>60,12,5463,77,9,5,1
0-4,13,2569,29,1,6,0
5-19,13,8730,169,1,7,6
20-39,13,15361,305,7,1,13
40-59,13,12151,236,17,1,17
>60,13,5445,91,10,8,1
0-4,14,2557,41,1,6,0
5-19,14,8693,202,2,9,6
20-39,14,15297,367,9,1,13
40-59,14,12082,300,22,1,17
>60,14,5417,111,14,12,1
0-4,15,2543,52,3,6,0
5-19,15,8649,242,4,9,7
20-39,15,15198,457,9,0,23
40-59,15,12002,369,26,3,22
>60,15,5382,138,17,14,2
0-4,16,2527,63,4,8,0
5-19,16,8600,284,5,10,10
20-39,16,15075,569,13,0,30
40-59,16,11892,465,33,3,29
>60,16,5345,167,18,17,4
0-4,17,2509,77,5,10,1
5-19,17,8532,346,4,11,14
20-39,17,14957,669,21,0,40
40-59,17,11804,539,37,4,38
>60,17,5294,211,19,17,7
0-4,18,2491,88,5,14,2
5-19,18,8434,427,8,16,22
20-39,18,14809,803,22,2,51
40-59,18,11663,664,42,6,47
>60,18,5227,266,22,21,11
0-4,19,2487,87,8,16,2
5-19,19,8428,420,6,26,25
20-39,19,14794,803,29,2,59
40-59,19,11649,663,51,8,51
>60,19,5214,264,29,25,13
0-4,20,2487,76,11,23,3
5-19,20,8420,417,10,26,30
20-39,20,14774,806,35,4,68
40-59,20,11630,654,65,8,63
>60,20,5200,256,35,33,16
0-4,21,2485,73,11,23,6
5-19,21,8403,419,10,30,38
20-39,21,14741,827,33,3,83
40-59,21,11597,656,82,11,74
>60,21,5191,246,42,38,17
0-4,22,2476,67,15,31,7
5-19,22,8387,410,13,41,47
20-39,22,14708,840,40,3,96
40-59,22,11562,649,112,12,85
>60,22,5184,222,55,51,21
0-4,23,2467,69,11,32,9
5-19,23,8354,414,13,48,60
20-39,23,14671,842,49,3,122
40-59,23,11515,648,133,13,111
>60,23,5166,202,67,62,31
0-4,24,2464,60,17,34,13
5-19,24,8332,410,16,50,76
20-39,24,14625,826,69,3,164
40-59,24,11464,642,150,16,147
>60,24,5144,190,73,68,43
0-4,25,2457,59,13,33,16
5-19,25,8310,408,20,47,94
20-39,25,14585,818,73,3,208
40-59,25,11431,627,161,17,182
>60,25,5124,181,88,69,52
0-4,26,2454,55,12,35,18
5-19,26,8291,407,20,42,116
20-39,26,14543,817,77,4,246
40-59,26,11407,611,172,18,209
>60,26,5110,167,81,72,68
0-4,27,2450,48,15,39,19
5-19,27,8274,395,19,39,143
20-39,27,14495,819,76,3,294
40-59,27,11373,593,189,18,243
>60,27,5095,160,76,82,76
0-4,28,2442,49,12,39,23
5-19,28,8255,377,27,32,176
20-39,28,14464,788,67,3,365
40-59,28,11347,554,193,19,302
>60,28,5083,152,77,77,89
0-4,29,2437,45,10,36,31
5-19,29,8237,357,26,31,211
20-39,29,14416,759,62,2,448
40-59,29,11314,521,184,20,374
>60,29,5072,136,70,81,111
0-4,30,2435,39,8,35,38
5-19,30,8219,344,25,20,249
20-39,30,14385,699,58,1,544
40-59,30,11288,481,148,16,479
>60,30,5060,128,63,70,140
0-4,31,2431,33,7,29,45
5-19,31,8203,315,20,16,297
20-39,31,14345,629,45,1,667
40-59,31,11261,441,127,17,566
>60,31,5051,116,55,59,175
0-4,32,2429,29,6,25,54
5-19,32,8186,257,15,15,374
20-39,32,14321,521,40,0,805
40-59,32,11238,381,84,15,694
>60,32,5044,103,48,52,205
0-4,33,2425,32,4,17,61
5-19,33,8177,219,10,17,421
20-39,33,14297,472,32,0,885
40-59,33,11214,352,79,11,755
>60,33,5037,97,37,37,236
0-4,34,2421,31,8,16,62
5-19,34,8166,219,9,20,427
20-39,34,14275,477,36,0,898
40-59,34,11192,346,92,11,770
>60,34,5033,87,35,40,245
0-4,35,2420,27,9,20,62
5-19,35,8160,209,10,24,438
20-39,35,14254,464,40,0,928
40-59,35,11171,329,98,12,800
>60,35,5027,81,32,36,258
0-4,36,2418,29,9,11,66
5-19,36,8152,195,12,25,452
20-39,36,14242,447,37,0,959
40-59,36,11154,302,101,11,840
>60,36,5024,69,39,35,262
0-4,37,2417,25,8,12,69
5-19,37,8144,177,9,23,479
20-39,37,14212,439,35,0,999
40-59,37,11142,287,96,10,873
>60,37,5019,62,36,37,272
0-4,38,2414,23,5,14,72
5-19,38,8136,165,10,20,498
20-39,38,14199,415,29,0,1042
40-59,38,11126,266,85,7,923
>60,38,5014,57,33,32,287
