,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,74174,77,0,0,77,0,0.0,"{'RIO_MAR': [8897, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [8031, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18620, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16656, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21970, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10756, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12047, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23705, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17296, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10370, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",74251,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
1,74084,167,0,0,167,0,0.5389221556886228,"{'RIO_MAR': [8895, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [8026, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18602, 0, 0, 35, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16632, 0, 0, 38, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21929, 0, 0, 70, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10743, 0, 0, 19, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12033, 0, 0, 24, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23672, 0, 0, 62, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17277, 0, 0, 38, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10359, 0, 0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[18711, 20, 0, 0, 0]",74251,1,10.032255457838952,6.001979771316211,2.924351187189398,13.416876801152737,8.02689121037464,3.910951008645533,50,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
2,74027,224,0,0,224,0,0.65625,"{'RIO_MAR': [8893, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [8023, 0, 0, 19, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18590, 0, 0, 47, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16616, 0, 0, 54, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21905, 0, 0, 94, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10733, 0, 0, 29, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12021, 0, 0, 36, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23656, 0, 0, 78, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17265, 0, 0, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10352, 0, 0, 31, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[23263, 45, 0, 0, 0]",74251,2,8.457906290824367,5.056874654886803,2.5338783316049613,12.327660326246981,7.370551400584968,3.693206132343992,65,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
3,73950,301,0,0,301,0,0.7441860465116279,"{'RIO_MAR': [8892, 0, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [8018, 0, 0, 24, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18572, 0, 0, 65, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16603, 0, 0, 67, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21865, 0, 0, 134, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10723, 0, 0, 39, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12006, 0, 0, 51, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23631, 0, 0, 103, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17245, 0, 0, 70, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10345, 0, 0, 38, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[20475, 66, 0, 0, 0]",74251,3,9.422095325315484,5.61240926048134,2.761242272831342,13.025507354310184,7.758834481474586,3.817259355799665,72,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
4,73885,366,0,0,366,0,0.7896174863387978,"{'RIO_MAR': [8889, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [8016, 0, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18553, 0, 0, 84, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16591, 0, 0, 79, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21836, 0, 0, 163, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10711, 0, 0, 51, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11998, 0, 0, 59, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23604, 0, 0, 130, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17233, 0, 0, 82, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10339, 0, 0, 44, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[24201, 103, 0, 0, 0]",74251,4,8.136563817322326,4.867220643493017,2.4580005656489474,12.095781528420126,7.235589725108615,3.654053296494284,70,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
5,73838,413,0,0,413,0,0.8135593220338984,"{'RIO_MAR': [8889, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [8013, 0, 0, 29, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18543, 0, 0, 94, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16579, 0, 0, 91, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21814, 0, 0, 185, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10701, 0, 0, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11991, 0, 0, 66, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23591, 0, 0, 143, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17222, 0, 0, 93, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10333, 0, 0, 50, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[27105, 145, 0, 0, 0]",74251,5,7.184792124011798,4.305140671506107,2.209815356022141,11.350354247781961,6.8011531669538945,3.491010829556818,55,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
6,73729,506,0,0,506,16,0.7509881422924901,"{'RIO_MAR': [8883, 0, 0, 19, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 'CENTRO_HISTORICO': [8008, 0, 0, 29, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'METROPOLITANA': [18521, 0, 0, 114, 16, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'SUR_ORIENTE': [16545, 0, 0, 124, 22, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 'SUR_OCCIDENTE': [21772, 0, 0, 220, 36, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]}","[10682, 0, 0, 80, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11982, 0, 0, 71, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[23551, 0, 0, 177, 25, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[17198, 0, 0, 114, 18, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[10316, 0, 0, 64, 15, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0]","[29228, 146, 0, 0, 6]",74251,6,6.5914263780959175,3.916957347375793,2.0529959192468787,10.907267500167146,6.4816473891823225,3.3972276080319137,82,0,0,0,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
7,73628,592,2,0,590,31,0.652027027027027,"{'RIO_MAR': [8882, 0, 0, 18, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'CENTRO_HISTORICO': [8000, 0, 0, 36, 5, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'METROPOLITANA': [18487, 0, 0, 143, 23, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0], 'SUR_ORIENTE': [16516, 0, 0, 148, 30, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'SUR_OCCIDENTE': [21743, 0, 0, 245, 31, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0]}","[10666, 0, 0, 95, 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[11966, 0, 0, 85, 11, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[23522, 0, 0, 202, 33, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[17173, 0, 0, 133, 26, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0]","[10301, 0, 0, 75, 8, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0]","[0, 0, 0, 0, 0]","[30382, 211, 2, 0, 14]",74251,7,6.1931960512316335,3.706603278070329,1.9513137870197035,10.53689106823702,6.306287521195179,3.319898263141011,91,0,2,2,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
8,73494,706,2,0,704,51,0.5141643059490085,"{'RIO_MAR': [8882, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'CENTRO_HISTORICO': [7991, 0, 0, 44, 9, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'METROPOLITANA': [18448, 0, 0, 177, 38, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0], 'SUR_ORIENTE': [16489, 0, 0, 172, 32, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'SUR_OCCIDENTE': [21684, 0, 0, 295, 44, 0, 1, 0, 0, 0, 0, 0, 19, 0, 0]}","[10648, 0, 0, 109, 19, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[11944, 0, 0, 104, 21, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[23476, 0, 0, 240, 41, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0]","[17140, 0, 0, 163, 24, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0]","[10286, 0, 0, 88, 19, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0]","[0, 0, 0, 0, 0]","[34534, 267, 2, 0, 21]",74251,8,5.121964687344279,3.033709983703923,1.658792474175432,9.645953280746696,5.713242194435286,3.1239252289040507,124,0,2,2,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
9,73418,770,2,0,768,63,0.44805194805194803,"{'RIO_MAR': [8882, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'CENTRO_HISTORICO': [7990, 0, 0, 44, 6, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 'METROPOLITANA': [18427, 0, 0, 195, 32, 0, 1, 0, 0, 0, 0, 0, 14, 0, 0], 'SUR_ORIENTE': [16466, 0, 0, 191, 23, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0], 'SUR_OCCIDENTE': [21653, 0, 0, 323, 51, 0, 1, 0, 0, 0, 0, 0, 22, 0, 0]}","[10632, 0, 0, 125, 17, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[11930, 0, 0, 118, 18, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[23452, 0, 0, 258, 35, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0]","[17128, 0, 0, 171, 29, 0, 1, 0, 0, 0, 0, 0, 15, 0, 0]","[10276, 0, 0, 96, 13, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0]","[0, 0, 0, 0, 0]","[42912, 432, 1, 0, 41]",74251,9,3.168428708030868,1.896095675479118,1.105493528706684,7.622193422971002,4.561380204114693,2.65945245423619,112,0,2,2,0,0,0,"{'CENTRO_HISTORICO': 0.0, 'METROPOLITANA': 0.0, 'RIO_MAR': 0.0, 'SUR_OCCIDENTE': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'CENTRO_HISTORICO': 0, 'METROPOLITANA': 0, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'CENTRO_HISTORICO': 2, 'METROPOLITANA': 3, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 7, 'SUR_ORIENTE': 0}",0,"{'CENTRO_HISTORICO': 1, 'METROPOLITANA': 1, 'RIO_MAR': 0, 'SUR_OCCIDENTE': 0, 'SUR_ORIENTE': 0}",{}
