,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,74183,68,0,0,68,0,0.0,"{'METROPOLITANA': [18685, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [9055, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16763, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7919, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21761, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10793, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11862, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23851, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17335, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10342, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",74251,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
1,74102,149,0,0,149,0,0.5436241610738255,"{'METROPOLITANA': [18659, 0, 0, 48, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [9052, 0, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16744, 0, 0, 31, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7917, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21730, 0, 0, 49, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10777, 0, 0, 25, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11845, 0, 0, 32, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23829, 0, 0, 40, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17320, 0, 0, 35, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10331, 0, 0, 17, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[19061, 18, 0, 0, 0]",74251,1,9.907502929253479,5.899287551682805,2.8804864580948406,13.33361125208439,7.9393170448778365,3.8765859493946206,38,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
2,74031,220,0,0,220,0,0.6909090909090909,"{'METROPOLITANA': [18628, 0, 0, 79, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [9047, 0, 0, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16737, 0, 0, 38, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7914, 0, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21705, 0, 0, 74, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10767, 0, 0, 35, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11827, 0, 0, 50, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23805, 0, 0, 64, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17309, 0, 0, 46, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10323, 0, 0, 25, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[23009, 45, 0, 0, 0]",74251,2,8.520019932391483,5.1044969091325365,2.5375550497636397,12.356583393558216,7.403050960017189,3.6802156376350177,72,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
3,73978,273,0,0,273,0,0.7509157509157509,"{'METROPOLITANA': [18606, 0, 0, 101, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [9043, 0, 0, 22, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16726, 0, 0, 49, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7914, 0, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21689, 0, 0, 90, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10760, 0, 0, 42, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11821, 0, 0, 56, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23789, 0, 0, 80, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17294, 0, 0, 61, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10314, 0, 0, 34, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[20840, 77, 0, 0, 0]",74251,3,9.245343497057279,5.518875166664422,2.719047554915085,12.871264109198634,7.683316458544268,3.785427682153973,68,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
4,73935,316,0,0,316,0,0.7848101265822784,"{'METROPOLITANA': [18589, 0, 0, 118, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [9039, 0, 0, 26, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16720, 0, 0, 55, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7913, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21674, 0, 0, 105, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10752, 0, 0, 50, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11814, 0, 0, 63, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23774, 0, 0, 95, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17285, 0, 0, 70, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10310, 0, 0, 38, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[24160, 96, 0, 0, 0]",74251,4,8.119217249599332,4.846264696771761,2.430849416169479,12.058405840584058,7.197519751975197,3.6102210221022104,46,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
5,73877,374,0,0,374,0,0.8181818181818182,"{'METROPOLITANA': [18566, 0, 0, 141, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [9037, 0, 0, 28, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_ORIENTE': [16702, 0, 0, 73, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7910, 0, 0, 15, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21662, 0, 0, 117, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10747, 0, 0, 55, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11807, 0, 0, 70, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23755, 0, 0, 114, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17270, 0, 0, 85, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10298, 0, 0, 50, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[26981, 130, 0, 0, 0]",74251,5,7.267875180132254,4.323012484680341,2.207700906385099,11.447751378871446,6.80924904539669,3.4773865082732285,50,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
6,73827,403,0,0,403,21,0.6178660049627791,"{'METROPOLITANA': [18547, 0, 0, 151, 26, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'RIO_MAR': [9034, 0, 0, 28, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'SUR_ORIENTE': [16685, 0, 0, 87, 23, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'CENTRO_HISTORICO': [7908, 0, 0, 16, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 'SUR_OCCIDENTE': [21653, 0, 0, 121, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]}","[10737, 0, 0, 64, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[11798, 0, 0, 77, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[23738, 0, 0, 123, 23, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[17262, 0, 0, 85, 12, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[10292, 0, 0, 54, 11, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[29343, 135, 0, 0, 10]",74251,6,6.510619385597501,3.9153546753579076,2.0293868096052576,10.799544266470075,6.494627259120255,3.3662623148582536,61,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
7,73715,509,0,0,509,27,0.630648330058939,"{'METROPOLITANA': [18507, 0, 0, 189, 31, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0], 'RIO_MAR': [9033, 0, 0, 28, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'SUR_ORIENTE': [16658, 0, 0, 114, 23, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'CENTRO_HISTORICO': [7903, 0, 0, 21, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 'SUR_OCCIDENTE': [21614, 0, 0, 157, 28, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]}","[10717, 0, 0, 83, 13, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[11781, 0, 0, 92, 15, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[23708, 0, 0, 153, 26, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[17233, 0, 0, 111, 21, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]","[10276, 0, 0, 70, 12, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[30105, 152, 0, 0, 9]",74251,7,6.356224158597191,3.769107486767855,1.968417933765202,10.729930658178924,6.362623621689212,3.3228828009548708,87,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
8,73568,640,0,0,640,43,0.5625,"{'METROPOLITANA': [18440, 0, 0, 251, 49, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0], 'RIO_MAR': [9029, 0, 0, 30, 2, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'SUR_ORIENTE': [16630, 0, 0, 137, 25, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 'CENTRO_HISTORICO': [7898, 0, 0, 25, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'SUR_OCCIDENTE': [21571, 0, 0, 197, 39, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]}","[10699, 0, 0, 98, 23, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[11750, 0, 0, 120, 22, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[23656, 0, 0, 201, 35, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]","[17205, 0, 0, 136, 24, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0]","[10258, 0, 0, 85, 15, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[0, 0, 0, 0, 0]","[34614, 237, 0, 0, 20]",74251,8,5.1429206340655345,3.0424102032295863,1.6554120483225816,9.696978161503301,5.7364652107668865,3.1212798374809547,119,0,0,0,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
9,73486,709,1,0,708,56,0.5275035260930888,"{'METROPOLITANA': [18421, 0, 0, 265, 37, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0], 'RIO_MAR': [9025, 0, 0, 31, 4, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'SUR_ORIENTE': [16607, 0, 0, 158, 26, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0], 'CENTRO_HISTORICO': [7896, 0, 0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'SUR_OCCIDENTE': [21537, 0, 0, 228, 39, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0]}","[10686, 0, 0, 109, 15, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[11733, 0, 0, 130, 23, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0]","[23630, 0, 0, 224, 36, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0]","[17190, 0, 0, 150, 23, 0, 1, 0, 0, 0, 0, 0, 14, 0, 0]","[10247, 0, 0, 95, 14, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[0, 0, 0, 0, 0]","[42866, 357, 1, 0, 36]",74251,9,3.202461919704785,1.9095500397301046,1.13548639075568,7.672743699783808,4.5750701816656445,2.7204994998547964,111,0,1,1,0,0,0,"{'SUR_OCCIDENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'CENTRO_HISTORICO': 0.0, 'SUR_ORIENTE': 0.0}",0.0,"{'SUR_OCCIDENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 0}",0.0,0,"{'SUR_OCCIDENTE': 6, 'RIO_MAR': 0, 'METROPOLITANA': 4, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 4}",0,"{'SUR_OCCIDENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 2, 'CENTRO_HISTORICO': 0, 'SUR_ORIENTE': 1}",{}
