,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,44359,47,0,0,47,0,0.0,"{'Industrial de la bahia': [16474, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15539, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12346, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7058, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7220, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14709, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9926, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5446, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44406,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
1,44334,72,0,0,72,0,0.3472222222222222,"{'Industrial de la bahia': [16468, 0, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15523, 0, 0, 31, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12343, 0, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7055, 0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7218, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14698, 0, 0, 25, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9919, 0, 0, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5444, 0, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12223, 10, 0, 0, 0]",44406,1,7.590618384902941,5.16518038102959,2.5577174255731205,10.476766232555248,7.129114474870232,3.53022720915053,16,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
2,44289,117,0,0,117,0,0.5982905982905983,"{'Industrial de la bahia': [16450, 0, 0, 41, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15503, 0, 0, 51, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12336, 0, 0, 25, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7048, 0, 0, 24, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7204, 0, 0, 23, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14686, 0, 0, 37, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9911, 0, 0, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5440, 0, 0, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9037, 18, 0, 0, 0]",44406,2,9.182745574922308,6.233977390442733,2.966153222537495,11.534864643150122,7.8307827218466235,3.725920058838505,29,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
3,44244,162,0,0,162,0,0.7098765432098766,"{'Industrial de la bahia': [16432, 0, 0, 59, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15482, 0, 0, 72, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12330, 0, 0, 31, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7042, 0, 0, 30, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7199, 0, 0, 28, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14666, 0, 0, 57, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9900, 0, 0, 30, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5437, 0, 0, 17, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9559, 26, 0, 0, 0]",44406,3,8.912691978561456,6.062559113633292,2.9086159527991713,11.366043479509491,7.731369001464634,3.7092559087906722,49,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
4,44204,202,0,0,202,0,0.7673267326732673,"{'Industrial de la bahia': [16411, 0, 0, 80, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15467, 0, 0, 87, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12326, 0, 0, 35, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7040, 0, 0, 32, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7190, 0, 0, 37, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14656, 0, 0, 67, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9885, 0, 0, 45, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5433, 0, 0, 21, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9271, 35, 0, 0, 0]",44406,4,9.113250461649328,6.148561005269558,2.946336080709814,11.5294301994302,7.778717948717949,3.7274928774928773,46,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
5,44162,244,0,0,244,0,0.8073770491803278,"{'Industrial de la bahia': [16388, 0, 0, 103, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15454, 0, 0, 100, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12320, 0, 0, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7032, 0, 0, 40, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7181, 0, 0, 46, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14647, 0, 0, 76, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9873, 0, 0, 57, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5429, 0, 0, 25, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9580, 41, 0, 0, 0]",44406,5,8.776764401207044,6.037202179885601,2.9056884204837186,11.204283455512433,7.707000143740117,3.709357481673135,34,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
6,44112,284,0,0,284,10,0.6971830985915493,"{'Industrial de la bahia': [16372, 0, 0, 115, 21, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'De la virgen y turistica': [15433, 0, 0, 118, 15, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'Historica y del caribe norte': [12307, 0, 0, 51, 11, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]}","[7025, 0, 0, 45, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[7175, 0, 0, 51, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[14629, 0, 0, 91, 13, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[9861, 0, 0, 68, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[5422, 0, 0, 29, 7, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0]","[10009, 53, 0, 0, 1]",44406,6,8.669076250957078,5.90003603116696,2.8461694365626267,11.209242058061323,7.628832658765979,3.6801386017529043,47,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
7,44034,352,0,0,352,20,0.6534090909090909,"{'Industrial de la bahia': [16350, 0, 0, 134, 20, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'De la virgen y turistica': [15391, 0, 0, 156, 31, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'Historica y del caribe norte': [12293, 0, 0, 62, 14, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]}","[7011, 0, 0, 57, 11, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[7166, 0, 0, 57, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[14606, 0, 0, 111, 18, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[9846, 0, 0, 82, 17, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[5405, 0, 0, 45, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[0, 0, 0, 0, 0]","[11084, 62, 0, 0, 5]",44406,7,8.099581137684098,5.5142998693870195,2.6948160158537133,10.81551646368967,7.3633438580664565,3.598436325364607,65,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
8,43955,419,0,0,419,32,0.477326968973747,"{'Industrial de la bahia': [16325, 0, 0, 151, 21, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0], 'De la virgen y turistica': [15345, 0, 0, 200, 52, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'Historica y del caribe norte': [12285, 0, 0, 68, 9, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]}","[6996, 0, 0, 67, 14, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[7161, 0, 0, 61, 7, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[14577, 0, 0, 138, 31, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[9825, 0, 0, 101, 17, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[5396, 0, 0, 52, 13, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[0, 0, 0, 0, 0]","[13988, 112, 0, 0, 9]",44406,8,6.806422555510516,4.596586046930595,2.31986668468225,9.976103244545664,6.737168696570618,3.400204640723504,82,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
9,43851,518,0,0,518,37,0.5173745173745173,"{'Industrial de la bahia': [16280, 0, 0, 195, 41, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0], 'De la virgen y turistica': [15295, 0, 0, 248, 40, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0], 'Historica y del caribe norte': [12276, 0, 0, 75, 9, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]}","[6977, 0, 0, 84, 13, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]","[7140, 0, 0, 82, 17, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[14546, 0, 0, 166, 30, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]","[9801, 0, 0, 125, 25, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[5387, 0, 0, 61, 5, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[0, 0, 0, 0, 0]","[12903, 142, 0, 0, 12]",44406,9,7.23107237760663,4.89629779759492,2.4469215871729046,10.242846661775495,6.935627930715493,3.466075472901847,90,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 3, 'Historica y del caribe norte': 1}",0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 1, 'Historica y del caribe norte': 0}",{}
