,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,44374,32,0,0,32,0,0.0,"{'Industrial de la bahia': [16484, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12290, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15600, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6991, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7288, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14567, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10132, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5396, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44406,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
1,44362,44,0,0,44,0,0.2727272727272727,"{'Industrial de la bahia': [16476, 0, 0, 23, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12289, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15597, 0, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6991, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7283, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14565, 0, 0, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10130, 0, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5393, 0, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12043, 15, 0, 0, 0]",44406,1,7.76460388235824,5.234427780029725,2.6009773454037743,10.658927908989737,7.185606528997156,3.5705144058365277,7,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
2,44333,73,0,0,73,0,0.5616438356164384,"{'Industrial de la bahia': [16463, 0, 0, 36, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12285, 0, 0, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15585, 0, 0, 25, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6990, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7278, 0, 0, 14, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14552, 0, 0, 25, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10123, 0, 0, 16, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5390, 0, 0, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9177, 10, 0, 0, 0]",44406,2,9.084222852767644,6.2042741971805615,2.9651848849254607,11.453874329197308,7.822680939265737,3.7386637894318406,21,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
3,44298,108,0,0,108,0,0.7037037037037037,"{'Industrial de la bahia': [16447, 0, 0, 52, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12278, 0, 0, 19, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15573, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6986, 0, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7272, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14540, 0, 0, 37, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10116, 0, 0, 23, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5384, 0, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9605, 10, 0, 0, 0]",44406,3,8.949601405215512,6.025874881772733,2.9239967571949737,11.422954212296284,7.691213244804691,3.7320858842804174,29,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
4,44265,141,0,0,141,0,0.7730496453900709,"{'Industrial de la bahia': [16431, 0, 0, 68, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12273, 0, 0, 24, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15561, 0, 0, 49, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6983, 0, 0, 13, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7266, 0, 0, 26, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14530, 0, 0, 47, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10106, 0, 0, 33, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5380, 0, 0, 22, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9553, 24, 0, 0, 0]",44406,4,8.86713507183714,6.06580191865964,2.9241994325091203,11.305348990783543,7.733727640759137,3.7282724166642742,32,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
5,44240,166,1,0,165,0,0.8072289156626506,"{'Industrial de la bahia': [16421, 0, 0, 78, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12268, 0, 0, 29, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15551, 0, 0, 58, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]}","[6980, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7264, 0, 0, 28, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14521, 0, 0, 56, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10100, 0, 0, 39, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5375, 0, 0, 26, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9516, 35, 0, 0, 0]",44406,5,8.960095482592443,6.08879430707562,2.9333873800837726,11.415349304260507,7.757251470377278,3.7371969588294363,30,0,1,1,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
6,44208,192,1,0,191,6,0.6822916666666666,"{'Industrial de la bahia': [16401, 0, 0, 95, 15, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'Historica y del caribe norte': [12261, 0, 0, 34, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'De la virgen y turistica': [15546, 0, 0, 62, 10, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]}","[6975, 0, 0, 20, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7258, 0, 0, 34, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14509, 0, 0, 65, 12, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[10093, 0, 0, 44, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[5373, 0, 0, 28, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9934, 38, 0, 0, 0]",44406,6,8.744629104175111,5.925978471377742,2.873102733864793,11.277051751176163,7.64212696753209,3.705146076552245,29,0,1,1,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
7,44161,232,1,0,231,13,0.5818965517241379,"{'Industrial de la bahia': [16385, 0, 0, 109, 20, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'Historica y del caribe norte': [12256, 0, 0, 38, 8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'De la virgen y turistica': [15520, 0, 0, 84, 13, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0]}","[6966, 0, 0, 28, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[7252, 0, 0, 38, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[14496, 0, 0, 76, 12, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[10082, 0, 0, 54, 11, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[5365, 0, 0, 35, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[11276, 42, 0, 0, 3]",44406,7,8.063234698013781,5.472120884565149,2.6955816781516013,10.822306181048814,7.344567024331268,3.617953755478313,41,0,1,1,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
8,44102,284,1,0,283,20,0.5492957746478874,"{'Industrial de la bahia': [16365, 0, 0, 126, 17, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 'Historica y del caribe norte': [12247, 0, 0, 46, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'De la virgen y turistica': [15490, 0, 0, 111, 31, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0]}","[6957, 0, 0, 36, 9, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7239, 0, 0, 50, 14, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[14480, 0, 0, 90, 13, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[10065, 0, 0, 70, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[5361, 0, 0, 37, 7, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0]","[13916, 67, 0, 0, 8]",44406,8,6.797797594919605,4.621334954735847,2.3317119308201595,9.92480683873089,6.747164228176886,3.4043070853197435,55,0,1,1,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
9,44032,350,1,0,349,24,0.5857142857142857,"{'Industrial de la bahia': [16345, 0, 0, 143, 19, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0], 'Historica y del caribe norte': [12233, 0, 0, 59, 9, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'De la virgen y turistica': [15454, 0, 0, 147, 28, 0, 1, 0, 1, 0, 0, 0, 8, 0, 0]}","[6947, 0, 0, 45, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[7230, 0, 0, 59, 7, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[14448, 0, 0, 121, 24, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[10055, 0, 0, 78, 13, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[5352, 0, 0, 46, 5, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0]","[0, 0, 1, 0, 0]","[12847, 71, 0, 0, 9]",44406,9,7.31184975003378,4.9704094041345765,2.4721434040444983,10.31482305101976,7.011754241057246,3.4874515534659127,56,1,0,1,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0.0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 5}",0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 3}",{}
