,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,44364,42,0,0,42,0,0.0,"{'De la virgen y turistica': [15454, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12478, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16432, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7061, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7194, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14596, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10017, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44406,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
1,44326,80,0,0,80,0,0.475,"{'De la virgen y turistica': [15436, 0, 0, 29, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12471, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16419, 0, 0, 31, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7054, 0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7188, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14587, 0, 0, 25, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10002, 0, 0, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5495, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12104, 13, 0, 0, 0]",44406,1,7.63167139575733,5.193509886051435,2.5676034770076117,10.495586732323702,7.142463377620862,3.5311406361299515,8,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
2,44281,125,0,0,125,0,0.664,"{'De la virgen y turistica': [15417, 0, 0, 48, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12462, 0, 0, 29, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16402, 0, 0, 48, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7046, 0, 0, 25, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7181, 0, 0, 21, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14570, 0, 0, 42, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9994, 0, 0, 31, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5490, 0, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9071, 16, 0, 0, 0]",44406,2,9.137548979867585,6.219745079493762,2.9749358194838535,11.488490614117048,7.819983578244004,3.740338061666525,53,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
3,44252,154,0,0,154,0,0.7272727272727273,"{'De la virgen y turistica': [15409, 0, 0, 56, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12458, 0, 0, 33, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16385, 0, 0, 65, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7041, 0, 0, 30, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7175, 0, 0, 27, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14561, 0, 0, 51, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9988, 0, 0, 37, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5487, 0, 0, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9348, 21, 0, 0, 0]",44406,3,8.998919064991217,6.110683241003468,2.933409899563122,11.40525729942632,7.744698461626281,3.717812598110569,35,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
4,44210,196,0,0,196,0,0.7857142857142857,"{'De la virgen y turistica': [15392, 0, 0, 73, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12449, 0, 0, 42, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16369, 0, 0, 81, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7034, 0, 0, 37, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7167, 0, 0, 35, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14548, 0, 0, 64, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9978, 0, 0, 47, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5483, 0, 0, 13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9331, 31, 0, 0, 0]",44406,4,9.065959555015088,6.130748097103995,2.9456154573706255,11.487929460107294,7.768576646501541,3.7325362401552336,43,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
5,44163,243,0,0,243,0,0.8271604938271605,"{'De la virgen y turistica': [15376, 0, 0, 89, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12438, 0, 0, 53, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16349, 0, 0, 101, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7027, 0, 0, 44, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7159, 0, 0, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14533, 0, 0, 79, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9971, 0, 0, 54, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5473, 0, 0, 23, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9575, 37, 0, 0, 0]",44406,5,8.902175381705176,6.0454668288069175,2.903909381615097,11.361441627866874,7.715554405932057,3.706127493245962,38,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
6,44114,282,0,0,282,10,0.7092198581560284,"{'De la virgen y turistica': [15359, 0, 0, 101, 16, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'Historica y del caribe norte': [12430, 0, 0, 58, 11, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 'Industrial de la bahia': [16325, 0, 0, 123, 20, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[7021, 0, 0, 50, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7148, 0, 0, 51, 10, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[14522, 0, 0, 86, 13, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[9961, 0, 0, 61, 11, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[5462, 0, 0, 34, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10125, 47, 0, 0, 2]",44406,6,8.613363059046074,5.828311489438364,2.8291447101743006,11.173317363870064,7.56052816078523,3.669987146529563,47,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
7,44035,352,1,0,351,19,0.5767045454545454,"{'De la virgen y turistica': [15319, 0, 0, 139, 24, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0], 'Historica y del caribe norte': [12418, 0, 0, 67, 11, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'Industrial de la bahia': [16298, 0, 0, 145, 21, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]}","[7005, 0, 0, 63, 11, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7136, 0, 0, 63, 12, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[14494, 0, 0, 109, 16, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0]","[9946, 0, 0, 74, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[5454, 0, 0, 42, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10956, 67, 0, 0, 5]",44406,7,8.189568977165248,5.564540827816061,2.718078638021889,10.895380190544671,7.403049913116424,3.6161243933129605,56,0,1,1,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
8,43970,410,1,0,409,26,0.6,"{'De la virgen y turistica': [15291, 0, 0, 167, 43, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0], 'Historica y del caribe norte': [12410, 0, 0, 72, 8, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'Industrial de la bahia': [16269, 0, 0, 170, 33, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]}","[6999, 0, 0, 66, 12, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[7119, 0, 0, 79, 16, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[14475, 0, 0, 126, 28, 0, 1, 0, 0, 0, 0, 0, 10, 0, 0]","[9928, 0, 0, 91, 22, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[5449, 0, 0, 47, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[13957, 106, 0, 0, 6]",44406,8,6.7001756519389275,4.6024411115615,2.3019411791199387,9.807429871114481,6.7368559844414415,3.3694828097702474,84,0,1,1,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
9,43864,506,1,0,505,36,0.5019762845849802,"{'De la virgen y turistica': [15236, 0, 0, 220, 40, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0], 'Historica y del caribe norte': [12402, 0, 0, 77, 10, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0], 'Industrial de la bahia': [16226, 0, 0, 208, 37, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0]}","[6982, 0, 0, 82, 13, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[7104, 0, 0, 92, 16, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[14447, 0, 0, 149, 20, 0, 1, 0, 0, 0, 0, 0, 15, 0, 0]","[9894, 0, 0, 123, 28, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[5437, 0, 0, 59, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12880, 119, 0, 0, 13]",44406,9,7.291672296536504,4.920776471647976,2.457956132054227,10.313881633433141,6.960310887430719,3.476715295916417,87,0,1,1,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 1}",0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 1, 'Industrial de la bahia': 0}",{}
