,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,44353,53,0,0,53,0,0.0,"{'Industrial de la bahia': [16813, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15242, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12298, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7026, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7451, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14504, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10056, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5316, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44406,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
1,44310,96,0,0,96,0,0.4479166666666667,"{'Industrial de la bahia': [16808, 0, 0, 22, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15220, 0, 0, 37, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12282, 0, 0, 37, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7025, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7441, 0, 0, 18, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14493, 0, 0, 28, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10044, 0, 0, 32, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5307, 0, 0, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12103, 17, 0, 0, 0]",44406,1,7.563144620096383,5.12856370760708,2.546007296311309,10.402310599021247,7.053800408845939,3.5017654711020256,17,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
2,44267,139,0,0,139,0,0.6187050359712231,"{'Industrial de la bahia': [16800, 0, 0, 30, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15198, 0, 0, 59, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12269, 0, 0, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7013, 0, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7437, 0, 0, 22, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14481, 0, 0, 40, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10033, 0, 0, 43, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5303, 0, 0, 16, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9182, 15, 0, 0, 0]",44406,2,9.099220826014502,6.112935188938431,2.947687249470792,11.476043057172882,7.709704904995882,3.7176574171376635,41,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
3,44226,180,0,0,180,0,0.7055555555555556,"{'Industrial de la bahia': [16792, 0, 0, 38, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15177, 0, 0, 80, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12257, 0, 0, 62, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7002, 0, 0, 29, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7435, 0, 0, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14466, 0, 0, 55, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10023, 0, 0, 53, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5300, 0, 0, 19, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9589, 36, 0, 0, 0]",44406,3,8.794194478223664,5.9600054046750435,2.883033824257983,11.227825536931084,7.609326931370576,3.68086023978609,43,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
4,44168,238,0,0,238,0,0.7773109243697479,"{'Industrial de la bahia': [16780, 0, 0, 50, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15147, 0, 0, 110, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12241, 0, 0, 78, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6991, 0, 0, 40, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7426, 0, 0, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14450, 0, 0, 71, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10009, 0, 0, 67, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5292, 0, 0, 27, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9425, 30, 0, 0, 0]",44406,4,8.939872990136468,6.023127505292078,2.9174886276629284,11.35830162227118,7.652513518926497,3.7067322823381303,50,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
5,44121,285,0,0,285,0,0.8140350877192982,"{'Industrial de la bahia': [16765, 0, 0, 65, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'De la virgen y turistica': [15127, 0, 0, 130, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12229, 0, 0, 90, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6983, 0, 0, 48, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7419, 0, 0, 40, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14431, 0, 0, 90, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10000, 0, 0, 76, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5288, 0, 0, 31, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9507, 58, 0, 0, 0]",44406,5,8.883596811241723,6.001351168760978,2.8825158762329415,11.322436210212107,7.648919376596538,3.673861255417468,53,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
6,44068,329,0,0,329,9,0.7477203647416414,"{'Industrial de la bahia': [16751, 0, 0, 77, 15, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'De la virgen y turistica': [15104, 0, 0, 151, 22, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'Historica y del caribe norte': [12213, 0, 0, 101, 18, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]}","[6973, 0, 0, 57, 11, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7411, 0, 0, 47, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[14416, 0, 0, 102, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[9987, 0, 0, 85, 9, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[5281, 0, 0, 38, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10077, 74, 0, 0, 1]",44406,6,8.505697428275457,5.7788136738278615,2.798067828671801,11.026566240439072,7.491504641793659,3.6273427920826764,55,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
7,43997,383,0,0,383,26,0.5639686684073107,"{'Industrial de la bahia': [16733, 0, 0, 88, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'De la virgen y turistica': [15061, 0, 0, 190, 32, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'Historica y del caribe norte': [12203, 0, 0, 105, 14, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]}","[6964, 0, 0, 65, 13, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[7395, 0, 0, 62, 13, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[14394, 0, 0, 119, 16, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[9968, 0, 0, 96, 15, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]","[5276, 0, 0, 41, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[11145, 84, 0, 0, 5]",44406,7,8.07023825609152,5.436157276043778,2.670922848263748,10.803297962136742,7.277161461473532,3.5754552031834077,63,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
8,43908,462,0,0,462,36,0.487012987012987,"{'Industrial de la bahia': [16718, 0, 0, 98, 15, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0], 'De la virgen y turistica': [15016, 0, 0, 232, 50, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 'Historica y del caribe norte': [12174, 0, 0, 132, 26, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0]}","[6952, 0, 0, 76, 12, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7380, 0, 0, 73, 18, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[14362, 0, 0, 147, 35, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]","[9948, 0, 0, 115, 21, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0]","[5266, 0, 0, 51, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[13915, 119, 0, 0, 13]",44406,8,6.748885285772193,4.552965815430348,2.3079088411475928,9.871570209822458,6.659606706413255,3.375769952896999,91,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
9,43784,579,0,0,579,43,0.5215889464594128,"{'Industrial de la bahia': [16708, 0, 0, 108, 17, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0], 'De la virgen y turistica': [14923, 0, 0, 322, 71, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0], 'Historica y del caribe norte': [12153, 0, 0, 149, 19, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0]}","[6925, 0, 0, 103, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7359, 0, 0, 94, 18, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[14325, 0, 0, 182, 33, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0]","[9922, 0, 0, 137, 22, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0]","[5253, 0, 0, 63, 14, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0]","[12756, 145, 0, 0, 13]",44406,9,7.260910687744899,4.89812187542224,2.4541953790028375,10.238409754858377,6.906706465134002,3.460593166518481,107,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'Industrial de la bahia': 0, 'De la virgen y turistica': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 5, 'Historica y del caribe norte': 0}",0,"{'Industrial de la bahia': 2, 'De la virgen y turistica': 1, 'Historica y del caribe norte': 0}",{}
