exp,Fecha,Graves,Críticos,Fallecidos,R0,Rt,Cuarentena
0,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-03-07,0.0,0.0,0.0,0.0,0.25,0.0
0,2020-03-08,0.0,0.0,0.0,2.8565715428342902e-05,0.4,0.0
0,2020-03-09,0.0,0.0,0.0,2.8565715428342902e-05,0.4,0.0
0,2020-03-10,0.0,0.0,0.0,2.8565715428342902e-05,0.4,0.0
0,2020-03-11,0.0,0.0,0.0,4.284857314251435e-05,0.5,0.0
0,2020-03-12,0.0,0.0,0.0,5.7131430856685804e-05,0.5714285714285714,0.0
0,2020-03-13,0.0,0.0,0.0,5.7131430856685804e-05,0.6666666666666666,0.0
0,2020-03-14,0.0,0.0,0.0,8.56971462850287e-05,0.7,0.0
0,2020-03-15,0.0,0.0,0.0,9.998000399920016e-05,0.7272727272727273,0.0
0,2020-03-16,0.0,0.0,0.0,0.00012854571942754308,0.7692307692307693,0.0
0,2020-03-17,0.0,0.0,0.0,0.00015711143485588595,0.7857142857142857,0.0
0,2020-03-18,0.0,0.0,0.0,0.00015711143485588595,0.7857142857142857,0.8004684777330249
0,2020-03-19,0.0,0.0,0.0,0.00015711143485588595,0.8125,0.6740794698203216
0,2020-03-20,0.0,0.0,0.0,0.00018567715028422886,0.4615384615384616,0.6504270574456538
0,2020-03-21,0.0,0.0,0.0,0.00018567715028422886,0.4615384615384616,0.6615819693204217
0,2020-03-22,0.0,0.0,0.0,0.00018567715028422886,0.5,0.7058302625189248
0,2020-03-23,0.0,0.0,0.0,0.00025709143885508615,0.6111111111111112,0.6292312965978233
0,2020-03-24,0.0,0.0,0.0,0.00025709143885508615,0.6111111111111112,0.6331305167537921
0,2020-03-25,2.8565715428342902e-05,0.0,0.0,0.00025709143885508615,0.6111111111111112,0.6318736252749451
0,2020-03-26,2.8565715428342902e-05,0.0,0.0,0.00025709143885508615,0.5294117647058824,0.6532264975576313
0,2020-03-27,2.8565715428342902e-05,0.0,0.0,0.0002713742965692576,0.5789473684210527,0.6369726054789042
0,2020-03-28,2.8565715428342902e-05,0.0,0.0,0.00029994001199760045,0.6,0.6570543034250292
0,2020-03-29,2.8565715428342902e-05,0.0,0.0,0.0003142228697117719,0.55,0.6964749907161425
0,2020-03-30,2.8565715428342902e-05,0.0,0.0,0.00032850572742594336,0.5263157894736842,0.6367869283286199
0,2020-03-31,1.4282857714171451e-05,1.4282857714171451e-05,0.0,0.00032850572742594336,0.5263157894736842,0.6226468991915902
0,2020-04-01,1.4282857714171451e-05,1.4282857714171451e-05,0.0,0.0003427885851401148,0.5,0.618376324735053
0,2020-04-02,1.4282857714171451e-05,1.4282857714171451e-05,0.0,0.0003713543005684577,0.42105263157894735,0.6863341617390808
