Localidad,Día,Susceptibles,Leves,Graves,Críticos,Recuperados
Kennedy,0,6868,9,0,0,0
Suba,0,7371,8,0,0,0
Rafael Uribe Uribe,0,1870,3,0,0,0
Engativá,0,4758,4,0,0,0
San Cristóbal,0,2084,1,0,0,0
Puente Aranda,0,1168,0,0,0,0
Bosa,0,4331,4,0,0,0
Ciudad Bolívar,0,4188,2,0,0,0
Chapinero,0,690,0,0,0,0
Los Mártires,0,493,0,0,0,0
Barrios Unidos,0,1488,1,0,0,0
Usaquén,0,2560,3,0,0,0
Fontibón,0,2476,3,0,0,0
Teusaquillo,0,758,0,0,0,0
Usme,0,1828,3,0,0,0
Tunjuelito,0,1024,1,0,0,0
Antonio Nariño,0,573,0,0,0,0
La Candelaria,0,138,0,0,0,0
Santa Fé,0,485,0,0,0,0
Kennedy,1,6863,14,0,0,0
Suba,1,7367,10,2,0,0
Rafael Uribe Uribe,1,1868,5,0,0,0
Engativá,1,4750,12,0,0,0
San Cristóbal,1,2084,1,0,0,0
Puente Aranda,1,1167,1,0,0,0
Bosa,1,4328,6,1,0,0
Ciudad Bolívar,1,4188,2,0,0,0
Chapinero,1,690,0,0,0,0
Los Mártires,1,493,0,0,0,0
Barrios Unidos,1,1483,6,0,0,0
Usaquén,1,2560,2,0,1,0
Fontibón,1,2474,4,1,0,0
Teusaquillo,1,758,0,0,0,0
Usme,1,1828,3,0,0,0
Tunjuelito,1,1022,3,0,0,0
Antonio Nariño,1,572,1,0,0,0
La Candelaria,1,138,0,0,0,0
Santa Fé,1,485,0,0,0,0
Kennedy,2,6860,17,0,0,0
Suba,2,7365,11,3,0,0
Rafael Uribe Uribe,2,1868,4,0,1,0
Engativá,2,4743,18,0,1,0
San Cristóbal,2,2084,1,0,0,0
Puente Aranda,2,1167,1,0,0,0
Bosa,2,4327,6,1,1,0
Ciudad Bolívar,2,4187,3,0,0,0
Chapinero,2,690,0,0,0,0
Los Mártires,2,492,1,0,0,0
Barrios Unidos,2,1479,10,0,0,0
Usaquén,2,2560,2,0,0,0
Fontibón,2,2474,4,1,0,0
Teusaquillo,2,757,1,0,0,0
Usme,2,1828,3,0,0,0
Tunjuelito,2,1022,3,0,0,0
Antonio Nariño,2,571,2,0,0,0
La Candelaria,2,138,0,0,0,0
Santa Fé,2,484,1,0,0,0
Kennedy,3,6844,33,0,0,0
Suba,3,7362,12,3,2,0
Rafael Uribe Uribe,3,1867,4,1,1,0
Engativá,3,4741,20,0,1,0
San Cristóbal,3,2084,1,0,0,0
Puente Aranda,3,1167,1,0,0,0
Bosa,3,4326,7,1,1,0
Ciudad Bolívar,3,4185,5,0,0,0
Chapinero,3,689,1,0,0,0
Los Mártires,3,492,1,0,0,0
Barrios Unidos,3,1475,14,0,0,0
Usaquén,3,2559,3,0,0,0
Fontibón,3,2471,7,1,0,0
Teusaquillo,3,757,1,0,0,0
Usme,3,1828,2,0,1,0
Tunjuelito,3,1021,3,0,1,0
Antonio Nariño,3,567,6,0,0,0
La Candelaria,3,138,0,0,0,0
Santa Fé,3,484,1,0,0,0
Kennedy,4,6840,37,0,0,0
Suba,4,7359,15,3,1,0
Rafael Uribe Uribe,4,1866,5,1,1,0
Engativá,4,4737,24,0,1,0
San Cristóbal,4,2084,1,0,0,0
Puente Aranda,4,1167,1,0,0,0
Bosa,4,4325,8,1,1,0
Ciudad Bolívar,4,4184,6,0,0,0
Chapinero,4,689,1,0,0,0
Los Mártires,4,492,1,0,0,0
Barrios Unidos,4,1473,16,0,0,0
Usaquén,4,2557,5,0,0,0
Fontibón,4,2471,7,1,0,0
Teusaquillo,4,757,1,0,0,0
Usme,4,1828,2,0,1,0
Tunjuelito,4,1021,3,0,1,0
Antonio Nariño,4,566,7,0,0,0
La Candelaria,4,138,0,0,0,0
Santa Fé,4,484,1,0,0,0
Kennedy,5,6830,46,1,0,0
Suba,5,7358,16,3,1,0
Rafael Uribe Uribe,5,1862,9,1,1,0
Engativá,5,4732,29,0,1,0
San Cristóbal,5,2084,1,0,0,0
Puente Aranda,5,1166,2,0,0,0
Bosa,5,4322,11,1,1,0
Ciudad Bolívar,5,4184,6,0,0,0
Chapinero,5,689,1,0,0,0
Los Mártires,5,492,1,0,0,0
Barrios Unidos,5,1473,16,0,0,0
Usaquén,5,2556,5,0,1,0
Fontibón,5,2468,10,1,0,0
Teusaquillo,5,757,1,0,0,0
Usme,5,1828,1,1,1,0
Tunjuelito,5,1021,3,0,1,0
Antonio Nariño,5,565,8,0,0,0
La Candelaria,5,138,0,0,0,0
Santa Fé,5,484,1,0,0,0
Kennedy,6,6825,51,1,0,0
Suba,6,7354,20,3,1,0
Rafael Uribe Uribe,6,1862,9,1,1,0
Engativá,6,4725,36,0,1,0
San Cristóbal,6,2083,2,0,0,0
Puente Aranda,6,1166,2,0,0,0
Bosa,6,4320,13,1,1,0
Ciudad Bolívar,6,4183,7,0,0,0
Chapinero,6,689,1,0,0,0
Los Mártires,6,491,2,0,0,0
Barrios Unidos,6,1469,20,0,0,0
Usaquén,6,2554,7,0,1,0
Fontibón,6,2466,12,1,0,0
Teusaquillo,6,756,2,0,0,0
Usme,6,1827,2,1,1,0
Tunjuelito,6,1020,3,1,1,0
Antonio Nariño,6,563,10,0,0,0
La Candelaria,6,138,0,0,0,0
Santa Fé,6,484,1,0,0,0
Kennedy,7,6811,65,1,0,0
Suba,7,7347,26,4,1,0
Rafael Uribe Uribe,7,1862,9,1,0,0
Engativá,7,4716,41,3,2,0
San Cristóbal,7,2083,2,0,0,0
Puente Aranda,7,1165,3,0,0,0
Bosa,7,4317,16,1,1,0
Ciudad Bolívar,7,4183,6,1,0,0
Chapinero,7,689,1,0,0,0
Los Mártires,7,490,3,0,0,0
Barrios Unidos,7,1467,21,0,1,0
Usaquén,7,2553,8,0,1,0
Fontibón,7,2463,15,1,0,0
Teusaquillo,7,752,6,0,0,0
Usme,7,1827,2,1,1,0
Tunjuelito,7,1016,7,1,1,0
Antonio Nariño,7,561,12,0,0,0
La Candelaria,7,138,0,0,0,0
Santa Fé,7,484,1,0,0,0
Kennedy,8,6801,75,1,0,0
Suba,8,7342,31,4,1,0
Rafael Uribe Uribe,8,1862,9,1,0,0
Engativá,8,4704,52,3,3,0
San Cristóbal,8,2083,2,0,0,0
Puente Aranda,8,1162,6,0,0,0
Bosa,8,4317,16,1,1,0
Ciudad Bolívar,8,4179,10,1,0,0
Chapinero,8,689,1,0,0,0
Los Mártires,8,489,4,0,0,0
Barrios Unidos,8,1461,26,1,1,0
Usaquén,8,2552,9,0,1,0
Fontibón,8,2459,19,1,0,0
Teusaquillo,8,751,7,0,0,0
Usme,8,1827,2,1,1,0
Tunjuelito,8,1013,9,1,2,0
Antonio Nariño,8,561,11,0,1,0
La Candelaria,8,137,1,0,0,0
Santa Fé,8,484,1,0,0,0
Kennedy,9,6770,103,4,0,0
Suba,9,7337,36,4,1,0
Rafael Uribe Uribe,9,1861,10,1,0,0
Engativá,9,4685,71,3,3,0
San Cristóbal,9,2080,5,0,0,0
Puente Aranda,9,1156,12,0,0,0
Bosa,9,4311,21,2,1,0
Ciudad Bolívar,9,4177,12,1,0,0
Chapinero,9,688,1,0,1,0
Los Mártires,9,487,6,0,0,0
Barrios Unidos,9,1452,35,1,1,0
Usaquén,9,2550,11,0,1,0
Fontibón,9,2451,27,1,0,0
Teusaquillo,9,747,11,0,0,0
Usme,9,1827,1,2,1,0
Tunjuelito,9,1010,12,1,2,0
Antonio Nariño,9,558,13,0,2,0
La Candelaria,9,137,1,0,0,0
Santa Fé,9,484,1,0,0,0
Kennedy,10,6741,122,4,1,9
Suba,10,7329,40,1,1,6
Rafael Uribe Uribe,10,1859,10,1,0,2
Engativá,10,4659,91,5,3,3
San Cristóbal,10,2078,6,0,0,1
Puente Aranda,10,1153,15,0,0,0
Bosa,10,4299,30,2,0,4
Ciudad Bolívar,10,4174,14,0,0,2
Chapinero,10,685,4,0,1,0
Los Mártires,10,487,6,0,0,0
Barrios Unidos,10,1440,46,1,1,1
Usaquén,10,2547,13,0,0,2
Fontibón,10,2448,27,0,1,3
Teusaquillo,10,743,15,0,0,0
Usme,10,1827,1,0,0,3
Tunjuelito,10,1006,16,1,1,1
Antonio Nariño,10,557,14,0,2,0
La Candelaria,10,135,3,0,0,0
Santa Fé,10,481,4,0,0,0
Kennedy,11,6711,150,5,2,9
Suba,11,7317,49,3,2,6
Rafael Uribe Uribe,11,1856,12,2,0,2
Engativá,11,4640,107,8,3,3
San Cristóbal,11,2078,6,0,0,1
Puente Aranda,11,1147,21,0,0,0
Bosa,11,4290,38,3,0,4
Ciudad Bolívar,11,4171,17,0,0,2
Chapinero,11,684,5,0,1,0
Los Mártires,11,480,13,0,0,0
Barrios Unidos,11,1428,57,1,2,1
Usaquén,11,2542,17,1,0,2
Fontibón,11,2442,32,0,2,3
Teusaquillo,11,741,17,0,0,0
