,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-4,5-19,20-39,40-59,>60,En_cuarentena,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos
0,45146,47,0,0,47,0,0.0,"{4: [2437, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 7: [4402, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3722, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 15: [513, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4895, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7051, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [3306, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 9: [2172, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 5: [2182, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6148, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2133, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1487, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [838, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [818, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2564, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9327, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16133, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11193, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5929, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,45097,96,0,0,96,0,0.5104166666666666,"{4: [2435, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 7: [4396, 0, 0, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3719, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 15: [512, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4891, 0, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7042, 0, 0, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [3305, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 9: [2169, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 5: [2182, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6134, 0, 0, 21, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2130, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1485, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [837, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [818, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2561, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9321, 0, 0, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16113, 0, 0, 36, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11183, 0, 0, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5919, 0, 0, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,1,6.97012811718629,17.773792401478104,7.2681609983847055,19,0,0,0,0,0,0
2,45037,156,0,0,156,0,0.6987179487179487,"{4: [2435, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 7: [4387, 0, 0, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3715, 0, 0, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 15: [512, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4883, 0, 0, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7037, 0, 0, 24, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [3302, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 9: [2163, 0, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 5: [2182, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6126, 0, 0, 29, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2121, 0, 0, 15, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1481, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [867, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [837, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [815, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2558, 0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9310, 0, 0, 30, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16088, 0, 0, 61, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11170, 0, 0, 32, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5911, 0, 0, 25, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,2,6.976921204611334,17.76221981280287,7.281127608257916,59,0,0,0,0,0,0
3,44995,198,0,0,198,0,0.7626262626262627,"{4: [2434, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 7: [4387, 0, 0, 19, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3712, 0, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 15: [511, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4874, 0, 0, 26, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7031, 0, 0, 30, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [3301, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 9: [2160, 0, 0, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 5: [2182, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6114, 0, 0, 41, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2117, 0, 0, 19, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1481, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [866, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [836, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [815, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2555, 0, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9300, 0, 0, 40, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16069, 0, 0, 80, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11163, 0, 0, 39, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5908, 0, 0, 28, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,3,6.968888987232536,17.786847520633728,7.267275905560596,55,0,0,0,0,0,0
4,44947,246,0,0,246,0,0.8089430894308943,"{4: [2433, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 7: [4386, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3706, 0, 0, 19, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 15: [510, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4869, 0, 0, 31, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7024, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [3299, 0, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 9: [2156, 0, 0, 18, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 5: [2182, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6105, 0, 0, 50, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2113, 0, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1480, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [865, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [835, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [810, 0, 0, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2552, 0, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9292, 0, 0, 48, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16052, 0, 0, 97, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11153, 0, 0, 49, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5898, 0, 0, 38, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,4,6.976699931405306,17.815148363684642,7.270307348483172,43,0,0,0,0,0,0
5,44907,286,2,0,284,0,0.8356643356643356,"{4: [2433, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 7: [4381, 0, 0, 25, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3705, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 15: [509, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4864, 0, 0, 36, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7019, 0, 0, 42, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [3296, 0, 0, 13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 9: [2152, 0, 0, 21, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], 5: [2182, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6095, 0, 0, 59, 13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1035, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2111, 0, 0, 25, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1478, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [865, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [835, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [809, 0, 0, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2551, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9282, 0, 0, 58, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16036, 0, 0, 113, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11145, 0, 0, 56, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[5893, 0, 0, 42, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,5,6.959130838846724,17.763591706680238,7.261301528997854,46,0,2,2,0,0,0
6,44839,348,2,0,346,6,0.8132183908045977,"{4: [2431, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 7: [4376, 0, 0, 30, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 19: [3704, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 15: [509, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4857, 0, 0, 43, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 11: [7010, 0, 0, 50, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 1: [3295, 0, 0, 12, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 9: [2149, 0, 0, 23, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], 5: [2181, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 8: [6071, 0, 0, 83, 9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], 6: [1035, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2110, 0, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 16: [1472, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [864, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [831, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [806, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2549, 0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9269, 0, 0, 69, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[16013, 0, 0, 134, 14, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[11122, 0, 0, 77, 13, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]","[5886, 0, 0, 49, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",45193,6,6.981590069258513,17.78815303254929,7.282300356249862,40,0,2,2,0,0,0
7,44723,452,3,0,449,18,0.754424778761062,"{4: [2429, 0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 7: [4357, 0, 0, 47, 13, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 19: [3700, 0, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 15: [504, 0, 0, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4846, 0, 0, 52, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 11: [6997, 0, 0, 60, 8, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 1: [3292, 0, 0, 15, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 9: [2144, 0, 0, 28, 4, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], 5: [2177, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 8: [6050, 0, 0, 102, 29, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0], 6: [1033, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2095, 0, 0, 40, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 16: [1466, 0, 0, 21, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 2: [863, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [828, 0, 0, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 3: [595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [804, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2542, 0, 0, 23, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[9240, 0, 0, 94, 18, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[15976, 0, 0, 167, 35, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0]","[11091, 0, 0, 106, 29, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0]","[5874, 0, 0, 59, 13, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]",45193,7,6.975416546810346,17.746443033213108,7.251078706879384,99,0,3,3,0,0,0
8,44561,602,3,0,599,30,0.686046511627907,"{4: [2428, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 7: [4339, 0, 0, 63, 20, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 19: [3695, 0, 0, 27, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 15: [502, 0, 0, 12, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 10: [4819, 0, 0, 77, 21, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 11: [6983, 0, 0, 70, 18, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 1: [3290, 0, 0, 17, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 9: [2128, 0, 0, 44, 10, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], 5: [2177, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 8: [6023, 0, 0, 129, 24, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0], 6: [1032, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2076, 0, 0, 59, 15, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 16: [1455, 0, 0, 32, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 2: [863, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [815, 0, 0, 23, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 3: [591, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [802, 0, 0, 16, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 14: [415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2539, 0, 0, 26, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[9208, 0, 0, 124, 38, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[15922, 0, 0, 217, 46, 0, 1, 0, 0, 0, 0, 0, 9, 0, 0]","[11049, 0, 0, 146, 35, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0]","[5843, 0, 0, 86, 18, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0]","[0, 0, 0, 0, 0]",45193,8,6.989002721660434,17.80948376961034,7.263624897661142,143,0,3,3,0,0,0
9,44374,783,3,0,780,36,0.7203065134099617,"{4: [2427, 0, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 7: [4317, 0, 0, 85, 20, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 19: [3687, 0, 0, 35, 7, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 15: [495, 0, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 10: [4797, 0, 0, 98, 28, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 11: [6961, 0, 0, 92, 16, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 1: [3288, 0, 0, 18, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 9: [2116, 0, 0, 56, 14, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0], 5: [2176, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 8: [5986, 0, 0, 166, 32, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0], 6: [1024, 0, 0, 12, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 18: [2054, 0, 0, 80, 24, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 16: [1444, 0, 0, 43, 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 2: [860, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 12: [809, 0, 0, 29, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 3: [591, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 13: [800, 0, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 14: [414, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 17: [128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[2534, 0, 0, 30, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9176, 0, 0, 154, 30, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[15849, 0, 0, 288, 66, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0]","[10997, 0, 0, 197, 47, 0, 1, 0, 1, 0, 0, 0, 7, 0, 0]","[5818, 0, 0, 111, 31, 0, 1, 0, 1, 0, 0, 0, 6, 0, 0]","[0, 0, 2, 0, 0]",45193,9,6.97970924700728,17.81023609851083,7.276038324519284,180,2,1,3,0,0,0
