,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona
0,22184,19,0,0,19,0,0.0,"{'De la virgen y turistica': [7710, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [8273, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [6201, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3584, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3609, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7324, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4926, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2741, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",22203,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
1,22163,40,0,0,40,0,0.525,"{'De la virgen y turistica': [7701, 0, 0, 18, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [8263, 0, 0, 17, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [6199, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3582, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3607, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7318, 0, 0, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4918, 0, 0, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2738, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[6088, 7, 0, 0, 0]",22203,1,9.047921452056029,5.33045083997658,2.58510111246228,12.471504842314378,7.347405016141048,3.5632604916811523,15,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
2,22151,52,0,0,52,0,0.6346153846153846,"{'De la virgen y turistica': [7691, 0, 0, 28, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [8262, 0, 0, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [6198, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3579, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3607, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7311, 0, 0, 21, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4917, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2737, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[4645, 9, 0, 0, 0]",22203,2,10.80804395802369,6.289870738188533,3.0033779219024455,13.67434041825745,7.957946321727734,3.7998746367314378,12,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
3,22134,69,0,0,69,0,0.7246376811594203,"{'De la virgen y turistica': [7680, 0, 0, 39, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [8256, 0, 0, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [6198, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3577, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3602, 0, 0, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7306, 0, 0, 26, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4914, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2735, 0, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[4789, 9, 0, 0, 0]",22203,3,10.738819078502905,6.204431833536009,2.933342341125073,13.699166906061476,7.914794599253089,3.741970698075266,14,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
4,22117,86,0,0,86,0,0.7790697674418605,"{'De la virgen y turistica': [7673, 0, 0, 46, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [8250, 0, 0, 30, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [6194, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3575, 0, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3601, 0, 0, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7300, 0, 0, 32, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4911, 0, 0, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2730, 0, 0, 16, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[4663, 15, 0, 0, 0]",22203,4,10.843985047065711,6.302166373913435,2.9537449894158447,13.738601997146933,7.9844222539229674,3.7421968616262484,20,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
5,22099,104,0,0,104,0,0.8173076923076923,"{'De la virgen y turistica': [7661, 0, 0, 58, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [8244, 0, 0, 36, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [6194, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3571, 0, 0, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3596, 0, 0, 15, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7294, 0, 0, 38, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4908, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2730, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[4864, 16, 0, 0, 0]",22203,5,10.624104850695852,6.1408368238526325,2.9303247308922216,13.616983201523986,7.870749870114876,3.755815967211222,15,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
6,22076,119,0,0,119,8,0.5210084033613446,"{'De la virgen y turistica': [7655, 0, 0, 58, 9, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'Industrial de la bahia': [8231, 0, 0, 47, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'Historica y del caribe norte': [6190, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3562, 0, 0, 23, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[3594, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7287, 0, 0, 41, 8, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[4904, 0, 0, 24, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2729, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[5108, 25, 0, 0, 2]",22203,6,10.335540242309598,5.995406026212674,2.8579020853037878,13.445043355987814,7.799156315912819,3.7177173658307945,18,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
7,22043,150,0,0,150,10,0.5666666666666667,"{'De la virgen y turistica': [7643, 0, 0, 70, 9, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'Industrial de la bahia': [8214, 0, 0, 62, 11, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'Historica y del caribe norte': [6186, 0, 0, 18, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3556, 0, 0, 29, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[3588, 0, 0, 22, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7280, 0, 0, 47, 6, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[4894, 0, 0, 33, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2725, 0, 0, 19, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[5535, 29, 0, 0, 1]",22203,7,9.797684997522857,5.672206458586677,2.737693104535423,13.074768601995432,7.569419401370357,3.6533838201706934,26,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
8,22015,177,0,0,177,11,0.6101694915254238,"{'De la virgen y turistica': [7629, 0, 0, 83, 12, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'Industrial de la bahia': [8208, 0, 0, 68, 15, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'Historica y del caribe norte': [6178, 0, 0, 26, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3553, 0, 0, 32, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[3586, 0, 0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7267, 0, 0, 60, 9, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[4888, 0, 0, 39, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2721, 0, 0, 22, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0]","[6943, 53, 0, 0, 2]",22203,8,8.172859523487817,4.764491284961491,2.334909696887808,11.934363696152582,6.95731667214732,3.4095363367313385,31,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
9,21950,240,0,0,240,13,0.6416666666666667,"{'De la virgen y turistica': [7599, 0, 0, 113, 22, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'Industrial de la bahia': [8179, 0, 0, 96, 20, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'Historica y del caribe norte': [6172, 0, 0, 31, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]}","[3540, 0, 0, 45, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[3577, 0, 0, 32, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[7244, 0, 0, 83, 18, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[4872, 0, 0, 54, 11, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[2717, 0, 0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0]","[6474, 59, 0, 0, 3]",22203,9,8.703463495923975,5.041570958879431,2.4604783137413864,12.334397140486372,7.14482670581477,3.486947086232208,49,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 0}",0.0,0,"{'De la virgen y turistica': 1, 'Industrial de la bahia': 0, 'Historica y del caribe norte': 2}"
