,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,74169,82,0,0,82,0,0.0,"{'SUR_ORIENTE': [16513, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [22114, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18712, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7841, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [8989, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10660, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11955, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23699, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17322, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10533, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",74251,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
1,74077,174,0,0,174,0,0.5287356321839081,"{'SUR_ORIENTE': [16489, 0, 0, 44, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [22088, 0, 0, 47, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18679, 0, 0, 60, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7835, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [8986, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10652, 0, 0, 13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11944, 0, 0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23661, 0, 0, 60, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17295, 0, 0, 50, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10525, 0, 0, 27, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[18633, 20, 0, 0, 0]",74251,1,9.99222906088807,5.963987017009872,2.9190044578524197,13.3445987265729,7.964890823410914,3.8983236807079393,35,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
2,73988,263,0,0,263,0,0.688212927756654,"{'SUR_ORIENTE': [16468, 0, 0, 65, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [22061, 0, 0, 74, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18648, 0, 0, 91, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7830, 0, 0, 20, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [8981, 0, 0, 13, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10641, 0, 0, 24, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11930, 0, 0, 38, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23629, 0, 0, 92, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17275, 0, 0, 70, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10513, 0, 0, 39, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[23212, 50, 0, 0, 0]",74251,2,8.424586874250851,5.021117560706253,2.512693431738293,12.268018592245387,7.311831963756889,3.659024495479417,102,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
3,73893,358,0,0,358,0,0.770949720670391,"{'SUR_ORIENTE': [16449, 0, 0, 84, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [22018, 0, 0, 117, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18625, 0, 0, 114, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7822, 0, 0, 28, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [8979, 0, 0, 15, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10629, 0, 0, 36, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11917, 0, 0, 51, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23596, 0, 0, 125, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17254, 0, 0, 91, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10497, 0, 0, 55, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[20880, 69, 0, 0, 0]",74251,3,9.264858385745647,5.468869106139985,2.7195189290379926,12.90617612847548,7.618269483321451,3.7883569096844396,91,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
4,73794,457,0,0,457,0,0.8205689277899344,"{'SUR_ORIENTE': [16419, 0, 0, 114, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21983, 0, 0, 152, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18597, 0, 0, 142, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7820, 0, 0, 30, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [8975, 0, 0, 19, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10612, 0, 0, 53, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11901, 0, 0, 67, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23560, 0, 0, 161, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17239, 0, 0, 106, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10482, 0, 0, 70, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[24043, 107, 0, 0, 0]",74251,4,8.165789012942586,4.859719061022747,2.4441960377638012,12.10191413345043,7.202231492385382,3.6223628270892796,107,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
5,73723,528,0,0,528,0,0.8446969696969697,"{'SUR_ORIENTE': [16408, 0, 0, 125, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'SUR_OCCIDENTE': [21956, 0, 0, 179, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'METROPOLITANA': [18567, 0, 0, 172, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'CENTRO_HISTORICO': [7818, 0, 0, 32, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'RIO_MAR': [8974, 0, 0, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[10601, 0, 0, 64, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11890, 0, 0, 78, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23534, 0, 0, 187, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17221, 0, 0, 124, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10477, 0, 0, 75, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[26891, 163, 0, 0, 0]",74251,5,7.271228670320938,4.304373005077372,2.2213034167889996,11.439201644172298,6.771701591202831,3.494586520329682,71,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
6,73606,628,0,0,628,17,0.7436305732484076,"{'SUR_ORIENTE': [16381, 0, 0, 148, 23, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'SUR_OCCIDENTE': [21915, 0, 0, 216, 38, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'METROPOLITANA': [18528, 0, 0, 207, 38, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'CENTRO_HISTORICO': [7811, 0, 0, 35, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'RIO_MAR': [8971, 0, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]}","[10585, 0, 0, 80, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11867, 0, 0, 98, 21, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[23502, 0, 0, 218, 32, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[17193, 0, 0, 143, 22, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[10459, 0, 0, 89, 13, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[0, 0, 0, 0, 0]","[28818, 190, 0, 0, 5]",74251,6,6.645149560275282,3.95796689606874,2.058827490538848,10.906958751492109,6.496374729209956,3.379238693134091,102,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
7,73461,758,0,0,758,32,0.6451187335092349,"{'SUR_ORIENTE': [16333, 0, 0, 193, 34, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'SUR_OCCIDENTE': [21865, 0, 0, 260, 47, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0], 'METROPOLITANA': [18487, 0, 0, 245, 43, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'CENTRO_HISTORICO': [7807, 0, 0, 37, 10, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'RIO_MAR': [8969, 0, 0, 23, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[10557, 0, 0, 106, 24, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[11842, 0, 0, 120, 22, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[23458, 0, 0, 256, 41, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[17167, 0, 0, 166, 28, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]","[10437, 0, 0, 110, 23, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[0, 0, 0, 0, 0]","[30420, 250, 0, 0, 13]",74251,7,6.221074463643587,3.683613688704529,1.931691155674671,10.602299853103196,6.277818582445832,3.292095115681234,138,0,0,0,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
8,73334,872,2,0,870,45,0.6135321100917431,"{'SUR_ORIENTE': [16307, 0, 0, 216, 40, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0], 'SUR_OCCIDENTE': [21812, 0, 0, 309, 51, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0], 'METROPOLITANA': [18446, 0, 0, 278, 40, 0, 2, 0, 0, 0, 0, 0, 13, 0, 0], 'CENTRO_HISTORICO': [7800, 0, 0, 44, 4, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'RIO_MAR': [8969, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[10533, 0, 0, 130, 27, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[11820, 0, 0, 140, 21, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[23414, 0, 0, 297, 45, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[17144, 0, 0, 185, 24, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0]","[10423, 0, 0, 118, 18, 0, 2, 0, 0, 0, 0, 0, 9, 0, 0]","[0, 0, 0, 0, 0]","[34254, 353, 2, 0, 28]",74251,8,5.147095662011286,3.053049790575211,1.6524760609284723,9.647523602766698,5.722522340586662,3.097339324481244,135,0,2,2,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
9,73233,953,2,0,951,65,0.47848898216159497,"{'SUR_ORIENTE': [16265, 0, 0, 254, 26, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0], 'SUR_OCCIDENTE': [21791, 0, 0, 328, 36, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0], 'METROPOLITANA': [18410, 0, 0, 304, 30, 0, 2, 0, 0, 0, 0, 0, 23, 0, 0], 'CENTRO_HISTORICO': [7800, 0, 0, 42, 3, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 'RIO_MAR': [8967, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]}","[10510, 0, 0, 151, 21, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[11802, 0, 0, 156, 17, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[23387, 0, 0, 317, 33, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0]","[17126, 0, 0, 199, 15, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0]","[10408, 0, 0, 128, 9, 0, 2, 0, 0, 0, 0, 0, 14, 0, 0]","[0, 0, 0, 0, 0]","[42995, 519, 1, 0, 34]",74251,9,3.1061399846466715,1.8471535736892433,1.1111230825174072,7.5120187609927696,4.467233404989903,2.6871865025079797,95,0,2,2,0,0,0,"{'SUR_ORIENTE': 0.0, 'RIO_MAR': 0.0, 'METROPOLITANA': 0.0, 'SUR_OCCIDENTE': 0.0, 'CENTRO_HISTORICO': 0.0}",0.0,"{'SUR_ORIENTE': 0, 'RIO_MAR': 0, 'METROPOLITANA': 0, 'SUR_OCCIDENTE': 0, 'CENTRO_HISTORICO': 0}",0.0,0,"{'SUR_ORIENTE': 4, 'RIO_MAR': 1, 'METROPOLITANA': 8, 'SUR_OCCIDENTE': 5, 'CENTRO_HISTORICO': 2}",0,"{'SUR_ORIENTE': 1, 'RIO_MAR': 0, 'METROPOLITANA': 3, 'SUR_OCCIDENTE': 2, 'CENTRO_HISTORICO': 1}",{}
