,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,44369,37,0,0,37,0,0.0,"{'De la virgen y turistica': [15392, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12630, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16347, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7004, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7455, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14512, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10033, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5365, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44406,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
1,44341,65,0,0,65,0,0.4307692307692308,"{'De la virgen y turistica': [15376, 0, 0, 34, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12623, 0, 0, 18, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16342, 0, 0, 13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6995, 0, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7452, 0, 0, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14504, 0, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10028, 0, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5362, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12203, 11, 0, 0, 0]",44406,1,7.57021573661217,5.158244381389903,2.5495878935279017,10.44243911530815,7.11533921471173,3.516929671968191,16,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
2,44312,94,0,0,94,0,0.6063829787234043,"{'De la virgen y turistica': [15359, 0, 0, 51, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12618, 0, 0, 23, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16335, 0, 0, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6993, 0, 0, 16, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7446, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14491, 0, 0, 36, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10023, 0, 0, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5359, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9040, 16, 0, 0, 0]",44406,2,9.150475161014278,6.202630275188038,2.9693284691257937,11.494653465346534,7.791626591230552,3.73001414427157,26,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
3,44283,123,0,0,123,0,0.6991869918699187,"{'De la virgen y turistica': [15340, 0, 0, 70, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12613, 0, 0, 28, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16330, 0, 0, 25, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6988, 0, 0, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7441, 0, 0, 20, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14480, 0, 0, 47, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10018, 0, 0, 24, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5356, 0, 0, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9448, 22, 0, 0, 0]",44406,3,8.93732828896996,6.086137008512363,2.91426834211593,11.35994389741241,7.735888481795283,3.7042305930844974,28,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
4,44256,150,0,0,150,0,0.7533333333333333,"{'De la virgen y turistica': [15323, 0, 0, 87, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12607, 0, 0, 34, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16326, 0, 0, 29, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6983, 0, 0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7437, 0, 0, 24, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14469, 0, 0, 58, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10015, 0, 0, 27, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5352, 0, 0, 15, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9353, 25, 0, 0, 0]",44406,4,9.020988154753862,6.109917578705581,2.926383822006035,11.43616535343154,7.7457177115450495,3.709860682882266,30,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
5,44226,180,0,0,180,0,0.7944444444444444,"{'De la virgen y turistica': [15299, 0, 0, 111, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12606, 0, 0, 35, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16321, 0, 0, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[6978, 0, 0, 31, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7433, 0, 0, 28, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14458, 0, 0, 69, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10009, 0, 0, 33, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5348, 0, 0, 19, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9683, 25, 0, 0, 0]",44406,5,8.811264243570688,5.995338467774625,2.8799711750664323,11.27652890656522,7.67274770880166,3.685745576113897,31,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
6,44182,217,0,0,217,7,0.6682027649769585,"{'De la virgen y turistica': [15266, 0, 0, 140, 27, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'Historica y del caribe norte': [12601, 0, 0, 39, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 'Industrial de la bahia': [16315, 0, 0, 38, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[6968, 0, 0, 40, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7425, 0, 0, 36, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14445, 0, 0, 79, 12, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[10001, 0, 0, 38, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[5343, 0, 0, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10103, 44, 0, 0, 2]",44406,6,8.525311894788992,5.844615592487502,2.821420528757375,11.051026067665003,7.576145021455469,3.6572963190004963,33,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
7,44123,269,0,0,269,14,0.6468401486988847,"{'De la virgen y turistica': [15227, 0, 0, 175, 40, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 'Historica y del caribe norte': [12587, 0, 0, 52, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'Industrial de la bahia': [16309, 0, 0, 42, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]}","[6959, 0, 0, 49, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7412, 0, 0, 47, 11, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[14428, 0, 0, 94, 18, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[9987, 0, 0, 49, 11, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[5337, 0, 0, 30, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[11229, 52, 0, 0, 5]",44406,7,7.949871638967707,5.469688780795388,2.6575462775300633,10.658876811594203,7.333544685990338,3.5631340579710145,56,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
8,44067,319,0,0,319,20,0.6426332288401254,"{'De la virgen y turistica': [15192, 0, 0, 207, 37, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0], 'Historica y del caribe norte': [12575, 0, 0, 61, 13, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0], 'Industrial de la bahia': [16300, 0, 0, 51, 10, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]}","[6952, 0, 0, 54, 8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7405, 0, 0, 54, 11, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[14402, 0, 0, 118, 19, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[9977, 0, 0, 58, 16, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[5331, 0, 0, 35, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[13962, 90, 0, 0, 4]",44406,8,6.765910012160519,4.605256046480205,2.310228347520605,9.899406919275124,6.738088962108732,3.380164744645799,60,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
9,43999,378,0,0,378,29,0.5476190476190477,"{'De la virgen y turistica': [15149, 0, 0, 245, 35, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0], 'Historica y del caribe norte': [12566, 0, 0, 68, 12, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0], 'Industrial de la bahia': [16284, 0, 0, 65, 9, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]}","[6946, 0, 0, 60, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7398, 0, 0, 57, 7, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[14375, 0, 0, 141, 27, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]","[9956, 0, 0, 79, 13, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[5324, 0, 0, 41, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[12959, 95, 0, 0, 10]",44406,9,7.227649416745485,4.908007926856731,2.443971535378102,10.240284602131325,6.953768106693893,3.4626698998149448,56,0,0,0,0,0,0,"{'Industrial de la bahia': 0.0, 'Historica y del caribe norte': 0.0, 'De la virgen y turistica': 0.0}",0.0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 0}",0.0,0,"{'Industrial de la bahia': 2, 'Historica y del caribe norte': 1, 'De la virgen y turistica': 3}",0,"{'Industrial de la bahia': 0, 'Historica y del caribe norte': 0, 'De la virgen y turistica': 1}",{}
