,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-9,10-19,20-39,40-59,>60,En_cuarentena,Restringido_movilidad,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Contactos_prom_trabajo_conm,Contactos_prom_transporte_conm,Contactos_prom_casa_conm,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos,porcentaje_edad_activa_por_zona,porcentaje_edad_activa,tasa_letalidad_por_zona,tasa_letalidad,total_muertos,total_muertos_por_zona,total_muertos_edad_activa,total_muertos_edad_activa_por_zona,zonas intervenidas
0,44362,44,0,0,44,0,0.0,"{'De la virgen y turistica': [15536, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12206, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16620, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7041, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7288, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14549, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10038, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5446, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44406,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
1,44330,76,0,0,76,0,0.42105263157894735,"{'De la virgen y turistica': [15526, 0, 0, 18, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12195, 0, 0, 33, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16609, 0, 0, 25, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7032, 0, 0, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7282, 0, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14543, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10034, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5439, 0, 0, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12320, 11, 0, 0, 0]",44406,1,7.61057064360672,5.163491420078368,2.5522001531324596,10.536399064692128,7.148558067030398,3.533374902572097,20,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
2,44300,106,0,0,106,0,0.5849056603773585,"{'De la virgen y turistica': [15517, 0, 0, 27, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12182, 0, 0, 46, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16601, 0, 0, 33, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7027, 0, 0, 19, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7279, 0, 0, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14530, 0, 0, 33, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10030, 0, 0, 18, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5434, 0, 0, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9117, 23, 0, 0, 0]",44406,2,9.072895554654776,6.211075079944152,2.9821645723550874,11.424346395962116,7.820818919072194,3.7550615323541088,27,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
3,44260,146,0,0,146,0,0.6986301369863014,"{'De la virgen y turistica': [15508, 0, 0, 36, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12167, 0, 0, 61, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16585, 0, 0, 49, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7021, 0, 0, 25, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7277, 0, 0, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14517, 0, 0, 46, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10017, 0, 0, 31, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5428, 0, 0, 25, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9295, 25, 0, 0, 0]",44406,3,8.97383236499572,6.142953654911499,2.9618520019817143,11.357578521347547,7.774724961523114,3.748617682266431,37,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
4,44227,179,0,0,179,0,0.7541899441340782,"{'De la virgen y turistica': [15493, 0, 0, 51, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12155, 0, 0, 73, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16579, 0, 0, 55, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7011, 0, 0, 35, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7273, 0, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14512, 0, 0, 51, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10008, 0, 0, 40, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5423, 0, 0, 30, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9363, 32, 0, 0, 0]",44406,4,8.945142548304283,6.11054812412737,2.9419447822366345,11.345519979435034,7.750278483905058,3.7313987032646883,27,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
5,44191,215,0,0,215,0,0.7953488372093023,"{'De la virgen y turistica': [15479, 0, 0, 65, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Historica y del caribe norte': [12145, 0, 0, 83, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'Industrial de la bahia': [16567, 0, 0, 67, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[7009, 0, 0, 37, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7265, 0, 0, 31, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14500, 0, 0, 63, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9997, 0, 0, 51, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5420, 0, 0, 33, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9643, 38, 0, 0, 0]",44406,5,8.889114083682385,6.014457505742468,2.9042021348466425,11.367314614830814,7.691231101511879,3.713866090712743,39,0,0,0,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
6,44135,264,1,0,263,7,0.7348484848484849,"{'De la virgen y turistica': [15461, 0, 0, 82, 18, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 'Historica y del caribe norte': [12132, 0, 0, 92, 15, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'Industrial de la bahia': [16542, 0, 0, 89, 15, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]}","[7001, 0, 0, 45, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7256, 0, 0, 39, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[14473, 0, 0, 86, 24, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[9992, 0, 0, 53, 7, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]","[5413, 0, 0, 40, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10006, 45, 0, 0, 0]",44406,6,8.664752510921948,5.895532135297032,2.857564293113543,11.199738029398922,7.620346383350313,3.6935817202736136,48,0,1,1,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
7,44075,314,2,0,312,17,0.60828025477707,"{'De la virgen y turistica': [15442, 0, 0, 100, 24, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 'Historica y del caribe norte': [12111, 0, 0, 107, 11, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0], 'Industrial de la bahia': [16522, 0, 0, 105, 26, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0]}","[6990, 0, 0, 55, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7247, 0, 0, 45, 10, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[14452, 0, 0, 103, 28, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[9984, 0, 0, 59, 7, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0]","[5402, 0, 0, 50, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[11009, 64, 1, 0, 4]",44406,7,8.22728910507589,5.596068098905553,2.718326352294735,10.961983917426789,7.456162986077772,3.621879500720115,61,0,2,2,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
8,44005,378,2,0,376,23,0.6084656084656085,"{'De la virgen y turistica': [15412, 0, 0, 128, 23, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 'Historica y del caribe norte': [12090, 0, 0, 126, 23, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0], 'Industrial de la bahia': [16503, 0, 0, 122, 16, 0, 2, 0, 0, 0, 0, 0, 7, 0, 0]}","[6975, 0, 0, 70, 14, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[7234, 0, 0, 58, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[14433, 0, 0, 120, 13, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[9965, 0, 0, 75, 13, 0, 2, 0, 0, 0, 0, 0, 6, 0, 0]","[5398, 0, 0, 53, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]","[13806, 93, 1, 0, 7]",44406,8,6.880061252983831,4.662027653920641,2.345899202810431,10.017246467097282,6.78782910915112,3.4155873963080756,62,0,2,2,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
9,43926,449,2,0,447,31,0.5679287305122495,"{'De la virgen y turistica': [15376, 0, 0, 162, 26, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 'Historica y del caribe norte': [12074, 0, 0, 137, 20, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0], 'Industrial de la bahia': [16476, 0, 0, 148, 27, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0]}","[6968, 0, 0, 75, 10, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[7216, 0, 0, 74, 14, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[14409, 0, 0, 144, 22, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[9943, 0, 0, 97, 22, 0, 2, 0, 0, 0, 0, 0, 6, 0, 0]","[5390, 0, 0, 57, 5, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[0, 0, 0, 0, 0]","[12846, 95, 1, 0, 5]",44406,9,7.3058820880061255,4.950592262306896,2.476106832410035,10.312629136336184,6.988016148002162,3.495152420610954,73,0,2,2,0,0,0,"{'De la virgen y turistica': 0.0, 'Historica y del caribe norte': 0.0, 'Industrial de la bahia': 0.0}",0.0,"{'De la virgen y turistica': 0, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",0.0,0,"{'De la virgen y turistica': 2, 'Historica y del caribe norte': 2, 'Industrial de la bahia': 4}",0,"{'De la virgen y turistica': 1, 'Historica y del caribe norte': 0, 'Industrial de la bahia': 0}",{}
