Día,Susceptibles,Leves,Graves,Críticos,Recuperados
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,4,0,0
6,0,0,5,3,0
7,0,0,6,5,0
8,0,0,6,5,0
9,0,0,8,6,0
10,0,0,1,0,12
11,0,0,4,2,12
12,0,0,5,5,12
13,0,0,7,6,12
14,0,0,13,10,12
15,0,0,18,9,17
16,0,0,22,12,21
17,0,0,22,9,32
18,0,0,24,10,43
19,38733,2011,106,76,136
20,38678,1982,139,93,163
21,38596,1988,165,103,198
22,38504,1960,217,137,232
23,38374,1945,253,155,305
24,38245,1901,298,167,408
25,38136,1866,323,164,512
26,38043,1830,335,166,610
27,37945,1784,352,178,714
28,37856,1706,355,166,879
29,37749,1618,333,167,1083
30,37667,1512,281,140,1333
31,37581,1368,237,120,1610
32,37517,1157,177,107,1954
33,37457,1046,148,79,2166
34,37400,1035,168,85,2207
35,37355,989,172,89,2285
36,37316,931,183,79,2366
37,37266,877,171,82,2474
38,37223,823,151,73,2594
39,37176,775,159,58,2693
40,37116,763,133,55,2787
41,37078,723,123,52,2872
42,37042,677,118,44,2962
43,37011,642,108,38,3044
44,36974,598,81,33,3151
45,36950,542,82,37,3227
46,36926,497,75,35,3301
47,36902,472,70,35,3349
48,36874,431,69,37,3414
49,36857,413,68,30,3454
50,36843,385,64,28,3497
51,36832,354,69,32,3529
52,36819,316,61,32,3580
53,36812,279,58,28,3626
54,36794,257,50,32,3669
55,36784,229,48,27,3713
56,36771,208,43,22,3752
57,36763,196,36,20,3777
58,36750,187,28,18,3806
59,36741,178,22,19,3829
60,36733,168,17,14,3857
61,36720,159,15,14,3879
62,36715,150,14,12,3896
63,36710,130,13,13,3920
64,36702,122,13,12,3937
65,36698,113,15,10,3948
66,36697,95,20,13,3959
67,36688,92,22,11,3970
68,36685,81,26,11,3980
69,36683,69,22,6,3999
70,36681,64,19,5,4009
71,36680,59,19,4,4015
72,36679,53,15,6,4024
73,36678,43,15,9,4033
74,36675,37,13,11,4042
75,36674,30,11,11,4052
76,36672,28,8,7,4063
77,36670,30,6,6,4065
78,36668,25,4,5,4074
79,36666,22,4,4,4080
80,36665,22,4,5,4080
81,36665,20,2,4,4085
82,36665,17,3,2,4089
83,13597,4,2,0,1953
84,13595,5,3,0,1950
85,13595,5,2,0,1949
86,13594,6,1,0,1946
87,13594,6,2,0,1946
88,13593,7,1,0,1944
89,13592,8,1,0,1943
90,13591,9,2,0,1940
91,13589,9,2,1,1938
92,13587,9,2,2,1936
93,13583,11,3,2,1929
94,13577,17,1,1,1919
95,13574,20,1,1,1909
96,13568,25,2,1,1900
97,13560,33,3,1,1223
98,13556,36,3,1,1221
99,13549,40,4,2,1220
100,13545,41,5,4,1216
101,13536,48,7,4,1212
102,13529,54,8,3,1209
103,13521,56,12,6,1207
104,13511,59,12,12,1207
105,13498,70,11,12,1202
106,13474,91,13,13,1196
107,13451,111,11,13,1188
108,13437,118,13,11,1187
109,13422,128,13,13,1189
110,13399,148,13,11,1192
111,13383,155,11,11,1197
112,13346,175,18,18,1199
113,13313,197,22,23,1196
114,13270,227,31,25,1198
115,13212,269,38,28,1205
116,13166,305,36,27,1215
117,13114,337,39,34,1219
118,13068,370,44,38,1226
119,12994,424,42,49,1240
120,12924,465,50,54,1258
121,12851,501,48,64,1286
122,12753,573,56,69,1303
123,12642,652,59,83,1322
124,12547,701,75,91,1348
125,12425,786,92,96,1370
126,12306,863,109,98,1405
127,12148,972,113,100,1446
128,12002,1053,116,119,1491
129,11795,1184,128,135,1544
130,11585,1319,146,147,1596
131,11368,1438,166,184,1653
132,11149,1564,198,204,1700
133,10925,1684,221,232,1768
134,10675,1827,245,247,1852
135,10389,1989,275,267,1945
136,10135,2098,298,294,2055
137,9855,2206,328,331,2184
138,9598,2322,352,360,2300
139,9334,2406,397,386,2439
140,9058,2466,466,440,2583
141,8787,2567,483,461,2759
142,8485,2648,499,485,2965
143,8222,2673,516,542,3167
144,7980,2661,530,563,3422
145,7737,2646,560,573,3690
146,7499,2638,595,602,3923
147,7238,2645,635,616,4192
148,7016,2605,641,625,4471
149,6799,2560,639,623,4777
150,6595,2517,626,612,5092
151,6422,2421,617,588,5441
152,6259,2343,604,596,5747
153,6078,2259,617,603,6065
154,5930,2169,608,578,6398
155,5784,2055,580,544,6763
156,5659,1946,547,545,7084
157,5516,1870,529,523,7405
158,5407,1771,491,489,7741
159,5307,1676,485,466,8027
160,5203,1580,476,432,8314
161,5123,1473,494,413,8585
162,5034,1368,478,383,8884
163,4959,1254,423,361,9186
164,4887,1163,386,349,9438
165,4818,1088,340,322,9681
166,4770,989,315,298,9906
167,4729,893,287,280,10105
168,4684,812,259,271,10301
169,4645,769,240,239,10461
170,4599,699,216,218,10644
171,4565,625,221,202,10793
172,4526,562,196,192,10934
173,4497,510,179,187,11054
174,4463,478,154,186,11166
175,4441,446,149,163,11266
176,4415,410,139,132,11382
177,4393,387,122,119,11478
178,4376,345,116,116,11556
179,4354,311,107,98,11647
180,4337,296,96,93,11704
181,4321,279,79,90,11755
182,4306,249,83,85,11802
183,4281,239,78,70,11861
184,4271,219,73,67,11905
185,4261,197,73,59,11947
186,4248,186,58,53,11990
187,4238,170,54,48,12028
188,4228,154,52,48,12060
189,4222,139,53,38,12088
190,4216,125,43,41,12122
191,4208,119,39,38,12141
192,4200,109,41,40,12156
193,4193,104,33,36,12171
194,4190,94,32,30,12187
195,4189,84,27,27,12202
196,4185,76,24,25,12218
197,4183,64,18,23,12228
198,4177,57,13,24,12236
199,4175,52,13,22,12235
