Departamento,Municipio,Cantidad,Tipo
Amazonas,EL ENCANTO,5,General
Amazonas,LA CHORRERA,5,General
Amazonas,LA PEDRERA,5,General
Amazonas,LA VICTORIA,0,General
Amazonas,LETICIA,156,General
Amazonas,MIRITI - PARANÁ,4,General
Amazonas,PUERTO ALEGRÍA,0,General
Amazonas,PUERTO ARICA,4,General
Amazonas,PUERTO NARIÑO,7,General
Amazonas,PUERTO SANTANDER,5,General
Amazonas,TARAPACÁ,6,General
Antioquia,ABEJORRAL,16,General
Antioquia,ABRIAQUÍ,8,General
Antioquia,ALEJANDRÍA,6,General
Antioquia,AMAGÁ,0,UCI
Antioquia,AMAGÁ,14,General
Antioquia,AMALFI,20,General
Antioquia,ANDES,34,General
Antioquia,ANGELÓPOLIS,10,General
Antioquia,ANGOSTURA,9,General
Antioquia,ANORÍ,13,General
Antioquia,ANZA,7,General
Antioquia,APARTADÓ,20,UCI
Antioquia,APARTADÓ,416,General
Antioquia,ARBOLETES,13,General
Antioquia,ARGELIA,11,General
Antioquia,ARMENIA,8,General
Antioquia,BARBOSA,21,General
Antioquia,BELLO,25,UCI
Antioquia,BELLO,836,General
Antioquia,BELMIRA,8,General
Antioquia,BETANIA,7,General
Antioquia,BETULIA,18,General
Antioquia,BRICEÑO,13,General
Antioquia,BURITICÁ,9,General
Antioquia,CAICEDO,6,General
Antioquia,CALDAS,6,UCI
Antioquia,CALDAS,111,General
Antioquia,CAMPAMENTO,12,General
Antioquia,CARACOLÍ,6,General
Antioquia,CARAMANTA,7,General
Antioquia,CAREPA,0,UCI
Antioquia,CAREPA,33,General
Antioquia,CAROLINA,7,General
Antioquia,CAUCASIA,20,UCI
Antioquia,CAUCASIA,268,General
Antioquia,CAÑASGORDAS,9,General
Antioquia,CHIGORODÓ,8,UCI
Antioquia,CHIGORODÓ,65,General
Antioquia,CISNEROS,17,General
Antioquia,CIUDAD BOLÍVAR,60,General
Antioquia,COCORNÁ,8,General
Antioquia,CONCEPCIÓN,5,General
Antioquia,CONCORDIA,16,General
Antioquia,COPACABANA,0,UCI
Antioquia,COPACABANA,24,General
Antioquia,CÁCERES,14,General
Antioquia,DABEIBA,14,General
Antioquia,DON MATÍAS,15,General
Antioquia,EBÉJICO,8,General
Antioquia,EL BAGRE,39,General
Antioquia,EL CARMEN DE VIBORAL,0,UCI
Antioquia,EL CARMEN DE VIBORAL,30,General
Antioquia,EL SANTUARIO,12,General
Antioquia,ENTRERRIOS,9,General
Antioquia,ENVIGADO,22,UCI
Antioquia,ENVIGADO,477,General
Antioquia,FREDONIA,18,General
Antioquia,FRONTINO,14,General
Antioquia,GIRALDO,6,General
Antioquia,GIRARDOTA,23,General
Antioquia,GRANADA,6,General
Antioquia,GUADALUPE,8,General
Antioquia,GUARNE,15,General
Antioquia,GUATAPE,11,General
Antioquia,GÓMEZ PLATA,8,General
Antioquia,HELICONIA,6,General
Antioquia,HISPANIA,5,General
Antioquia,ITAGUI,21,UCI
Antioquia,ITAGUI,434,General
Antioquia,ITUANGO,25,General
Antioquia,JARDÍN,22,General
Antioquia,JERICÓ,13,General
Antioquia,LA CEJA,19,UCI
Antioquia,LA CEJA,242,General
Antioquia,LA ESTRELLA,27,General
Antioquia,LA PINTADA,10,General
Antioquia,LA UNIÓN,14,General
Antioquia,LIBORINA,9,General
Antioquia,MACEO,10,General
Antioquia,MARINILLA,20,General
Antioquia,MEDELLÍN,605,UCI
Antioquia,MEDELLÍN,7338,General
Antioquia,MONTEBELLO,7,General
Antioquia,MURINDÓ,11,General
Antioquia,MUTATÁ,16,General
Antioquia,NARIÑO,14,General
Antioquia,NECHÍ,24,General
Antioquia,NECOCLÍ,24,General
Antioquia,OLAYA,3,General
Antioquia,PEQUE,11,General
Antioquia,PEÑOL,16,General
Antioquia,PUEBLORRICO,8,General
Antioquia,PUERTO BERRÍO,76,General
Antioquia,PUERTO NARE,10,General
Antioquia,PUERTO TRIUNFO,14,General
