"","replicate","time","S","E","A","I1","I2","I3","R","D","obs"
"1","1",0,7743955,0,0,2,0,0,0,0,0
"2","1",1,7743953.27531404,1.56350740280421,0.130928426721444,1.76157404304297,-0.011889428079286,-0.000304821174322491,0.191314475207599,-5.36334853878545e-06,NA
"3","1",2,7743951.29834147,3.07908079941096,0.483183523290868,1.59592194498868,-0.0118715754361732,-0.000872206453411713,0.386392772003609,-3.50130578915208e-05,NA
"4","1",3,7743948.62862256,4.95453427661483,1.05453674705204,1.49819526445831,0.00673715361776598,-0.000981276473318942,0.614978269576133,-8.50710823204625e-05,NA
"5","1",4,7743944.77145116,7.57469613031842,1.90436826955777,1.47488381260178,0.0511916852624073,0.000327569696690715,0.910522308757651,-0.000109664712677431,NA
"6","1",5,7743939.06484093,11.4079592196792,3.15096476410957,1.54326780265249,0.131437436387237,0.00430570359389023,1.31729725337504,-8.05982960765417e-06,NA
"7","1",6,7743930.55531289,17.1041034115711,4.98496952750363,1.73369981602364,0.262263532663089,0.0126387950161489,1.89836106316556,0.000393126728379844,0
"8","1",7,7743917.83346502,25.6112826022644,7.69783924625434,2.09451527426472,0.466047700510509,0.0276849387666259,2.74618738852522,0.00136714623268132,0
"9","1",8,7743898.79802329,38.3371367329046,11.7284250679226,2.7001145842466,0.776645391576991,0.052838680831457,3.99795800793178,0.00332922601842048,0
"10","1",9,7743870.30757822,57.3832314549754,17.7345796484292,3.66342086063341,1.24511185188363,0.0930757832513025,5.85814719562386,0.00690110228999534,0
"11","1",10,7743827.66150846,85.8928532403125,26.7012612553832,5.1547150074375,1.94822749005831,0.155765757851671,8.6321838432224,0.0130090574526347,0
"12","1",11,7743763.82428581,128.569954754363,40.1027420419802,7.42992126714116,3.00124157333732,0.251883922176856,12.7767524256322,0.0230318764157742,0
"13","1",12,7743668.26485134,192.455230753614,60.1456257026726,10.8730048168981,4.57694673091078,0.397821903220507,18.9750538278611,0.0390233792754895,0
"14","1",13,7743525.21974785,288.087292187289,90.1326854435178,16.0594659703021,6.93423312757181,0.618094188391681,28.2494387237034,0.0640463789865895,0
"15","1",14,7743311.09390906,431.24017497699,135.007457942033,23.8513941056454,10.4608326542627,0.949386372320463,42.1299859314385,0.102673258253812,1
"16","1",15,7742990.57138191,645.52297839372,202.16926539307,35.5397359005765,15.7372998727487,1.4466120316239,62.9068129046625,0.161735802047052,0
"17","1",16,7742510.79682986,966.268525761555,302.692760021286,53.057187776389,23.6327706926264,2.19197621058641,94.0076880386364,0.251447988633326,0
"18","1",17,7741792.67318679,1446.34831746683,453.152439213426,79.2967065818941,35.4482676273217,3.30853904762778,140.563137951131,0.387086945103938,0
"19","1",18,7740717.85245815,2164.86283657241,678.351378100633,118.587880919359,53.131120329548,4.98051319931656,210.252021082304,0.591509189514384,0
"20","1",19,7740716.93807476,1773.2723731424,900.834309724597,157.408052363772,78.1641281446534,7.46693424414572,310.088979881535,0.898748787545567,0
"21","1",20,7740715.81842784,1452.84980766284,1038.00655057416,181.337382312424,107.614012675467,10.9667854287076,433.41978511275,1.35519635997577,0
"22","1",21,7740714.57740321,1190.6189123008,1111.23165547175,194.105173272904,138.364567647007,15.5078333619192,571.828817254343,2.01284599062323,1
"23","1",22,7740713.27767887,975.974811584872,1137.21948355978,198.628329841596,168.265481058513,20.9972409549522,718.891129776573,2.92182376480029,2
"24","1",23,7740711.96532396,800.249928922731,1128.97461482321,197.176927664672,195.896083392569,27.2711635008175,869.754050379961,4.12566341513752,5
"25","1",24,7740710.67349993,656.359541516445,1096.55829413092,191.507228730356,220.380822997242,34.1301292209423,1020.80239021461,5.65869494839779,6
"26","1",25,7740709.42539983,538.512138977632,1047.70030109891,182.968497321993,241.245669132484,41.3637038600429,1169.39076536829,7.54491520558264,10
"27","1",26,7740708.23657331,441.972944664565,988.289056286899,172.588559007721,258.3071332646,48.7670530616593,1313.63022498181,9.79788480560515,10
"28","1",27,7740707.11676192,362.870676211547,922.763933152477,161.142287181915,271.586945782871,56.1515311375838,1452.21836321317,12.4212928917892,12
