"","replicate","time","S","E","A","I1","I2","I3","R","D","obs"
"1","1",0,1028736,0,0,2,0,0,0,0,0
"2","1",1,1028734.68104467,1.19515924934907,0.114863689631686,1.74196046770934,-0.0120520590551992,-0.000306744960566841,0.19009351499313,-5.38293261220159e-06,NA
"3","1",2,1028733.23586635,2.29232858859026,0.417998733491847,1.52337260444286,-0.0131495331307853,-0.000901514106424637,0.377021758696527,-3.56067868775474e-05,NA
"4","1",3,1028731.39995779,3.54862449708215,0.892057030106052,1.3392870939754,0.0022055110566238,-0.00112959687408263,0.583223657585292,-8.95149914937872e-05,NA
"5","1",4,1028728.90272311,5.18098960173734,1.56385783486363,1.18658455163982,0.0393082394574367,-0.000160742054239936,0.831833565981204,-0.000128716710561482,NA
"6","1",5,1028725.41277745,7.42290514164806,2.49691058951932,1.06368826813036,0.104763116923392,0.00302136840074851,1.15085132388336,-6.88404001459702e-05,NA
"7","1",6,1028720.48617608,10.5683649578483,3.79379005254564,0.970565124289643,0.207785032602221,0.00969080775177455,1.5772003880674,0.000231336091154619,0
"8","1",7,1028713.50594876,15.0159213309426,5.60602745502079,0.908947409969969,0.361628449192893,0.021505055555675,2.16154328201838,0.000985681590476613,0
"9","1",8,1028703.60280371,21.3219624503098,8.1514397926611,0.882772232373347,0.5854126351267,0.0406916379112388,2.97463623432976,0.00250426526609858,0
"10","1",9,1028689.54584554,30.2716983981199,11.740374446467,0.898879241097042,0.906616216272376,0.0703140103052253,4.1161026246841,0.00522812371527744,0
"11","1",10,1028669.58909814,42.9775823338976,16.8137934418346,0.968048406670035,1.3645747730503,0.114646853877293,5.72675859405404,0.00977990393527118,0
"12","1",11,1028641.25455031,61.0177856952262,23.9977299114263,1.10650511732257,2.01542689587115,0.179705410063277,8.00603636187855,0.0170368779522995,0
"13","1",12,1028601.02435051,86.6323160409661,34.1808662537031,1.3380825840981,2.93913732970441,0.273994215679182,11.2367047611747,0.02823567529239,0
"14","1",13,1028543.90473758,123.000656654536,48.6246101619702,1.69730575586038,4.24945547558412,0.409565587185805,15.8198986454611,0.0451215924880373,1
