"","replicate","time","S","E","A","I1","I2","I3","R","D","obs"
"1","1",0,2252616,0,0,2,0,0,0,0,0
"2","1",1,2252614.51118439,1.35186975080889,0.00380317065561232,1.97316041331172,0.00687513163615107,0.000858447838228604,0.128746087688337,0.00655455965467055,0
"3","1",2,2252612.9530165,2.52816690061461,0.00748157512166208,2.13446330953539,0.0222066682897595,0.00320438533520108,0.262492332844922,0.0143382163159562,0
"4","1",3,2252611.19158611,3.68145561452838,0.0110473928868289,2.45738959060161,0.0446302532145428,0.00685609101189631,0.412799171374775,0.0246066027284167,0
"5","1",4,2252609.10393479,4.9274454426284,0.0148677124761826,2.93686817610209,0.0738608643813122,0.0117975371921923,0.590207014488558,0.0384973308224907,0
"6","1",5,2252606.56369826,6.36451393976443,0.0192507351366425,3.58394160723944,0.110412389200527,0.0181400728329354,0.805476495918622,0.0571723212456203,0
"7","1",6,2252603.42974406,8.08709776580426,0.0244895939982319,4.42316510794248,0.155457226736913,0.026104724833134,1.07057102001278,0.0819298351675692,0
"8","1",7,2252599.5360044,10.1956033349198,0.0308918705210932,5.49191865581908,0.210783032460933,0.0360191349499251,1.39952877645963,0.11430330282023,0
"9","1",8,2252594.68119499,12.8046996604146,0.0388078684612461,6.84107921377053,0.278817736323545,0.0483251271865173,1.80933868993347,0.15616006521818,0
"10","1",9,2252588.61747606,16.0510903894121,0.0486535127911801,8.53684954198081,0.362711647896596,0.0635955502935453,2.32090171030795,0.209809412999457,1
"11","1",10,2252581.03725473,20.1016117300844,0.060935453626862,10.6636368263069,0.46647058152247,0.0825597512528253,2.96014645978897,0.278127772316728,0
"12","1",11,2252571.55723786,25.1624036763345,0.0762792181295779,13.3280167235178,0.595140978476975,0.106138167079306,3.75937523682651,0.364709648914011,0
"13","1",12,2252559.69882197,31.4897685191359,0.0954621383727959,16.6639396522161,0.755054070316763,0.135487473721223,4.75891780477695,0.474053060354853,1
"14","1",13,2252544.86380879,39.4033741977766,0.11945354462556,20.8393706399462,0.954137779316262,0.172058021213414,6.00917866183418,0.611789106049776,1
"15","1",14,2252526.30415509,49.3025403670511,0.149464144823635,26.0646874166514,1.20231149683727,0.217666390472762,7.57318686057115,0.784967928253403,0
"16","1",15,2252503.0842177,61.6864638797876,0.187007390182316,32.6032416843587,1.51198268505888,0.274586591400737,9.52977834967998,1.00241565989459,1
"17","1",16,2252474.03357624,77.179431667052,0.233975925837675,40.7846032774193,1.89866967184063,0.345664405893624,11.9775727489315,1.27518053488509,1
"18","1",17,2252437.68805899,96.5622971218998,0.292737030282774,51.0211479251485,2.38178167406641,0.434460587010674,15.0399450927939,1.61709066751329,2
"19","1",18,2252392.21600625,120.811805454339,0.366251873730161,63.8288192939859,2.98559507706744,0.5454300925674,18.8712438852778,2.04545170861374,2
"20","1",19,2252379.15424542,111.196866479159,0.347079374302362,76.8680115095697,3.59339399583319,0.660033476241007,23.5977687734125,2.57428577499288,1
"21","1",20,2252363.92516868,105.256688610107,0.327665409917357,87.8999741253502,4.09610753591274,0.759850260829546,29.1265957715733,3.19255471045508,5
"22","1",21,2252346.83195715,102.063180438114,0.317015265598096,97.5325863996958,4.5257296807189,0.849253957984182,35.3443542539977,3.88699922644836,3
"23","1",22,2252328.08272921,100.939515146733,0.312962574510927,106.214751135664,4.90578195194021,0.931507758424395,42.1729137273944,4.64848474276421,6
"24","1",23,2252307.81584281,101.39245366964,0.313930034288344,114.279148927051,5.25359770244393,1.00906074798504,49.5601873949123,5.47091941632095,3
"25","1",24,2252286.11789266,103.063229501601,0.318767731878553,121.973605452514,5.58199704337298,1.08376560060742,57.473407789555,6.35046327107383,5
