"","replicate","time","S","E","A","I1","I2","I3","R","D","obs"
"1","1",0,2252616,0,0,2,0,0,0,0,0
"2","1",1,2252613.99789772,1.8146771436541,0.0854144102325329,1.83212446158631,-0.0126803221439367,-0.000314261488289696,0.192160727129936,-5.45964457028941e-06,NA
"3","1",2,2252611.74351773,3.53638132419947,0.313463797570461,1.85436702481535,-0.0176503707135131,-0.00100897529828583,0.392407102392159,-3.78370621771094e-05,NA
"4","1",3,2252608.77153937,5.60337946507156,0.678024839699663,2.05557192741096,-0.0116805852958816,-0.00162251070172685,0.633233340953304,-0.00010505734250915,NA
"5","1",4,2252604.57857725,8.41075463005972,1.20994512631402,2.46559684103353,0.0086189079654991,-0.00159143240515259,0.9497779058509,-0.00018941030451297,NA
"6","1",5,2252598.51383417,12.4171840730688,1.97346806175353,3.15132709427071,0.047819064468543,-0.000228671321289842,1.38712594780918,-0.000242106598524924,NA
"7","1",6,2252589.66590619,18.2362673080412,3.07171108000297,4.22260040737012,0.112643544182142,0.00334028794165448,2.00793935132169,-0.000175665682093545,NA
"8","1",7,2252576.7197937,26.7386787576819,4.65989460334485,5.8466163685476,0.213143027365038,0.0102829779615596,2.90213783371546,0.000147907066036229,0
"9","1",8,2252557.75848609,39.1864448156498,6.96726136892091,8.27185709012145,0.364299488639045,0.0222177242991905,4.20035215599539,0.000935466333686257,0
"10","1",9,2252529.97774852,57.4221217441689,10.3304096185618,11.8644964307441,0.58832349159138,0.0414438801356537,6.09326910602398,0.00249065739061107,0
"11","1",10,2252489.27074692,84.1423923774478,15.2427436738516,17.1624406460567,0.917999316468748,0.0712768997345191,8.85980678215518,0.00525582662612186,0
"12","1",11,2252429.62097061,123.296979507796,22.427190025995,24.9548168059965,1.40157726978818,0.116536378592654,12.9082962928168,0.00987425096373343,0
"13","1",12,2252342.21309051,180.672401008549,32.9429236779227,36.3986586377181,2.10994466608217,0.18425884384914,18.8368081498743,0.0172820718257389,0
"14","1",13,2252214.13176494,264.745930208291,48.341681262325,53.1898234792839,3.14712786349916,0.284739143913667,27.5214640152654,0.0288434967983536,0
"15","1",14,2252026.45588495,387.935992863548,70.896806700522,77.8134517531336,4.66568570131267,0.433054712503744,40.2458472103372,0.0465494347726135,0
"16","1",15,2251751.46993626,568.43131393138,103.9385539197,113.910630459392,6.88925509151946,0.651296439396562,58.8905159564183,0.0733088354161767,0
"17","1",16,2251348.58440196,832.865796343252,152.344893974546,166.815116514919,10.1455739945139,0.971835526791079,86.2105778553455,0.113375869971458,0
"18","1",17,2250758.37332126,1220.22572912852,223.259429207211,244.338423237013,14.9148278909417,1.44210695818792,126.24208437593,0.172975968974923,1
"19","1",18,2249893.87171188,1787.54791224827,327.140491810555,357.917087213761,21.9003881121987,2.13161191027182,184.896721845575,0.261222927650312,0
"20","1",19,2249890.61648768,1466.48298413834,428.625212261575,468.878304818997,31.6127283618198,3.13610000287015,267.308637402576,0.391401315856191,1
"21","1",20,2249886.67879703,1204.23167878179,491.002577922261,537.075024403209,42.9409722001276,4.52754976672091,367.687517495622,0.581320976930019,0
"22","1",21,2249882.33597836,989.881901810357,524.11047303141,573.265456814611,54.7196354453277,6.31395224094732,479.027063867623,0.850763128063499,1
"23","1",22,2249877.80165551,814.557979975478,535.624315235671,585.843017206699,66.1463569974627,8.45846036729105,596.05773939003,1.21869843669286,0
"24","1",23,2249873.23243864,671.044523028123,531.503957508643,581.325044466783,76.6924430696749,10.8979809843511,714.86887863599,1.70153287994179,0
"25","1",24,2249868.74074953,553.473940738934,516.351005391972,564.743552922735,86.0332294566114,13.5563984369825,832.608621414692,2.31214626508687,5
"26","1",25,2249864.40496533,457.07302396273,493.694383263552,539.957518906216,93.9940750605974,16.3537575484625,947.245932700886,3.0594862677209,3
