date,barranquilla,bogota,cali,cartagena,medellin
2020-03-16,0.0,0.0,0.0,1.0,0.0
2020-03-25,0.0,1.0,2.0,0.0,0.0
2020-03-26,0.0,2.0,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,1.0,0.0
2020-03-28,0.0,3.0,0.0,0.0,0.0
2020-03-29,0.0,1.0,0.0,0.0,0.0
2020-03-30,0.0,1.0,1.0,2.0,0.0
2020-03-31,0.0,2.0,1.0,1.0,0.0
2020-04-01,0.0,1.0,0.0,0.0,0.0
2020-04-02,1.0,4.0,0.0,0.0,0.0
2020-04-03,1.0,5.0,1.0,0.0,1.0
2020-04-04,0.0,10.0,2.0,0.0,0.0
2020-04-05,0.0,4.0,0.0,0.0,0.0
2020-04-06,0.0,6.0,2.0,1.0,0.0
2020-04-07,0.0,5.0,0.0,0.0,0.0
2020-04-08,0.0,2.0,0.0,0.0,0.0
2020-04-09,1.0,4.0,1.0,1.0,0.0
2020-04-10,0.0,3.0,0.0,1.0,0.0
2020-04-11,0.0,5.0,0.0,1.0,0.0
2020-04-12,0.0,1.0,4.0,1.0,0.0
2020-04-13,0.0,4.0,1.0,1.0,0.0
2020-04-14,0.0,6.0,2.0,0.0,0.0
2020-04-15,0.0,3.0,3.0,0.0,0.0
2020-04-16,0.0,4.0,4.0,2.0,0.0
2020-04-17,0.0,1.0,1.0,1.0,0.0
2020-04-18,0.0,2.0,3.0,1.0,1.0
2020-04-19,0.0,4.0,3.0,0.0,0.0
2020-04-20,1.0,4.0,2.0,1.0,0.0
2020-04-21,0.0,6.0,1.0,0.0,0.0
2020-04-22,1.0,1.0,2.0,1.0,0.0
2020-04-23,0.0,2.0,2.0,1.0,0.0
2020-04-24,0.0,4.0,0.0,2.0,0.0
2020-04-25,3.0,1.0,0.0,1.0,0.0
2020-04-26,0.0,6.0,1.0,0.0,0.0
2020-04-27,0.0,3.0,2.0,2.0,1.0
2020-04-28,0.0,6.0,1.0,1.0,0.0
2020-04-29,0.0,6.0,3.0,1.0,0.0
2020-04-30,3.0,8.0,1.0,3.0,0.0
2020-05-01,3.0,3.0,0.0,2.0,0.0
2020-05-02,2.0,3.0,1.0,1.0,0.0
2020-05-03,2.0,3.0,0.0,4.0,0.0
2020-05-04,1.0,5.0,3.0,3.0,0.0
2020-05-05,3.0,2.0,0.0,5.0,0.0
2020-05-06,1.0,7.0,2.0,4.0,0.0
2020-05-07,1.0,3.0,2.0,5.0,0.0
2020-05-08,3.0,4.0,1.0,3.0,0.0
2020-05-09,0.0,6.0,1.0,3.0,0.0
2020-05-10,2.0,7.0,2.0,4.0,0.0
2020-05-11,2.0,7.0,4.0,5.0,0.0
2020-05-12,2.0,0.0,1.0,5.0,0.0
2020-05-13,0.0,3.0,2.0,2.0,0.0
2020-05-14,2.0,2.0,4.0,6.0,0.0
2020-05-15,1.0,7.0,0.0,5.0,0.0
2020-05-16,1.0,4.0,0.0,5.0,0.0
2020-05-17,1.0,3.0,2.0,5.0,0.0
2020-05-18,1.0,6.0,3.0,7.0,0.0
2020-05-19,5.0,5.0,2.0,3.0,0.0
2020-05-20,2.0,6.0,6.0,6.0,0.0
2020-05-21,2.0,10.0,1.0,5.0,0.0
2020-05-22,6.0,9.0,3.0,5.0,0.0
2020-05-23,4.0,9.0,2.0,6.0,0.0
2020-05-24,5.0,5.0,6.0,9.0,0.0
2020-05-25,3.0,4.0,4.0,8.0,0.0
2020-05-26,12.0,8.0,4.0,5.0,0.0
2020-05-27,5.0,6.0,4.0,5.0,0.0
2020-05-28,9.0,4.0,5.0,8.0,0.0
2020-05-29,6.0,11.0,6.0,2.0,0.0
2020-05-30,13.0,7.0,5.0,4.0,0.0
2020-05-31,9.0,11.0,4.0,3.0,0.0
2020-06-01,15.0,8.0,3.0,6.0,0.0
2020-06-02,17.0,6.0,4.0,3.0,0.0
2020-06-03,29.0,9.0,3.0,6.0,0.0
2020-06-04,15.0,11.0,2.0,4.0,0.0
2020-06-05,20.0,14.0,3.0,7.0,1.0
2020-06-06,19.0,9.0,6.0,9.0,0.0
2020-06-07,24.0,10.0,4.0,3.0,0.0
2020-06-08,20.0,13.0,8.0,5.0,0.0
2020-06-09,29.0,14.0,3.0,5.0,0.0
2020-06-10,23.0,11.0,1.0,3.0,0.0
2020-06-11,29.0,14.0,2.0,3.0,0.0
2020-06-12,28.0,8.0,5.0,7.0,0.0
2020-06-13,26.0,10.0,3.0,7.0,0.0
2020-06-14,33.0,19.0,8.0,7.0,1.0
2020-06-15,29.0,18.0,2.0,7.0,1.0
2020-06-16,41.0,14.0,7.0,3.0,0.0
2020-06-17,33.0,24.0,6.0,7.0,1.0
2020-06-18,41.0,9.0,4.0,17.0,0.0
2020-06-19,31.0,17.0,5.0,5.0,0.0
2020-06-20,34.0,12.0,11.0,3.0,1.0
2020-06-21,32.0,22.0,8.0,16.0,2.0
2020-06-22,37.0,20.0,4.0,5.0,1.0
2020-06-23,39.0,25.0,7.0,8.0,0.0
2020-06-24,33.0,24.0,8.0,8.0,5.0
2020-06-25,37.0,21.0,6.0,8.0,1.0
2020-06-26,34.0,25.0,8.0,7.0,0.0
2020-06-27,28.0,31.0,6.0,11.0,0.0
2020-06-28,27.0,33.0,2.0,8.0,0.0
2020-06-29,28.0,25.0,9.0,7.0,1.0
2020-06-30,23.0,32.0,8.0,7.0,2.0
2020-07-01,28.0,28.0,11.0,3.0,4.0
2020-07-02,44.0,38.0,6.0,2.0,5.0
2020-07-03,34.0,46.0,12.0,8.0,4.0
2020-07-04,25.0,34.0,8.0,4.0,3.0
2020-07-05,26.0,37.0,12.0,7.0,1.0
2020-07-06,36.0,42.0,10.0,2.0,6.0
2020-07-07,23.0,49.0,20.0,2.0,1.0
