t,IH,X
1,0,1
2,2.20E-07,1
3,5.22E-07,1
4,5.72E-07,1
5,5.98E-07,1
6,2.01E-06,1
7,2.48E-06,1
8,4.51E-06,1
9,5.17E-06,1
10,1.01E-05,0.1
11,1.40E-05,0.1
12,2.44E-05,0.1
13,3.58E-05,0.1
14,5.25E-05,0.1
15,7.05E-05,0.1
16,8.18E-05,0.1
17,0.000109296,0.1
18,0.000202342,0.1
19,0.000335462,0.1
20,0.000447959,0.1
21,0.000643817,0.1
22,0.000872447,0.1
23,0.001229164,0.1
24,0.001559979,0.1
25,0.002046854,0.1
26,0.002094892,0.1
27,0.002454288,0.1
28,0.003260827,0.1
29,0.004081803,0.1
30,0.004336892,0.1
31,0.005115196,0.1
32,0.005138353,0.1
33,0.006013663,0.1
34,0.006912361,0.1
35,0.00759799,0.1
36,0.008289438,0.1
37,0.008289526,0.1
38,0.008299039,0.1
39,0.00886207,0.1
40,0.009602331,0.1
41,0.010220805,0.1
42,0.011427,0.1
43,0.012018126,0.1
44,0.013062238,0.1
45,0.013063861,0.1
46,0.014168485,0.1
47,0.015341044,0.1
48,0.016236941,0.1
49,0.017413103,0.1
50,0.017432931,0.1
51,0.018238744,0.1
52,0.019341557,0.1
53,0.02000063,0.1
54,0.021720998,0.1
55,0.022781872,0.1
56,0.024219288,0.1
57,0.025054977,0.1
58,0.026732608,0.3
59,0.028145133,0.3
60,0.029599821,0.3
61,0.030908634,0.3
62,0.032128598,0.3
63,0.034132002,0.3
64,0.035381151,0.3
65,0.037987642,0.3
66,0.040530443,0.3
67,0.041170545,0.3
68,0.043767453,0.3
69,0.046286088,0.3
70,0.048200232,0.3
71,0.050107423,0.3
72,0.051860716,0.3
73,0.054353518,0.3
74,0.056914216,0.3
75,0.060964666,0.3
76,0.065029169,0.3
77,0.06691282,0.3
78,0.070999642,0.3
79,0.074715541,0.3
80,0.077465401,0.3
81,0.081926767,0.3
82,0.087417513,0.3
83,0.093009049,0.3
84,0.098492766,0.3
85,0.102964333,0.3
86,0.10869987,0.3
87,0.11415099,0.3
88,0.120225579,0.3
89,0.124817979,0.3
90,0.131521172,0.3
91,0.143788417,0.3
92,0.15764582,0.3
93,0.173497645,0.3
94,0.192355216,0.3
95,0.212059986,0.3
96,0.237277255,0.3
97,0.262982699,0.3
98,0.296430496,0.3
99,0.324956414,0.05
100,0.362778258,0.05
101,0.429539725,0.05
102,0.505107801,0.05
103,0.59300539,0.05
104,0.742067031,0.05
105,0.951065163,0.05
106,1.244883637,0.05
107,1.661399829,0.05
108,2.130863644,0.05
109,2.696441628,0.05
110,3.441292981,0.05
111,4.37932233,0.05
112,5.519753415,0.05
113,6.98058355,0.05
114,8.871359204,0.05
115,11.28909713,0.05
116,13.97720707,0.05
117,17.57453902,0.05
118,22.09782507,0.05
119,27.77468451,0.05
120,34.80466441,0.05
121,43.64420592,0.05
122,55.18893795,0.05
123,68.66773021,0.05
