t,IH,X
1,0,1
2,3.37E-08,1
3,2.27E-07,1
4,2.54E-07,1
5,2.66E-07,1
6,1.05E-06,1
7,1.41E-06,1
8,2.77E-06,1
9,3.35E-06,1
10,6.96E-06,0.1
11,1.06E-05,0.1
12,2.25E-05,0.1
13,4.82E-05,0.1
14,6.55E-05,0.1
15,8.35E-05,0.1
16,9.14E-05,0.1
17,0.000108308,0.1
18,0.000176875,0.1
19,0.000286937,0.1
20,0.000394355,0.1
21,0.000591314,0.1
22,0.000817122,0.1
23,0.001242625,0.1
24,0.001876331,0.1
25,0.002503376,0.1
26,0.002552454,0.1
27,0.002884642,0.1
28,0.003639588,0.1
29,0.004405719,0.1
30,0.004656859,0.1
31,0.005427237,0.1
32,0.005449952,0.1
33,0.006330926,0.1
34,0.007461061,0.1
35,0.008624635,0.1
36,0.009494335,0.1
37,0.009494429,0.1
38,0.00950447,0.1
39,0.010031159,0.1
40,0.010741133,0.1
41,0.011302787,0.1
42,0.012415132,0.1
43,0.01298765,0.1
44,0.014017792,0.1
45,0.014019377,0.1
46,0.015108539,0.1
47,0.016484929,0.1
48,0.018195584,0.1
49,0.019738402,0.1
50,0.019759901,0.1
51,0.020501012,0.1
52,0.021537804,0.1
53,0.022111414,0.1
54,0.02366571,0.1
55,0.024674485,0.1
56,0.026079564,0.1
57,0.026839973,0.1
58,0.028602009,0.3
59,0.030943383,0.3
60,0.033335985,0.3
61,0.034868503,0.3
62,0.035976993,0.3
63,0.037756586,0.3
64,0.038941747,0.3
65,0.041280393,0.3
66,0.04371727,0.3
67,0.044302247,0.3
68,0.046909339,0.3
69,0.050601608,0.3
70,0.054164048,0.3
71,0.056647826,0.3
72,0.058217303,0.3
73,0.060534924,0.3
74,0.062825258,0.3
75,0.066431558,0.3
76,0.070281296,0.3
77,0.072073798,0.3
78,0.07620363,0.3
79,0.081710519,0.3
80,0.087067785,0.3
81,0.092465835,0.3
82,0.097484966,0.3
83,0.102534465,0.3
84,0.107410949,0.3
85,0.111498132,0.3
86,0.117040987,0.3
87,0.122761405,0.3
88,0.13118678,0.3
89,0.142015564,0.3
90,0.150998561,0.3
91,0.162882915,0.3
92,0.175091513,0.3
93,0.189449852,0.3
94,0.20621591,0.3
95,0.224712642,0.3
96,0.249865147,0.3
97,0.277182246,0.3
98,0.320166227,0.3
99,0.377632904,0.3
100,0.427685073,0.3
101,0.495333479,0.3
102,0.565340836,0.3
103,0.648500354,0.3
104,0.755039785,0.05
105,0.863134277,0.05
106,0.984442242,0.05
107,1.135647685,0.05
108,1.294949713,0.05
109,1.474318374,0.05
110,1.703044329,0.05
111,1.98891868,0.05
112,2.336815782,0.05
113,2.78456567,0.05
114,3.371270716,0.05
115,4.13994411,0.05
116,4.992389879,0.05
117,6.132020224,0.05
118,7.57453258,0.05
119,9.393097726,0.05
120,11.65477376,0.05
121,14.5204365,0.05
122,18.32172308,0.05
123,22.74663938,0.05
124,28.40451528,0.05
125,35.4434129,0.05
126,44.64309985,0.05
127,56.47494476,0.05
128,71.46691664,0.05
129,90.43008696,0.05
130,114.2657729,0.05
131,143.9435961,0.05
132,179.722618,0.05
133,221.0886383,0.05
134,267.1289649,0.05
135,316.7204524,0.05
136,368.7280219,0.05
137,422.068349,0.05
138,475.772515,0.05
139,529.0064479,0.05
140,581.0797531,0.05
141,631.4353821,0.05
142,679.6425376,0.05
143,725.3862627,0.05
144,768.4362943,0.05
145,808.6614293,0.05
146,845.9855603,0.05
147,880.3888093,0.05
148,911.9054824,0.05
149,940.5886749,0.05
150,966.5297416,0.05
151,989.8310546,0.05
152,1010.608565,0.05
153,1028.994587,0.05
154,1045.112454,0.05
155,1059.101137,0.05
156,1071.089172,0.05
157,1081.201031,0.05
158,1089.566838,0.05
159,1096.300909,0.05
160,1101.521015,0.05
161,1105.333734,0.05
162,1107.840369,0.05
163,1109.1383,0.05
164,1109.312906,0.05
165,1108.451063,0.05
166,1106.629612,0.05
167,1103.919361,0.05
168,1100.390306,0.05
169,1096.103166,0.05
170,1091.115137,0.05
171,1085.479807,0.05
172,1079.246107,0.05
173,1072.461577,0.05
174,1065.166966,0.05
175,1057.403709,0.05
176,1049.208135,0.05
177,1040.61221,0.05
178,1031.649594,0.05
179,1022.348805,0.05
180,1012.738065,0.05
181,1002.843149,0.05
182,992.6886643,0.05
183,982.2968199,0.05
184,971.6877709,0.05
185,960.8825232,0.05
186,949.8998328,0.05
187,938.7570172,0.05
188,927.4716484,0.05
189,916.059849,0.05
190,904.5352607,0.05
191,892.9163898,0.05
192,882.184399,0.05
193,870.4109419,0.05
194,858.5768797,0.05
195,846.6944064,0.05
196,834.7750659,0.05
197,822.8279203,0.05
198,810.8636654,0.05
199,798.8919891,0.05
200,786.9220685,0.05
201,774.962555,0.05
202,763.0228197,0.05
203,751.1099059,0.05
204,739.230445,0.05
205,727.3922946,0.05
206,715.6021368,0.05
207,703.8666038,0.05
208,692.1919586,0.05
209,680.5852265,0.05
210,669.0500191,0.05
211,657.5911795,0.05
212,646.2135916,0.05
213,634.921772,0.05
214,623.7200978,0.05
215,612.613535,0.05
216,601.6059458,0.05
217,590.700407,0.05
218,579.9006899,0.05
219,569.2099813,0.05
220,558.6315757,0.05
221,548.1677642,0.05
222,537.8218912,0.05
223,527.5956867,0.05
224,517.490694,0.05
225,507.5094528,0.05
226,497.6532137,0.05
227,487.9237698,0.05
228,478.3224309,0.05
229,468.8506028,0.05
230,459.5088408,0.05
231,450.297618,0.05
232,441.2181251,0.05
233,432.2708253,0.05
234,423.4558429,0.05
235,414.7740541,0.05
236,406.2252571,0.05
237,397.8091883,0.05
238,389.5259486,0.05
239,381.3751907,0.05
240,373.3570018,0.05
241,365.4705011,0.05
242,357.7158171,0.05
243,350.0920659,0.05
244,342.5981443,0.05
245,335.2338943,0.05
246,327.9980887,0.05
247,320.8901199,0.05
248,313.9090756,0.05
249,307.0539975,0.05
250,300.3237116,0.05
251,293.7167677,0.05
252,287.2322882,0.05
253,280.8690613,0.05
254,274.6255727,0.05
255,268.5011154,0.05
256,262.4941675,0.05
257,256.603065,0.05
258,250.826637,0.05
259,245.1633122,0.05
260,239.612043,0.05
261,234.1709726,0.05
262,228.8392165,0.05
263,223.6150855,0.05
264,218.4964799,0.05
265,213.4824011,0.05
266,208.5710305,0.05
267,203.761057,0.05
268,199.0510242,0.05
269,194.4396667,0.05
270,189.9250093,0.05
271,185.5051231,0.05
272,181.1788322,0.05
273,176.9447269,0.05
274,172.800963,0.05
275,168.746556,0.05
276,164.7800957,0.05
277,160.8992122,0.05
278,157.1026381,0.05
279,153.3887586,0.05
280,149.7564589,0.05
281,146.2039177,0.05
282,142.73046,0.05
283,139.3349455,0.05
284,136.0153903,0.05
285,132.7705309,0.05
286,129.5986328,0.05
287,126.4982728,0.05
288,123.4680601,0.05
289,120.6477734,0.05
290,117.850386,0.05
291,115.0152489,0.05
292,112.244435,0.05
293,109.5367616,0.05
294,106.8908396,0.05
295,104.3059831,0.05
296,101.781661,0.05
297,99.31442358,0.05
298,97.10576994,0.05
299,94.93669672,0.05
300,92.82367281,0.05
301,90.93213722,0.05
302,89.52073886,0.05
303,88.74380131,0.05
304,88.75818052,0.05
305,89.73183284,0.3
306,91.83708811,0.3
307,95.26363271,0.3
308,100.2101295,0.3
309,106.896634,0.3
310,115.1916702,0.3
311,125.1087782,0.3
312,136.0661048,0.3
313,148.4778608,0.3
314,161.5069677,0.3
315,174.7884141,0.3
316,187.9949235,0.3
317,200.8453056,0.3
318,213.1099257,0.05
319,224.6111248,0.05
320,235.2124539,0.05
321,244.8249505,0.05
322,253.3899255,0.05
323,260.8795005,0.05
324,267.2916219,0.05
325,272.6397323,0.05
326,276.9592347,0.05
327,280.2918227,0.05
328,282.6894434,0.05
329,284.212351,0.05
330,284.9194719,0.05
331,284.8761762,0.05
332,284.1450429,0.05
333,282.7887592,0.05
334,280.8697195,0.05
335,278.4451916,0.05
336,275.5731084,0.05
337,272.3049037,0.05
338,268.6897878,0.05
339,264.7747988,0.05
340,260.6017734,0.05
341,256.2106453,0.05
342,251.6372465,0.05
343,246.9146701,0.05
344,242.0722817,0.05
345,237.1368829,0.05
346,232.1331336,0.05
347,227.3326014,0.05
348,222.4291863,0.05
349,217.3423336,0.05
350,212.2612258,0.05
351,207.1960111,0.05
352,202.1619053,0.05
353,197.3835608,0.05
354,192.4305805,0.05
355,187.54293,0.05
356,182.7204995,0.05
