t,IH,X
1,0,1
2,3.28E-05,1
3,9.74E-05,1
4,0.000107116,1
5,0.000112037,1
6,0.000378574,1
7,0.000477368,1
8,0.000856615,1
9,0.000999181,1
10,0.001972125,0.1
11,0.002843705,0.1
12,0.005450126,0.1
13,0.009714654,0.1
14,0.013021465,0.1
15,0.01648847,0.1
16,0.018220805,0.1
17,0.022081464,0.1
18,0.036348821,0.1
19,0.058602055,0.1
20,0.079252533,0.1
21,0.116197562,0.1
22,0.160210037,0.1
23,0.23862093,0.1
24,0.33652819,0.1
25,0.438993365,0.1
26,0.447557756,0.1
27,0.507443502,0.1
28,0.643890151,0.1
29,0.786248612,0.1
30,0.832389157,0.1
31,0.974155855,0.1
32,0.978420606,0.1
33,1.144801025,0.1
34,1.344738672,0.1
35,1.526617795,0.1
36,1.669322398,0.1
37,1.669338485,0.1
38,1.671070452,0.1
39,1.765511594,0.1
40,1.891878084,0.1
41,1.994539631,0.1
42,2.201363846,0.1
43,2.307051148,0.1
44,2.496803752,0.1
45,2.497101875,0.1
46,2.704649589,0.1
47,2.956158753,0.1
48,3.219251325,0.1
49,3.46864981,0.1
50,3.47230369,0.1
51,3.605123706,0.1
52,3.789840352,0.1
53,3.895779938,0.1
54,4.185306351,0.1
55,4.372673481,0.1
56,4.632388411,0.1
57,4.78171106,0.1
58,5.116073486,0.3
59,5.497924721,0.3
60,5.867561207,0.3
61,6.12089726,0.3
62,6.319142672,0.3
63,6.642676605,0.3
64,6.855560684,0.3
65,7.297423821,0.3
66,7.749753679,0.3
67,7.86360441,0.3
68,8.363141456,0.3
69,8.990384076,0.3
70,9.528339009,0.3
71,9.925235749,0.3
72,10.20627349,0.3
73,10.6165734,0.3
74,11.03192779,0.05
75,11.70850436,0.05
76,12.42040309,0.05
77,12.75996898,0.05
78,13.54622364,0.05
79,14.47338929,0.05
80,15.27097643,0.05
81,16.14444615,0.05
82,17.02985695,0.05
83,17.93763122,0.05
84,18.84895275,0.05
85,19.60651258,0.05
86,20.63687669,0.05
87,21.7000869,0.05
88,23.13440227,0.05
89,24.67112356,0.05
90,26.05458461,0.05
91,28.05533203,0.05
92,30.18757327,0.05
93,32.70350131,0.05
94,35.74996793,0.05
95,39.03102506,0.05
96,43.45323344,0.05
97,48.23176013,0.05
98,55.26949703,0.05
99,63.19110965,0.05
100,70.46911133,0.05
101,80.9156378,0.05
102,91.9420138,0.05
103,104.9019382,0.05
104,123.8286272,0.05
105,146.0707172,0.05
106,172.9771073,0.05
107,205.7353967,0.05
108,237.1482089,0.05
109,268.9262186,0.05
110,303.7029954,0.05
111,339.4969056,0.05
112,374.5567579,0.05
113,410.1671124,0.05
114,445.9580396,0.05
115,480.8000035,0.05
116,510.1017223,0.05
117,539.5623122,0.05
118,566.8163538,0.05
119,591.6212783,0.05
120,613.6084377,0.05
121,633.1446943,0.05
122,650.735024,0.05
123,664.626805,0.05
124,676.4513075,0.05
125,685.8419363,0.05
126,693.2111583,0.05
127,698.3577355,0.05
128,701.3295547,0.05
129,702.268537,0.05
130,701.3358328,0.05
131,698.6805705,0.05
132,694.4504614,0.05
133,688.7910224,0.05
134,681.8350745,0.05
135,673.7172938,0.05
136,664.5599071,0.05
137,654.48071,0.05
138,643.5929604,0.05
139,631.998953,0.05
140,619.7981176,0.05
141,607.0799821,0.05
142,593.9281918,0.05
143,580.4214006,0.05
144,566.6309083,0.05
145,552.623835,0.05
146,538.4606432,0.05
147,524.1965744,0.05
148,509.8819688,0.05
149,495.5620894,0.05
150,481.27842,0.05
151,467.0686201,0.05
152,452.966556,0.05
153,439.0019013,0.05
154,425.2015245,0.05
155,411.5881054,0.05
156,398.1821094,0.05
157,385.0020686,0.05
158,372.0630906,0.05
159,359.3794276,0.05
160,346.9615722,0.05
161,334.8187625,0.05
162,322.9585,0.05
163,311.3857984,0.05
164,300.1063286,0.05
165,289.122702,0.05
166,278.4372211,0.05
167,268.0510599,0.05
168,257.9629308,0.05
169,248.1722873,0.05
170,238.6768125,0.05
171,229.4744212,0.05
172,220.5626266,0.05
173,211.9369292,0.05
174,203.5938268,0.05
175,195.5277945,0.05
176,187.7337144,0.05
177,180.2071203,0.05
178,172.941797,0.3
179,165.9329589,0.3
180,159.1741366,0.3
181,152.6590803,0.3
