t,IH,X
1,0,1
2,1.97E-10,1
3,3.91E-10,1
4,4.12E-10,1
5,4.22E-10,1
6,3.47E-08,1
7,5.88E-08,1
8,1.54E-07,1
9,1.96E-07,1
10,4.88E-07,0.1
11,1.25E-06,0.1
12,4.96E-06,0.1
13,1.31E-05,0.1
14,2.01E-05,0.1
15,2.78E-05,0.1
16,3.16E-05,0.1
17,4.04E-05,0.1
18,7.48E-05,0.1
19,0.000129337,0.1
20,0.000179506,0.1
21,0.000266664,0.1
22,0.000354808,0.1
23,0.000515904,0.1
24,0.000729724,0.1
25,0.000962468,0.1
26,0.000982201,0.1
27,0.00112112,0.1
28,0.001451594,0.1
29,0.001801312,0.1
30,0.001914908,0.1
31,0.002259191,0.1
32,0.00226887,0.1
33,0.002627526,0.1
34,0.00305949,0.1
35,0.003466934,0.1
36,0.003794745,0.1
37,0.003794783,0.1
38,0.003798795,0.1
39,0.004018296,0.1
40,0.004320599,0.1
41,0.004573981,0.1
42,0.005086143,0.1
43,0.005348666,0.1
44,0.005813052,0.1
45,0.005813734,0.1
46,0.006259856,0.1
47,0.006796421,0.1
48,0.007378981,0.1
49,0.007949002,0.1
50,0.007957476,0.1
51,0.008266483,0.1
52,0.008710989,0.1
53,0.008974474,0.1
54,0.009698552,0.1
55,0.010168408,0.1
56,0.010808775,0.1
57,0.011128984,0.1
58,0.011831666,0.3
59,0.012656035,0.3
60,0.013487104,0.3
61,0.014073458,0.3
62,0.014539527,0.3
63,0.015335479,0.3
64,0.015873811,0.3
65,0.016984181,0.3
66,0.018109015,0.3
67,0.018359995,0.3
68,0.019406631,0.3
69,0.020742708,0.3
70,0.021944027,0.3
71,0.022858423,0.3
72,0.023513519,0.3
73,0.024506171,0.3
74,0.025553975,0.3
75,0.027261423,0.3
76,0.029058425,0.3
77,0.029832222,0.3
78,0.031481363,0.3
79,0.033463477,0.3
80,0.035249711,0.3
81,0.037272339,0.3
82,0.039406293,0.3
83,0.041714832,0.3
84,0.044031231,0.3
85,0.045960793,0.3
86,0.048346953,0.3
87,0.050583307,0.3
88,0.053669566,0.3
89,0.057160003,0.3
90,0.060401276,0.3
91,0.065238946,0.3
92,0.070638248,0.3
93,0.077267667,0.3
94,0.08523713,0.3
95,0.093839874,0.3
96,0.104557375,0.3
97,0.115230402,0.3
98,0.131402512,0.3
99,0.150650708,0.3
100,0.168992679,0.3
101,0.196319676,0.3
102,0.226671753,0.3
103,0.264011299,0.3
104,0.318328994,0.3
105,0.382906249,0.05
106,0.464596016,0.05
107,0.575111186,0.05
108,0.696605168,0.05
109,0.839259341,0.05
110,1.024854891,0.05
111,1.257980535,0.05
112,1.541478574,0.05
113,1.904345634,0.05
114,2.376924473,0.05
115,2.987674312,0.05
116,3.66623447,0.05
117,4.573125721,0.05
118,5.714691658,0.05
119,7.150843372,0.05
120,8.932220752,0.05
121,11.18590281,0.05
122,14.15699267,0.05
123,17.63050084,0.05
124,22.07911198,0.05
125,27.60024486,0.05
126,34.80922099,0.05
127,44.06336689,0.05
128,55.77239788,0.05
129,70.5513338,0.05
130,89.20967762,0.05
131,112.7273701,0.05
132,142.0173256,0.05
133,177.1853127,0.05
134,217.6754585,0.05
135,262.5368612,0.05
136,310.6955914,0.05
137,361.0584517,0.05
138,412.5985166,0.05
139,464.4071554,0.05
140,515.7055519,0.05
141,565.8505734,0.05
142,614.3268995,0.05
143,660.7446565,0.05
144,704.8071731,0.05
145,746.3214191,0.05
146,785.1607543,0.05
147,821.2621131,0.05
148,854.6227489,0.05
149,885.2647396,0.05
150,913.2574422,0.05
151,938.6821133,0.05
152,961.6378396,0.05
153,982.2439593,0.05
154,1000.61391,0.05
155,1016.877336,0.05
156,1031.156553,0.05
157,1043.573027,0.05
158,1054.251577,0.05
159,1063.303544,0.05
160,1070.844192,0.05
161,1076.978182,0.05
162,1081.803758,0.05
163,1085.418859,0.05
164,1087.908095,0.05
165,1089.355969,0.05
166,1089.838348,0.05
167,1089.424971,0.05
168,1088.184457,0.05
169,1086.175235,0.05
170,1083.455812,0.05
171,1080.077554,0.05
172,1076.08743,0.05
173,1071.531701,0.05
174,1066.449885,0.05
175,1060.881059,0.05
176,1054.860077,0.05
177,1048.41891,0.05
178,1041.588579,0.05
179,1034.395954,0.05
180,1026.867618,0.05
181,1019.027789,0.05
182,1010.898292,0.05
183,1002.501363,0.05
184,993.8559485,0.05
185,984.9806606,0.05
186,975.8929146,0.05
187,966.6085921,0.05
188,957.1439009,0.05
189,947.5127595,0.05
190,937.7296456,0.05
191,927.8107203,0.05
192,918.600727,0.05
193,908.4457018,0.05
194,898.1861368,0.05
195,887.8327287,0.05
196,877.3961327,0.05
197,866.886308,0.05
198,856.3125875,0.05
199,845.6840809,0.05
200,835.009289,0.05
201,824.2967788,0.05
202,813.5545115,0.05
203,802.7904393,0.05
204,792.0120823,0.05
205,781.226309,0.05
206,770.4399842,0.05
207,759.6594934,0.05
208,748.8912455,0.05
209,738.141335,0.05
210,727.4159642,0.05
211,716.7205172,0.05
212,706.0603354,0.05
213,695.4404654,0.05
214,684.8657296,0.05
215,674.3409625,0.05
216,663.8703902,0.05
217,653.4586295,0.05
218,643.1094579,0.05
219,632.8266563,0.05
220,622.6140022,0.05
221,612.4747584,0.05
222,602.412355,0.05
223,592.4299681,0.05
224,582.5305268,0.05
225,572.716838,0.05
226,562.991221,0.05
227,553.3562519,0.05
228,543.8142039,0.05
229,534.367004,0.05
230,525.0171282,0.05
231,515.7659677,0.05
232,506.6153185,0.05
233,497.5666542,0.05
234,488.621239,0.05
235,479.7806599,0.05
236,471.0456709,0.05
237,462.4177104,0.05
238,453.8974843,0.05
239,445.4856179,0.05
240,437.1830416,0.05
241,428.9899874,0.05
242,420.9071086,0.05
243,412.9348315,0.05
244,405.0733199,0.05
245,397.3229307,0.05
246,389.6834015,0.05
247,382.1549114,0.05
248,374.7374069,0.05
249,367.4304841,0.05
250,360.2344097,0.05
251,353.1484656,0.05
252,346.1723995,0.05
253,339.3058009,0.05
254,332.547932,0.05
255,325.8986056,0.05
256,319.3568719,0.05
257,312.9224174,0.05
258,306.5944626,0.05
259,300.3720382,0.05
260,294.2546051,0.05
261,288.2409747,0.05
262,282.3304949,0.05
263,276.5223683,0.05
264,270.8155031,0.05
265,265.2091518,0.05
266,259.7019855,0.05
267,254.293056,0.05
268,248.9813748,0.05
269,243.7657024,0.05
270,238.6453645,0.05
271,233.618948,0.05
272,228.6854209,0.05
273,223.843655,0.05
274,219.0921465,0.05
275,214.4301116,0.05
276,209.8561867,0.05
277,205.3694128,0.05
278,200.9686373,0.05
279,196.6524107,0.05
280,192.4196903,0.05
281,188.268885,0.05
282,184.1991387,0.05
283,180.2094575,0.05
284,176.2984529,0.05
285,172.4650722,0.05
286,168.7078928,0.05
287,165.0257401,0.05
288,161.4175051,0.05
289,158.0506025,0.05
290,154.7033875,0.05
291,151.3030622,0.05
292,147.9715982,0.05
293,144.7081763,0.05
294,141.5114218,0.05
295,138.3807838,0.05
296,135.3154012,0.05
297,132.3130102,0.05
298,129.6273288,0.05
299,126.9697505,0.05
300,124.2580587,0.05
301,121.4882284,0.05
302,118.778758,0.05
303,116.1278966,0.05
304,113.5348335,0.05
305,110.9978253,0.05
306,108.5152622,0.05
307,106.0862944,0.05
308,103.7096152,0.05
309,101.3829521,0.05
310,99.15508438,0.05
311,96.97452529,0.05
312,94.95519661,0.05
313,93.08247875,0.05
314,91.59824417,0.05
315,90.67070345,0.05
316,90.47194702,0.05
317,91.18488011,0.05
318,92.99889171,0.05
319,96.11294085,0.05
320,100.7510864,0.3
321,107.1216314,0.3
322,115.2611323,0.3
323,124.9806126,0.3
324,135.9659026,0.3
325,147.857992,0.3
326,160.2885679,0.3
327,172.9171398,0.3
328,185.4409644,0.3
329,197.6050134,0.3
330,209.200024,0.3
331,220.06635,0.3
332,230.0833731,0.05
333,239.1685817,0.05
334,247.2743108,0.05
335,254.374831,0.05
336,260.4726801,0.05
337,265.5834079,0.05
338,269.7374026,0.05
339,272.9780467,0.05
340,275.3514528,0.05
341,276.9139159,0.05
342,277.7211674,0.05
343,277.8310992,0.05
344,277.3037865,0.05
345,276.1949517,0.05
346,274.5620857,0.05
347,272.572494,0.05
348,270.1592409,0.05
349,267.2925682,0.05
350,264.0963493,0.05
351,260.6109325,0.05
352,256.8779231,0.05
353,253.1067879,0.05
354,248.9819926,0.05
355,244.712889,0.05
356,240.3203904,0.05
357,235.8302702,0.05
358,231.2649679,0.05
359,226.6448432,0.05
360,221.9881285,0.05
361,217.3109293,0.05
362,212.6278234,0.05
363,207.9516852,0.05
364,203.2940087,0.05
365,198.6646849,0.05
366,194.0724883,0.05
367,189.524814,0.05
368,185.0282292,0.05
369,180.6785904,0.05
370,176.6155551,0.05
371,172.6530673,0.05
372,168.5322351,0.05
373,164.3449772,0.05
374,160.2313337,0.05
375,156.1932961,0.05
376,152.2327389,0.05
377,148.5201885,0.05
378,145.182949,0.05
379,141.6707045,0.05
380,138.2339835,0.05
381,134.7974989,0.05
382,131.4269169,0.05
383,127.991824,0.05
384,124.6370207,0.05
385,121.3618076,0.05
386,118.1645845,0.05
387,115.0442126,0.05
388,111.9993277,0.05
389,109.0286572,0.05
390,106.1300602,0.05
391,103.3030633,0.05
392,100.5449095,0.05
393,97.96569863,0.05
394,95.36624624,0.05
395,92.94318089,0.05
396,90.81447793,0.05
397,89.11538814,0.05
398,87.98710309,0.05
399,87.57183301,0.05
400,88.01754357,0.05
401,89.47146235,0.05
402,92.09483617,0.05
403,96.05703158,0.05
404,101.5433021,0.05
405,108.7480633,0.05
406,117.700183,0.05
407,128.2120682,0.05
408,139.9581612,0.05
409,152.5609203,0.05
410,165.639776,0.05
411,178.8370937,0.05
412,191.8385282,0.05
413,204.3787708,0.05
414,216.2444567,0.05
415,227.2681899,0.05
416,237.3332249,0.05
417,246.3568299,0.05
418,254.293991,0.3
419,261.1284123,0.3
420,266.863029,0.3
421,271.5264462,0.3
422,275.1550356,0.3
423,277.7995219,0.3
424,279.5183464,0.3
425,280.3715438,0.3
426,280.4273528,0.3
427,279.7502364,0.3
428,278.4068906,0.3
429,276.4628373,0.3
430,273.9791935,0.3
431,271.0177153,0.3
432,267.6340379,0.05
433,263.8817399,0.05
434,259.810991,0.05
435,255.4671073,0.05
436,250.89351,0.05
437,246.1286586,0.05
438,241.2082916,0.05
439,236.2899436,0.05
440,231.7009717,0.05
441,226.9374702,0.05
442,221.8882855,0.05
443,216.6192225,0.05
444,211.887365,0.05
445,207.505703,0.05
446,202.880373,0.05
447,198.094646,0.05
448,193.4019353,0.05
449,188.6123947,0.05
450,183.6613132,0.05
451,178.8487583,0.05
452,174.5267015,0.05
453,170.1401791,0.05
454,165.866319,0.05
455,161.5349681,0.05
456,157.3878133,0.05
457,153.2174573,0.05
458,148.8399117,0.05
459,146.6101367,0.05
460,146.2993769,0.05
461,142.4384855,0.05
462,138.4823841,0.05
463,134.5746698,0.05
464,130.7069196,0.05
465,127.1184668,0.05
466,123.5831618,0.05
467,119.96578,0.05
468,116.6897326,0.05
469,113.7007787,0.05
470,110.7964036,0.05
471,107.6937159,0.05
472,104.3893637,0.05
473,101.1758104,0.05
474,98.18052126,0.05
475,95.1591304,0.05
476,92.30790037,0.05
477,89.72299922,0.05
478,87.51481489,0.05
479,85.79988084,0.05
480,84.69247883,0.05
481,84.30702774,0.05
482,84.76075582,0.05
483,86.16810017,0.05
484,88.65443989,0.05
485,92.10918114,0.05
486,96.3052802,0.05
487,102.1511336,0.05
488,109.94493,0.05
489,119.3824371,0.05
490,130.2686472,0.05
491,142.2781393,0.05
492,155.0309378,0.05
493,168.1489181,0.05
494,181.2785322,0.05
495,194.1105924,0.05
496,206.3850038,0.05
497,217.8965142,0.05
498,228.4852425,0.05
499,238.0413271,0.05
500,246.4923379,0.05
501,253.7986956,0.05
502,259.9549191,0.05
503,264.9718427,0.05
504,268.8844704,0.05
505,271.7389513,0.05
506,273.5905095,0.05
507,274.5063675,0.05
508,274.5524689,0.05
509,273.8016668,0.05
510,272.3252477,0.3
511,270.1927745,0.3
512,267.4752688,0.3
513,264.2374088,0.3
514,260.5433006,0.3
515,256.4523253,0.3
516,252.0194682,0.3
517,248.2995052,0.3
518,244.3769698,0.3
519,240.3244257,0.3
520,236.068498,0.3
521,231.407878,0.3
522,226.4544748,0.3
523,226.318739,0.3
524,225.4939301,0.3
525,223.228948,0.3
526,220.7280311,0.05
527,220.5225978,0.05
528,217.9356065,0.05
529,213.3471214,0.05
530,208.7472466,0.05
531,204.0857036,0.05
532,199.6418383,0.05
533,195.1430121,0.05
534,190.0333898,0.05
535,188.8209108,0.05
536,188.0789663,0.05
537,186.1081964,0.05
538,183.3508178,0.05
539,183.1816523,0.05
540,183.0758583,0.05
541,178.8554897,0.05
542,174.3440147,0.05
543,170.1155578,0.05
544,165.7516032,0.05
545,161.6236909,0.05
546,157.5671421,0.05
547,156.3876244,0.05
548,152.4455366,0.05
549,148.5482073,0.05
550,146.6512737,0.05
551,144.692815,0.05
552,142.7012941,0.05
553,142.4208094,0.05
554,138.8236767,0.05
555,138.8046389,0.05
556,138.7892083,0.05
557,136.4551771,0.05
558,134.9940416,0.05
559,133.5902758,0.05
560,131.2624102,0.05
561,129.9108541,0.05
562,126.2156559,0.05
563,122.5780767,0.05
564,119.1534228,0.05
565,116.1123012,0.05
566,112.9884506,0.05
567,109.9142625,0.05
568,106.7539814,0.05
569,103.654192,0.05
570,100.458765,0.05
571,97.54739139,0.05
572,94.67101711,0.05
573,91.8497211,0.05
574,89.22039182,0.05
575,86.83416797,0.05
576,84.74652699,0.05
577,83.06829661,0.05
578,81.77485931,0.05
579,81.00339066,0.05
580,80.79059518,0.05
581,81.17107599,0.05
582,82.15673235,0.05
583,83.80157715,0.05
584,85.95145811,0.05
585,86.96105118,0.05
586,89.98192519,0.05
587,90.64287232,0.05
588,94.4703066,0.05
589,97.39999992,0.05
590,99.65967848,0.05
591,104.4633292,0.05
592,112.3396949,0.05
593,120.7165348,0.05
594,130.240597,0.05
595,140.381063,0.05
596,150.7795524,0.05
597,162.7732548,0.05
598,173.6814556,0.3
599,184.7345761,0.3
600,195.1037564,0.3
601,205.1333332,0.3
602,214.4808487,0.3
603,222.9111925,0.3
604,231.2064774,0.3
605,238.518973,0.3
606,244.4837013,0.3
607,249.6501502,0.3
608,253.8860756,0.3
609,257.1524558,0.3
610,259.6585222,0.3
611,261.5386795,0.3
612,262.7264085,0.3
613,263.0085077,0.3
614,262.6526212,0.3
615,261.7998176,0.3
616,260.5152242,0.05
617,258.7214816,0.05
618,257.4981904,0.05
619,256.4464069,0.05
620,253.9150125,0.05
621,250.4877304,0.05
622,249.9710748,0.05
623,249.5784107,0.05
624,247.5768253,0.05
625,245.6552228,0.05
626,245.4870294,0.05
627,244.7886489,0.05
628,241.0585181,0.05
629,237.2559924,0.05
630,233.2917711,0.05
631,229.1166918,0.05
632,224.6897602,0.05
633,219.4385439,0.05
634,216.8216525,0.05
635,216.7765827,0.05
636,216.227032,0.05
637,213.304975,0.05
638,211.0754172,0.05
639,210.8708249,0.05
640,208.144961,0.05
641,203.4787544,0.05
642,198.6625327,0.05
643,193.8332627,0.05
644,188.9902211,0.05
645,184.0128961,0.05
646,178.9151308,0.05
647,178.4937999,0.05
648,178.4470292,0.05
649,177.8872646,0.05
650,175.3214061,0.05
651,170.2589862,0.05
652,165.3161761,0.05
653,160.4989906,0.05
654,155.5302194,0.05
655,150.8506776,0.05
656,146.043794,0.05
657,141.3861473,0.05
658,137.2969428,0.05
659,133.2193922,0.05
660,129.2840419,0.05
661,125.4016582,0.05
