date,time,obs
14/03/2020,1,0
15/03/2020,2,0
16/03/2020,3,0
17/03/2020,4,0
18/03/2020,5,0
19/03/2020,6,0
20/03/2020,7,0
21/03/2020,8,0
22/03/2020,9,0
23/03/2020,10,0
24/03/2020,11,0
25/03/2020,12,1
26/03/2020,13,1
27/03/2020,14,3
28/03/2020,15,3
29/03/2020,16,5
30/03/2020,17,5
31/03/2020,18,5
01/04/2020,19,5
02/04/2020,20,6
03/04/2020,21,11
04/04/2020,22,12
05/04/2020,23,14
06/04/2020,24,22
07/04/2020,25,24
08/04/2020,26,25
09/04/2020,27,28
10/04/2020,28,34
11/04/2020,29,45
12/04/2020,30,47
13/04/2020,31,48
14/04/2020,32,55
15/04/2020,33,55
16/04/2020,34,60
17/04/2020,35,61
18/04/2020,36,63
19/04/2020,37,67
20/04/2020,38,73
21/04/2020,39,74
22/04/2020,40,77
23/04/2020,41,78
24/04/2020,42,81
25/04/2020,43,84
26/04/2020,44,87
27/04/2020,45,89
28/04/2020,46,90
29/04/2020,47,97
30/04/2020,48,100
01/05/2020,49,107
02/05/2020,50,110
03/05/2020,51,114
04/05/2020,52,117
05/05/2020,53,121
06/05/2020,54,128
07/05/2020,55,131
08/05/2020,56,136
09/05/2020,57,139
10/05/2020,58,145
11/05/2020,59,149
12/05/2020,60,155
13/05/2020,61,158
14/05/2020,62,161
15/05/2020,63,163
16/05/2020,64,168
17/05/2020,65,171
18/05/2020,66,175
19/05/2020,67,178
20/05/2020,68,182
21/05/2020,69,189
22/05/2020,70,197
23/05/2020,71,202
24/05/2020,72,206
25/05/2020,73,212
26/05/2020,74,218
27/05/2020,75,227
28/05/2020,76,229
29/05/2020,77,239
30/05/2020,78,247
31/05/2020,79,254
01/06/2020,80,258
02/06/2020,81,267
03/06/2020,82,272
04/06/2020,83,283
05/06/2020,84,294
06/06/2020,85,303
07/06/2020,86,313
08/06/2020,87,316
09/06/2020,88,325
10/06/2020,89,335
11/06/2020,90,339
12/06/2020,91,359
13/06/2020,92,365
14/06/2020,93,382
15/06/2020,94,393
16/06/2020,95,413
17/06/2020,96,422
