t,IH,X
1,0,1
2,3.53E-08,1
3,2.36E-07,1
4,2.64E-07,1
5,2.77E-07,1
6,1.09E-06,1
7,1.44E-06,1
8,2.64E-06,1
9,3.22E-06,1
10,7.94E-06,0.1
11,1.30E-05,0.1
12,3.01E-05,0.1
13,6.31E-05,0.1
14,8.61E-05,0.1
15,0.000109953,0.1
16,0.000120505,0.1
17,0.000142616,0.1
18,0.000225026,0.1
19,0.000349,0.1
20,0.000461032,0.1
21,0.000652608,0.1
22,0.000904979,0.1
23,0.001405699,0.1
24,0.002124711,0.1
25,0.002841393,0.1
26,0.002897402,0.1
27,0.003275644,0.1
28,0.004123348,0.1
29,0.004968285,0.1
30,0.005234575,0.1
31,0.006015051,0.1
32,0.006039135,0.1
33,0.007016495,0.1
34,0.008317683,0.1
35,0.009628006,0.1
36,0.010616937,0.1
37,0.010617043,0.1
38,0.010628451,0.1
39,0.011226916,0.1
40,0.012026022,0.1
41,0.012654052,0.1
42,0.013881323,0.1
43,0.014484388,0.1
44,0.015515462,0.1
45,0.015517126,0.1
46,0.016717192,0.1
47,0.01831405,0.1
48,0.020242521,0.1
49,0.022002139,0.1
50,0.022026628,0.1
51,0.022871561,0.1
52,0.024041132,0.1
53,0.024684397,0.1
54,0.026403412,0.1
55,0.027464372,0.1
56,0.028851488,0.1
57,0.029678489,0.1
58,0.031696851,0.3
59,0.034379879,0.3
60,0.037098731,0.3
61,0.038848542,0.3
62,0.040110962,0.3
63,0.042116267,0.3
64,0.043434612,0.3
65,0.045972806,0.3
66,0.048365878,0.3
67,0.048987808,0.3
68,0.051925872,0.3
69,0.056202995,0.3
70,0.060239292,0.3
71,0.063079736,0.3
72,0.06487607,0.3
73,0.06749742,0.3
74,0.070062241,0.3
75,0.074023866,0.3
76,0.077824542,0.3
77,0.079692708,0.3
78,0.084362122,0.3
79,0.090742966,0.3
80,0.096805131,0.3
81,0.102984395,0.3
82,0.10867951,0.3
83,0.114320174,0.3
84,0.11964301,0.3
85,0.123657235,0.3
86,0.129403404,0.3
87,0.135936506,0.3
88,0.145842331,0.3
89,0.158052258,0.3
90,0.168358304,0.3
91,0.181923183,0.3
92,0.195670699,0.3
93,0.211614952,0.3
94,0.229910076,0.3
95,0.24829228,0.3
96,0.274447823,0.3
97,0.305433955,0.3
98,0.355710992,0.3
99,0.420432195,0.3
100,0.477522132,0.3
101,0.554378662,0.3
102,0.633061417,0.3
103,0.72546662,0.3
104,0.842526948,0.05
105,0.959555213,0.05
106,1.091584457,0.05
107,1.256142513,0.05
108,1.428817707,0.05
109,1.623133127,0.05
110,1.869709878,0.05
111,2.17684251,0.05
112,2.549729714,0.05
113,3.030858666,0.05
114,3.664132833,0.05
115,4.494729131,0.05
116,5.418159641,0.05
117,6.649721576,0.05
118,8.204192835,0.05
119,10.16446904,0.05
120,12.60571574,0.05
121,15.70556081,0.05
122,19.82334731,0.05
123,24.62888349,0.05
124,30.76124552,0.05
125,38.37464084,0.05
126,48.32553548,0.05
127,61.13180239,0.05
128,77.37947218,0.05
129,97.95340477,0.05
130,123.8831077,0.05
131,156.0055436,0.05
132,194.2439728,0.05
133,237.8767798,0.05
134,285.892853,0.05
135,337.1427651,0.05
136,390.5074818,0.05
137,444.945191,0.05
138,499.5412419,0.05
139,553.5200597,0.05
140,606.2500465,0.05
141,657.2283748,0.05
142,706.0724898,0.05
143,752.5098539,0.05
144,796.3453127,0.05
145,837.4763689,0.05
146,875.8506849,0.05
147,911.4670056,0.05
148,944.3727148,0.05
149,974.6304312,0.05
150,1002.337144,0.05
151,1027.597344,0.05
152,1050.527476,0.05
153,1071.257884,0.05
154,1089.909335,0.05
155,1106.615285,0.05
156,1121.498409,0.05
157,1134.676395,0.05
158,1146.270777,0.05
159,1156.388376,0.05
160,1165.138411,0.05
161,1172.618989,0.05
162,1178.922293,0.05
163,1184.136626,0.05
164,1188.337989,0.05
165,1191.603609,0.05
166,1194.001472,0.05
167,1195.593757,0.05
168,1196.441352,0.05
169,1196.596084,0.05
170,1196.106658,0.05
171,1195.017414,0.05
172,1193.368944,0.05
173,1191.200713,0.05
174,1188.545796,0.05
175,1185.437611,0.05
176,1181.904808,0.05
177,1177.971859,0.05
178,1173.664748,0.05
179,1169.005018,0.05
180,1164.01436,0.05
181,1158.712083,0.05
182,1153.116088,0.05
183,1147.242851,0.05
184,1141.106062,0.05
185,1134.720933,0.05
186,1128.100887,0.05
187,1121.258096,0.05
188,1114.205422,0.05
189,1106.953819,0.05
190,1099.512847,0.05
191,1091.894906,0.05
192,1084.757626,0.05
193,1076.819222,0.05
194,1068.72816,0.05
195,1060.493015,0.05
196,1052.122401,0.05
197,1043.622312,0.05
198,1035.000548,0.05
199,1026.264462,0.05
200,1017.420863,0.05
201,1008.477304,0.05
202,999.4407768,0.05
203,990.3170498,0.05
204,981.1112666,0.05
205,971.8296627,0.05
206,962.4783827,0.05
207,953.0633392,0.05
208,943.5908721,0.05
209,934.0672269,0.05
210,924.4957908,0.05
211,914.8813551,0.05
212,905.2285839,0.05
213,895.5425377,0.05
214,885.8284525,0.05
215,876.0916087,0.05
216,866.3369833,0.05
217,856.5683758,0.05
218,846.7904603,0.05
219,837.0077347,0.05
220,827.2245692,0.05
221,817.4452492,0.05
