date,Fallecidos_reales
2020-04-02,1
2020-04-03,2
2020-04-09,3
2020-04-20,4
2020-04-22,5
2020-04-25,8
2020-04-30,12
2020-05-01,15
2020-05-02,17
2020-05-03,19
2020-05-04,20
2020-05-05,24
2020-05-06,25
2020-05-07,26
2020-05-08,28
2020-05-10,29
2020-05-11,31
2020-05-12,33
2020-05-14,35
2020-05-15,36
2020-05-16,37
2020-05-17,38
2020-05-18,39
2020-05-19,44
2020-05-20,46
2020-05-21,47
2020-05-22,54
2020-05-23,57
2020-05-24,62
2020-05-25,65
2020-05-26,77
2020-05-27,82
2020-05-28,90
2020-05-29,96
2020-05-30,110
2020-05-31,119
2020-06-01,133
2020-06-02,149
2020-06-03,177
2020-06-04,192
2020-06-05,211
2020-06-06,230
2020-06-07,253
2020-06-08,272
2020-06-09,302
2020-06-10,322
2020-06-11,352
2020-06-12,377
2020-06-13,402
2020-06-14,433
2020-06-15,456
2020-06-16,484
2020-06-17,511
2020-06-18,537
2020-06-19,556
2020-06-20,573
2020-06-21,590
2020-06-22,607
2020-06-23,625
2020-06-24,635
2020-06-25,650
2020-06-26,657
