replicate,time,fallecidos,date
1,1,0.0,2020-03-14
1,2,0.0,2020-03-15
1,3,0.0,2020-03-16
1,4,0.0,2020-03-17
1,5,0.0,2020-03-18
1,6,0.0,2020-03-19
1,7,0.0,2020-03-20
1,8,0.0,2020-03-21
1,9,0.0,2020-03-22
1,10,0.0,2020-03-23
1,11,0.0,2020-03-24
1,12,0.0,2020-03-25
1,13,0.0,2020-03-26
1,14,0.0,2020-03-27
1,15,0.0,2020-03-28
1,16,0.0,2020-03-29
1,17,0.0,2020-03-30
1,18,0.0,2020-03-31
1,19,0.0,2020-04-01
1,20,0.0,2020-04-02
1,21,0.0,2020-04-03
1,22,0.0,2020-04-04
1,23,0.0,2020-04-05
1,24,0.0,2020-04-06
1,25,1.0,2020-04-07
1,26,0.0,2020-04-08
1,27,1.0,2020-04-09
1,28,0.0,2020-04-10
1,29,1.0,2020-04-11
1,30,2.0,2020-04-12
1,31,3.0,2020-04-13
1,32,2.0,2020-04-14
1,33,1.0,2020-04-15
1,34,4.0,2020-04-16
1,35,2.0,2020-04-17
1,36,1.0,2020-04-18
1,37,3.0,2020-04-19
1,38,4.0,2020-04-20
1,39,6.0,2020-04-21
1,40,10.0,2020-04-22
1,41,7.0,2020-04-23
1,42,9.0,2020-04-24
1,43,8.0,2020-04-25
1,44,5.0,2020-04-26
1,45,12.0,2020-04-27
1,46,7.0,2020-04-28
1,47,15.0,2020-04-29
1,48,11.0,2020-04-30
1,49,20.0,2020-05-01
1,50,12.0,2020-05-02
1,51,15.0,2020-05-03
1,52,6.0,2020-05-04
1,53,14.0,2020-05-05
1,54,15.0,2020-05-06
1,55,12.0,2020-05-07
1,56,17.0,2020-05-08
1,57,16.0,2020-05-09
1,58,22.0,2020-05-10
1,59,8.0,2020-05-11
1,60,18.0,2020-05-12
1,61,19.0,2020-05-13
1,62,29.0,2020-05-14
1,63,22.0,2020-05-15
1,64,24.0,2020-05-16
1,65,39.0,2020-05-17
1,66,29.0,2020-05-18
1,67,35.0,2020-05-19
1,68,36.0,2020-05-20
1,69,33.0,2020-05-21
1,70,32.0,2020-05-22
1,71,39.0,2020-05-23
1,72,25.0,2020-05-24
1,73,51.0,2020-05-25
1,74,53.0,2020-05-26
1,75,42.0,2020-05-27
1,76,53.0,2020-05-28
1,77,46.0,2020-05-29
1,78,61.0,2020-05-30
1,79,70.0,2020-05-31
1,80,81.0,2020-06-01
1,81,94.0,2020-06-02
1,82,103.0,2020-06-03
1,83,98.0,2020-06-04
1,84,93.0,2020-06-05
1,85,97.0,2020-06-06
1,86,141.0,2020-06-07
1,87,149.0,2020-06-08
1,88,185.0,2020-06-09
1,89,186.0,2020-06-10
1,90,194.0,2020-06-11
1,91,233.0,2020-06-12
1,92,254.0,2020-06-13
1,93,272.0,2020-06-14
1,94,307.0,2020-06-15
1,95,342.0,2020-06-16
1,96,299.0,2020-06-17
1,97,322.0,2020-06-18
1,98,350.0,2020-06-19
1,99,369.0,2020-06-20
1,100,422.0,2020-06-21
1,101,464.0,2020-06-22
1,102,478.0,2020-06-23
1,103,448.0,2020-06-24
1,104,495.0,2020-06-25
1,105,549.0,2020-06-26
1,106,580.0,2020-06-27
1,107,607.0,2020-06-28
1,108,581.0,2020-06-29
1,109,740.0,2020-06-30
1,110,806.0,2020-07-01
1,111,792.0,2020-07-02
2,1,0.0,2020-03-14
2,2,0.0,2020-03-15
2,3,0.0,2020-03-16
2,4,0.0,2020-03-17
2,5,0.0,2020-03-18
2,6,0.0,2020-03-19
2,7,0.0,2020-03-20
2,8,0.0,2020-03-21
2,9,0.0,2020-03-22
2,10,0.0,2020-03-23
2,11,0.0,2020-03-24
2,12,0.0,2020-03-25
2,13,0.0,2020-03-26
2,14,0.0,2020-03-27
2,15,0.0,2020-03-28
2,16,0.0,2020-03-29
2,17,0.0,2020-03-30
2,18,0.0,2020-03-31
2,19,0.0,2020-04-01
2,20,0.0,2020-04-02
2,21,0.0,2020-04-03
2,22,0.0,2020-04-04
2,23,1.0,2020-04-05
2,24,0.0,2020-04-06
2,25,1.0,2020-04-07
2,26,0.0,2020-04-08
2,27,1.0,2020-04-09
2,28,0.0,2020-04-10
2,29,0.0,2020-04-11
2,30,2.0,2020-04-12
2,31,2.0,2020-04-13
2,32,0.0,2020-04-14
2,33,0.0,2020-04-15
2,34,2.0,2020-04-16
2,35,2.0,2020-04-17
2,36,3.0,2020-04-18
2,37,2.0,2020-04-19
2,38,2.0,2020-04-20
2,39,6.0,2020-04-21
2,40,4.0,2020-04-22
2,41,10.0,2020-04-23
2,42,7.0,2020-04-24
2,43,9.0,2020-04-25
2,44,5.0,2020-04-26
2,45,11.0,2020-04-27
2,46,13.0,2020-04-28
2,47,7.0,2020-04-29
2,48,10.0,2020-04-30
2,49,13.0,2020-05-01
2,50,13.0,2020-05-02
2,51,11.0,2020-05-03
2,52,19.0,2020-05-04
2,53,22.0,2020-05-05
2,54,12.0,2020-05-06
2,55,23.0,2020-05-07
2,56,17.0,2020-05-08
2,57,13.0,2020-05-09
2,58,23.0,2020-05-10
2,59,21.0,2020-05-11
2,60,21.0,2020-05-12
2,61,24.0,2020-05-13
2,62,25.0,2020-05-14
2,63,19.0,2020-05-15
2,64,26.0,2020-05-16
2,65,20.0,2020-05-17
2,66,26.0,2020-05-18
2,67,37.0,2020-05-19
2,68,24.0,2020-05-20
2,69,34.0,2020-05-21
2,70,38.0,2020-05-22
2,71,45.0,2020-05-23
2,72,36.0,2020-05-24
2,73,52.0,2020-05-25
2,74,41.0,2020-05-26
2,75,59.0,2020-05-27
2,76,53.0,2020-05-28
2,77,56.0,2020-05-29
2,78,63.0,2020-05-30
2,79,66.0,2020-05-31
2,80,79.0,2020-06-01
2,81,86.0,2020-06-02
2,82,83.0,2020-06-03
2,83,98.0,2020-06-04
2,84,120.0,2020-06-05
2,85,106.0,2020-06-06
2,86,131.0,2020-06-07
2,87,120.0,2020-06-08
2,88,161.0,2020-06-09
2,89,180.0,2020-06-10
2,90,212.0,2020-06-11
2,91,223.0,2020-06-12
2,92,250.0,2020-06-13
2,93,241.0,2020-06-14
2,94,292.0,2020-06-15
2,95,348.0,2020-06-16
2,96,322.0,2020-06-17
2,97,344.0,2020-06-18
2,98,378.0,2020-06-19
2,99,376.0,2020-06-20
2,100,400.0,2020-06-21
2,101,409.0,2020-06-22
2,102,439.0,2020-06-23
2,103,477.0,2020-06-24
2,104,563.0,2020-06-25
2,105,575.0,2020-06-26
2,106,610.0,2020-06-27
2,107,591.0,2020-06-28
2,108,733.0,2020-06-29
2,109,727.0,2020-06-30
2,110,722.0,2020-07-01
2,111,811.0,2020-07-02
3,1,0.0,2020-03-14
3,2,0.0,2020-03-15
3,3,0.0,2020-03-16
3,4,0.0,2020-03-17
3,5,0.0,2020-03-18
3,6,0.0,2020-03-19
3,7,0.0,2020-03-20
3,8,0.0,2020-03-21
3,9,0.0,2020-03-22
3,10,0.0,2020-03-23
3,11,0.0,2020-03-24
3,12,0.0,2020-03-25
3,13,0.0,2020-03-26
3,14,0.0,2020-03-27
3,15,0.0,2020-03-28
3,16,0.0,2020-03-29
3,17,0.0,2020-03-30
3,18,0.0,2020-03-31
3,19,0.0,2020-04-01
3,20,0.0,2020-04-02
