replicate,time,fallecidos,date
1,1,0.0,2020-03-14
1,2,0.0,2020-03-15
1,3,0.0,2020-03-16
1,4,0.0,2020-03-17
1,5,0.0,2020-03-18
1,6,0.0,2020-03-19
1,7,0.0,2020-03-20
1,8,0.0,2020-03-21
1,9,0.0,2020-03-22
1,10,0.0,2020-03-23
1,11,0.0,2020-03-24
1,12,0.0,2020-03-25
1,13,1.0,2020-03-26
1,14,0.0,2020-03-27
1,15,0.0,2020-03-28
1,16,1.0,2020-03-29
1,17,0.0,2020-03-30
1,18,0.0,2020-03-31
1,19,0.0,2020-04-01
1,20,1.0,2020-04-02
1,21,1.0,2020-04-03
1,22,2.0,2020-04-04
1,23,2.0,2020-04-05
1,24,4.0,2020-04-06
1,25,5.0,2020-04-07
1,26,7.0,2020-04-08
1,27,7.0,2020-04-09
1,28,12.0,2020-04-10
1,29,2.0,2020-04-11
1,30,17.0,2020-04-12
1,31,11.0,2020-04-13
1,32,11.0,2020-04-14
1,33,17.0,2020-04-15
1,34,10.0,2020-04-16
1,35,12.0,2020-04-17
1,36,16.0,2020-04-18
1,37,27.0,2020-04-19
1,38,23.0,2020-04-20
1,39,33.0,2020-04-21
1,40,29.0,2020-04-22
1,41,30.0,2020-04-23
1,42,36.0,2020-04-24
1,43,36.0,2020-04-25
1,44,37.0,2020-04-26
1,45,53.0,2020-04-27
1,46,35.0,2020-04-28
1,47,44.0,2020-04-29
1,48,61.0,2020-04-30
1,49,35.0,2020-05-01
1,50,61.0,2020-05-02
1,51,56.0,2020-05-03
1,52,55.0,2020-05-04
1,53,61.0,2020-05-05
1,54,58.0,2020-05-06
1,55,56.0,2020-05-07
1,56,61.0,2020-05-08
1,57,56.0,2020-05-09
1,58,63.0,2020-05-10
1,59,66.0,2020-05-11
1,60,60.0,2020-05-12
1,61,71.0,2020-05-13
1,62,53.0,2020-05-14
1,63,84.0,2020-05-15
1,64,87.0,2020-05-16
1,65,67.0,2020-05-17
1,66,83.0,2020-05-18
1,67,89.0,2020-05-19
1,68,73.0,2020-05-20
1,69,82.0,2020-05-21
1,70,85.0,2020-05-22
1,71,97.0,2020-05-23
1,72,96.0,2020-05-24
1,73,94.0,2020-05-25
1,74,97.0,2020-05-26
1,75,83.0,2020-05-27
1,76,103.0,2020-05-28
1,77,116.0,2020-05-29
1,78,108.0,2020-05-30
1,79,115.0,2020-05-31
1,80,108.0,2020-06-01
1,81,115.0,2020-06-02
1,82,130.0,2020-06-03
1,83,137.0,2020-06-04
1,84,138.0,2020-06-05
1,85,148.0,2020-06-06
1,86,153.0,2020-06-07
1,87,155.0,2020-06-08
1,88,152.0,2020-06-09
1,89,185.0,2020-06-10
1,90,159.0,2020-06-11
1,91,176.0,2020-06-12
1,92,173.0,2020-06-13
1,93,187.0,2020-06-14
1,94,170.0,2020-06-15
1,95,175.0,2020-06-16
1,96,177.0,2020-06-17
1,97,196.0,2020-06-18
1,98,211.0,2020-06-19
1,99,191.0,2020-06-20
1,100,200.0,2020-06-21
1,101,224.0,2020-06-22
1,102,241.0,2020-06-23
1,103,242.0,2020-06-24
1,104,227.0,2020-06-25
1,105,232.0,2020-06-26
1,106,233.0,2020-06-27
1,107,242.0,2020-06-28
1,108,255.0,2020-06-29
1,109,275.0,2020-06-30
1,110,269.0,2020-07-01
1,111,300.0,2020-07-02
2,1,0.0,2020-03-14
2,2,0.0,2020-03-15
2,3,0.0,2020-03-16
2,4,0.0,2020-03-17
2,5,0.0,2020-03-18
2,6,0.0,2020-03-19
2,7,0.0,2020-03-20
2,8,0.0,2020-03-21
2,9,0.0,2020-03-22
2,10,0.0,2020-03-23
2,11,0.0,2020-03-24
2,12,0.0,2020-03-25
2,13,0.0,2020-03-26
2,14,0.0,2020-03-27
2,15,0.0,2020-03-28
2,16,0.0,2020-03-29
2,17,0.0,2020-03-30
2,18,0.0,2020-03-31
2,19,0.0,2020-04-01
2,20,0.0,2020-04-02
2,21,0.0,2020-04-03
2,22,3.0,2020-04-04
2,23,0.0,2020-04-05
2,24,3.0,2020-04-06
2,25,1.0,2020-04-07
2,26,5.0,2020-04-08
2,27,4.0,2020-04-09
2,28,5.0,2020-04-10
2,29,10.0,2020-04-11
2,30,7.0,2020-04-12
2,31,15.0,2020-04-13
2,32,2.0,2020-04-14
2,33,19.0,2020-04-15
2,34,11.0,2020-04-16
2,35,26.0,2020-04-17
2,36,32.0,2020-04-18
2,37,26.0,2020-04-19
2,38,35.0,2020-04-20
2,39,30.0,2020-04-21
2,40,26.0,2020-04-22
2,41,36.0,2020-04-23
2,42,32.0,2020-04-24
2,43,36.0,2020-04-25
2,44,39.0,2020-04-26
2,45,45.0,2020-04-27
2,46,52.0,2020-04-28
2,47,48.0,2020-04-29
2,48,42.0,2020-04-30
2,49,48.0,2020-05-01
2,50,45.0,2020-05-02
2,51,51.0,2020-05-03
2,52,47.0,2020-05-04
2,53,64.0,2020-05-05
2,54,57.0,2020-05-06
2,55,52.0,2020-05-07
2,56,72.0,2020-05-08
2,57,48.0,2020-05-09
2,58,60.0,2020-05-10
2,59,63.0,2020-05-11
2,60,59.0,2020-05-12
2,61,66.0,2020-05-13
2,62,75.0,2020-05-14
2,63,58.0,2020-05-15
2,64,76.0,2020-05-16
2,65,81.0,2020-05-17
2,66,94.0,2020-05-18
2,67,82.0,2020-05-19
2,68,79.0,2020-05-20
2,69,79.0,2020-05-21
2,70,89.0,2020-05-22
2,71,86.0,2020-05-23
2,72,90.0,2020-05-24
2,73,120.0,2020-05-25
2,74,88.0,2020-05-26
2,75,105.0,2020-05-27
2,76,124.0,2020-05-28
2,77,97.0,2020-05-29
2,78,134.0,2020-05-30
2,79,126.0,2020-05-31
2,80,145.0,2020-06-01
2,81,123.0,2020-06-02
2,82,110.0,2020-06-03
2,83,135.0,2020-06-04
2,84,139.0,2020-06-05
2,85,151.0,2020-06-06
2,86,143.0,2020-06-07
2,87,162.0,2020-06-08
2,88,141.0,2020-06-09
2,89,152.0,2020-06-10
2,90,160.0,2020-06-11
2,91,158.0,2020-06-12
2,92,154.0,2020-06-13
2,93,184.0,2020-06-14
2,94,189.0,2020-06-15
2,95,195.0,2020-06-16
2,96,207.0,2020-06-17
2,97,199.0,2020-06-18
2,98,216.0,2020-06-19
2,99,217.0,2020-06-20
2,100,213.0,2020-06-21
2,101,231.0,2020-06-22
2,102,234.0,2020-06-23
2,103,258.0,2020-06-24
2,104,224.0,2020-06-25
2,105,233.0,2020-06-26
2,106,245.0,2020-06-27
2,107,238.0,2020-06-28
2,108,282.0,2020-06-29
2,109,281.0,2020-06-30
2,110,241.0,2020-07-01
2,111,274.0,2020-07-02
3,1,0.0,2020-03-14
3,2,0.0,2020-03-15
3,3,0.0,2020-03-16
3,4,0.0,2020-03-17
3,5,0.0,2020-03-18
3,6,0.0,2020-03-19
3,7,0.0,2020-03-20
3,8,0.0,2020-03-21
3,9,0.0,2020-03-22
3,10,0.0,2020-03-23
3,11,0.0,2020-03-24
3,12,0.0,2020-03-25
3,13,0.0,2020-03-26
3,14,0.0,2020-03-27
3,15,0.0,2020-03-28
3,16,0.0,2020-03-29
3,17,0.0,2020-03-30
3,18,0.0,2020-03-31
3,19,0.0,2020-04-01
3,20,1.0,2020-04-02
